codigo,descripcion,categoria,archivo_foto
D2134,"DISCO 2134 P/CORTE DE ALUM.  10"" 120 DIENTES",Soldadura y abrasivos,D2134.webp
D2216,"DISCO 2216 GRANO 40  4 1/2"" DE DESB.",Soldadura y abrasivos,D2216.webp
D2217,DISCO 2217 GRANO 60 4 1/2 DE DESB.,Soldadura y abrasivos,D2217.webp
D2218,"DISCO 2218 GRANO 80 4 1/2"" DE DESB.",Soldadura y abrasivos,D2218.webp
D2552,"DISCO 2552 DIAMANTE DE 4""  DENTADO",Soldadura y abrasivos,D2552.webp
D2553,"DISCO 2553  DIAMANTE DE 4""",Soldadura y abrasivos,D2553.webp
D2555,"DISCO 2555 DIAMANTE DE 4 1/2"" DENTADO",Soldadura y abrasivos,D2555.webp
D2556,"DISCO 2556 DIAMANTE DE 4 1/2""",Soldadura y abrasivos,D2556.webp
D2558,"DISCO 2558  DIAMANTE DE 7"" DENTADO",Soldadura y abrasivos,D2558.webp
D2559,"DISCO 2559 DIAMANTE DE 7""",Soldadura y abrasivos,D2559.webp
D2638,DISCO 2638 GRANO 40 4 1/2  DE DESB,Soldadura y abrasivos,D2638.webp
D2639,DISCO 2639 GRANO 60 4 1/2 DE DESB.,Soldadura y abrasivos,D2639.webp
D2643,DISCO 2643 GRANO 80 4 1/2 DE DESB,Soldadura y abrasivos,D2643.webp
D2691,"DISCO 2691 DIAMANTE DE 14""",Soldadura y abrasivos,D2691.webp
D2716,DISCO 2716 LAMINADO G-40 4 1/2,Soldadura y abrasivos,D2716.webp
D2717,DISCO 2717 LAMINADO G-60 4 1/2,Soldadura y abrasivos,D2717.webp
D2718,DISCO 2718 LAMINADO G-80 4 1/2,Soldadura y abrasivos,D2718.webp
D2953,DISCO 2953  GRANO 60 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2953.webp
D2954,DISCO 2954  GRANO 80 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2954.webp
D2955,DISCO 2955  GRANO 120 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2955.webp
D2956,DISCO 2956  GRANO 180 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2956.webp
D2959,DISCO 2959  GRANO 320 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2959.webp
D2980,DISCO 2980 GRANO 40 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2980.webp
D2982,DISCO 2982 LAMINADO G-80 4 1/2,Soldadura y abrasivos,D2982.webp
D2988,DISCO 2988 GRANO 40 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2988.webp
D2989,DISCO 2989 GRANO 60 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,D2989.webp
D2990,"DISCO 2990 LAMINADO G-80 4 1/2""",Soldadura y abrasivos,D2990.webp
D2995,"DISCO 2995 GRANO 40 DE 7"" DE DESBASTE",Soldadura y abrasivos,D2995.webp
D2996,"DISCO 2996 GRANO 60 DE 7"" DE DESBASTE",Soldadura y abrasivos,D2996.webp
D2997,"DISCO 2997 GRANO 80 DE 7"" DE DESBASTE",Soldadura y abrasivos,D2997.webp
D3250,"DISCO 3250 DIAMANTE DE 4""",Soldadura y abrasivos,D3250.webp
D3251,"DISCO 3251 DIAMANTE DE 4""",Soldadura y abrasivos,D3251.webp
D3252,"DISCO 3252 DIAMANTE DE 4""",Soldadura y abrasivos,D3252.webp
D3253,"DISCO 3253 DIAMANTE DE 4""",Soldadura y abrasivos,D3253.webp
D3255,"DISCO 3255 USO GENERAL DENTADO 7""",Soldadura y abrasivos,D3255.webp
D3300,"DISCO 3300 PARA CORTE 2 EN 1 DE  4 1/2""",Soldadura y abrasivos,D3300.webp
D3301,"DISCO 3301 PARA CORTE 4 1/2""",Soldadura y abrasivos,D3301.webp
D3302,"DISCO 3302 PARA CORTE INOX. 4 1/2""",Soldadura y abrasivos,D3302.webp
D3504,"DISCO 3504 PARA CORTE DE 7""",Soldadura y abrasivos,D3504.webp
D4250,"DISCO 4250 TYROLIT 4"" 1/2 P/ INOX .",Soldadura y abrasivos,D4250.webp
D4251,"DISCO 4251  TYROLIT 4"" 1/2 P/ METAL",Soldadura y abrasivos,D4251.webp
D4261,"DISCO 4261 P/CORTE 5"" 2 EN 1 TYROLIT",Soldadura y abrasivos,D4261.webp
D525,DISCO 525 P/DESB. MET. 4 1/2,Soldadura y abrasivos,D525.webp
D554,"DISCO 554 P/CORTE 7""",Soldadura y abrasivos,D554.webp
D560,"DISCO 560 P/DESBASTE  DE 4"" 1/2",Soldadura y abrasivos,D560.webp
D561,"DISCO 561 P/DESBASTE  7""",Soldadura y abrasivos,D561.webp
D566,"DISCO 566 P/CORTE DE 4"" 1/2",Soldadura y abrasivos,D566.webp
D567,"DISCO 567 P/CORTE  7""",Soldadura y abrasivos,D567.webp
