codigo,descripcion,categoria,archivo_foto
CAND6945,CANDADO DEXTER METALICO 70MM (6945)ANTIPALANCA,Herramienta manual,CAND6945.webp
CAND16944,CANDADO DEXTER NIQUEL SAT.40MM(16944),Herramienta manual,CAND16944.webp
CAND16945,CANDADO DEXTER NIQUEL SAT.50MM(16945),Herramienta manual,CAND16945.webp
CERD6492,CERRADURA DEXTER P/MUEBLE CAÑON CHICO (6492),Herrajes,CERD6492.webp
CERD6493,CERRADURA DEXTER P/MUEBLE CAÑON CHICO (6493),Herrajes,CERD6493.webp
CERD6634,CERROJO DEXTER CILINDRO MARIPOSA LA (6634),Forja artistica,CERD6634.webp
CERD6631,CERROJO DEXTER CILINDRO- MARIPOSA LB (6631),Forja artistica,CERD6631.webp
CERD6340,CERROJO DEXTER CILINDRO MARIPOSA N/SATINADO (6340),Forja artistica,CERD6340.webp
CERD6635,CERROJO DEXTER CILINDRO MARIPOSA NS (6635),Forja artistica,CERD6635.webp
CERD6341,CERROJO DEXTER CILINDRO-MARIPOSA L/ANTIGUO (6341),Forja artistica,CERD6341.webp
CERD6339,CERROJO DEXTER CILINDRO-MARIPOSA L/BRILLANTE(6339),Forja artistica,CERD6339.webp
CERD6633,CERROJO DEXTER DOBLE CILINDRO LA (6633),Herrajes,CERD6633.webp
CERD6338,CERROJO DOBLE CILINDRO L/ANTIGUO (6338),Herrajes,CERD6338.webp
CERD6733,CERROJO DOBLE CILINDRO L/ANTIGUO (6733),Herrajes,CERD6733.webp
CERD6336,CERROJO DOBLE CILINDRO L/BRILLANTE (6336),Herrajes,CERD6336.webp
CERD6630,CERROJO DOBLE CILINDRO L/BRILLANTE (6630),Herrajes,CERD6630.webp
CERD6730,CERROJO DOBLE CILINDRO L/BRILLANTE (6730),Herrajes,CERD6730.webp
CERD6337,CERROJO DOBLE CILINDRO NIQUEL SATINADO (6337),Herrajes,CERD6337.webp
CERD6732,CERROJO DOBLE CILINDRO NIQUEL SATINADO (6732),Herrajes,CERD6732.webp
CHA6772DEX,CHAPA DEXTER (6772) DE BARRA DER. E IZQ.,Acero (barra y placa),CHA6772DEX.webp
CHA6774DEX,CHAPA DEXTER (6774) GANCHO DER.E IZQ.,Tornilleria y fijacion,CHA6774DEX.webp
CHA6817REC,CHAPA DEXTER 6817 PERILLA BARZA  C/LLAVE,Herramienta manual,CHA6817REC.webp
CHA6823REC,CHAPA DEXTER 6823 PERILLA NISA C/LLAVE,Herramienta manual,CHA6823REC.webp
CHA6825REC,CHAPA DEXTER 6825 PERILLA BARZA C/LLAVE,Herramienta manual,CHA6825REC.webp
CHA6896BAÑ,CHAPA DEXTER 6896 PERILLA BARZA P/BAÑO,Herrajes,CHA6896BAN.webp
CHAD5838,CHAPA DEXTER 800 DERECHA (5838),Herrajes,CHAD5838.webp
CHA800DD,CHAPA DEXTER 800 DERECHA(6770),Herrajes,CHA800DD.webp
CHAD5832,CHAPA DEXTER 800 FIJA DERECHA (5832),Herrajes,CHAD5832.webp
CHAD5833,CHAPA DEXTER 800 FIJA IZQUIERDA (5833),Herrajes,CHAD5833.webp
CHAD5839,CHAPA DEXTER 800 IZQUIERDA (5839),Herrajes,CHAD5839.webp
CHA800DI,CHAPA DEXTER 800 IZQUIERDA (6771),Herrajes,CHA800DI.webp
CHAD5834,CHAPA DEXTER 900 DERECHA (5834),Herrajes,CHAD5834.webp
CHAD6789,CHAPA DEXTER 900 DERECHA (6789),Herrajes,CHAD6789.webp
CHAD5835,CHAPA DEXTER 900 IZQUIERDA (5835),Herrajes,CHAD5835.webp
CHAD6790,CHAPA DEXTER 900 IZQUIERDA (6790),Herrajes,CHAD6790.webp
CHA6766,CHAPA DEXTER ALTA SEG. IZQ. 6766,Herrajes,CHA6766.webp
CHA6765,CHAPA DEXTER ALTA SEG.DER. 6765,Herrajes,CHA6765.webp
CHAD5836,CHAPA DEXTER BARRA LIBRE DERECHA (5836),Acero (barra y placa),CHAD5836.webp
CHAD5837,CHAPA DEXTER BARRA LIBRE IZQUIERDA (5837),Acero (barra y placa),CHAD5837.webp
CHAD6740,CHAPA DEXTER DALTON MOD 01DA55LAAB 6740,Herrajes,CHAD6740.webp
CHAD6742,CHAPA DEXTER DALTON MOD.01DA55LBAB 6742,Herrajes,CHAD6742.webp
CHAD6741,CHAPA DEXTER DALTON MOD.01DA55NSAB 6741,Herrajes,CHAD6741.webp
CHAD6372,CHAPA DEXTER DE 4 BULONES (6372),Herrajes,CHAD6372.webp
CHAD5801,CHAPA DEXTER DE BULONES IFD (5801),Herrajes,CHAD5801.webp
CHAD5802,CHAPA DEXTER DE BULONES IFI (5802),Herrajes,CHAD5802.webp
CHAD5804,CHAPA DEXTER DE BULONES IFI (5804),Herrajes,CHAD5804.webp
CHA6748,CHAPA DEXTER DE GATILLO DALTON  NS 6748,Herrajes,CHA6748.webp
CHA6746,CHAPA DEXTER DE GATILLO DALTON LB 6746,Herrajes,CHA6746.webp
CHA6303,CHAPA DEXTER DE GATILLO DALTON NS 6303,Herrajes,CHA6303.webp
CHAD6501,CHAPA DEXTER DELUX L REC. LLAVE ST (6501),Herramienta manual,CHAD6501.webp
CHAD6516,CHAPA DEXTER DELUXE MANIJA P/PRINCIPAL (6516),Herrajes,CHAD6516.webp
CHAD6503,CHAPA DEXTER DELUXE U REC. LLAVE ST (6503),Herramienta manual,CHAD6503.webp
CHAD5807,CHAPA DEXTER ELECTRICA CON BOTON IFD (5807),Herrajes,CHAD5807.webp
CHAD5808,CHAPA DEXTER ELECTRICA CON BOTON IFI (5808),Herrajes,CHAD5808.webp
CHAD6744,CHAPA DEXTER GAT/PER MILAN LATON ANTIG.(6744),Herrajes,CHAD6744.webp
CHA6747,CHAPA DEXTER GATILLO DALTON LA 6747,Herrajes,CHA6747.webp
CHA6745,CHAPA DEXTER GATILLO/PERILLA MILAN  (6745),Herrajes,CHA6745.webp
CHADIFD,CHAPA DEXTER IF DERECHA (6760),Herrajes,CHADIFD.webp
CHADIFI,CHAPA DEXTER IF IZQUIERDA (6761),Herrajes,CHADIFI.webp
CHAD6637,CHAPA DEXTER MA. GRANITO (6637),Herrajes,CHAD6637.webp
CHAD16119,CHAPA DEXTER MANIJA ELECTRONICA (16119),Herrajes,CHAD16119.webp
CHAD6726,CHAPA DEXTER MANIJA L/ANTIG. (6726),Herrajes,CHAD6726.webp
CHAD5818,CHAPA DEXTER MANIJA L/ANTIGUO (5818),Herrajes,CHAD5818.webp
CHAD6657,CHAPA DEXTER MANIJA L/ANTIGUO (6657),Herrajes,CHAD6657.webp
CHAD6641,CHAPA DEXTER MANIJA L/BRILLANTE (6641),Herrajes,CHAD6641.webp
CHAD6659,CHAPA DEXTER MANIJA L/BRILLANTE (6659),Herrajes,CHAD6659.webp
CHAD6724,CHAPA DEXTER MANIJA L/BRILLANTE (6724),Herrajes,CHAD6724.webp
CHAD6725,CHAPA DEXTER MANIJA L/BRILLANTE (6725),Herrajes,CHAD6725.webp
CHAD5826,CHAPA DEXTER MANIJA ONIX C/LLAVE (5826),Herramienta manual,CHAD5826.webp
CHAD5828,CHAPA DEXTER MANIJA ONIX C/LLAVE (5828),Herramienta manual,CHAD5828.webp
CHAD6728,CHAPA DEXTER MANIJA ONIX C/LLAVE. (6728),Herramienta manual,CHAD6728.webp
CHAD5829,CHAPA DEXTER MANIJA ONIX S/LLAVE (5829),Herramienta manual,CHAD5829.webp
CHAD6729,CHAPA DEXTER MANIJA ONIX S/LLAVE. (6729),Herramienta manual,CHAD6729.webp
CHAD6638,CHAPA DEXTER MANIJA TITANIO C/LLAVE(6638),Herramienta manual,CHAD6638.webp
CHA900D,CHAPA DEXTER MOD. 900 DERECHA (6785),Herrajes,CHA900D.webp
CHA900DI,CHAPA DEXTER MOD. 900 IZQUIERDA(6786),Herrajes,CHA900DI.webp
CHA6758,CHAPA DEXTER MORDAZA DC  DER.(6738),Herrajes,CHA6758.webp
CHA6759,CHAPA DEXTER MORDAZA DC  IZQ (6739),Herrajes,CHA6759.webp
CHA6895DEXB,CHAPA DEXTER P/BAÑO (6895),Herrajes,CHA6895DEXB.webp
CHAD6850,CHAPA DEXTER P/MUEBLE CAÑON CHICO (6850),Herrajes,CHAD6850.webp
CHAD2064,CHAPA DEXTER P/PERFILES DE ALUM. (2064),Perfiles estructurales,CHAD2064.webp
CHAD2066,CHAPA DEXTER P/PERFILES DE ALUM. (2066),Perfiles estructurales,CHAD2066.webp
CHAD2067,CHAPA DEXTER P/PERFILES DE ALUM. (2067),Perfiles estructurales,CHAD2067.webp
CHADPR,CHAPA DEXTER P/RECAMARA (CHA6833),Herrajes,CHADPR.webp
CHAD6496,CHAPA DEXTER P/VITRINA CR (6496),Herrajes,CHAD6496.webp
CHAD6891,CHAPA DEXTER P/VITRINA CR (6891),Herrajes,CHAD6891.webp
CHAD6838,CHAPA DEXTER PARA CAJON CR (6838),Herrajes,CHAD6838.webp
CHAD6840,CHAPA DEXTER PARA CAJON CR (6840),Herrajes,CHAD6840.webp
CHAD6839,CHAPA DEXTER PARA CAJON L (6839),Herrajes,CHAD6839.webp
CHAD6603,CHAPA DEXTER PERILLA BARZA (6603),Herrajes,CHAD6603.webp
CHAD6604,CHAPA DEXTER PERILLA BARZA (6604),Herrajes,CHAD6604.webp
CHAD6605,CHAPA DEXTER PERILLA BARZA (6605),Herrajes,CHAD6605.webp
CHAD6617,CHAPA DEXTER PERILLA BARZA (6617),Herrajes,CHAD6617.webp
CHAD6625,CHAPA DEXTER PERILLA BARZA (6625),Herrajes,CHAD6625.webp
CHAD6683,CHAPA DEXTER PERILLA BARZA (6683),Herrajes,CHAD6683.webp
CHAD6804,CHAPA DEXTER PERILLA BARZA (6804),Herrajes,CHAD6804.webp
CHAD6813,CHAPA DEXTER PERILLA BARZA (6813),Herrajes,CHAD6813.webp
CHAD6834,CHAPA DEXTER PERILLA BARZA (6834),Herrajes,CHAD6834.webp
CHAD6897,CHAPA DEXTER PERILLA BARZA (6897),Herrajes,CHAD6897.webp
CHAD6601,CHAPA DEXTER PERILLA BARZA C/CON LLAVE LB(6601),Herramienta manual,CHAD6601.webp
CHA6606,CHAPA DEXTER PERILLA BARZA S/LLAVE AI (6606),Herramienta manual,CHA6606.webp
CHAD6805,CHAPA DEXTER PERILLA INOX (6805),Acero (barra y placa),CHAD6805.webp
CHAD6626,CHAPA DEXTER PERILLA NIZA (6626),Herrajes,CHAD6626.webp
CHAD6820,CHAPA DEXTER PERILLA NIZA (6820),Herrajes,CHAD6820.webp
CHAD6824,CHAPA DEXTER PERILLA NIZA (6824),Herrajes,CHAD6824.webp
CHAD6826,CHAPA DEXTER PERILLA NIZA (6826),Herrajes,CHAD6826.webp
CHAD6835,CHAPA DEXTER PERILLA NIZA (6835),Herrajes,CHAD6835.webp
CHAD6836,CHAPA DEXTER PERILLA NIZA (6836),Herrajes,CHAD6836.webp
CHA6306,CHAPA DEXTER RESIDENCIAL BOSTON  NS 6306,Herrajes,CHA6306.webp
CHAD6310,CHAPA DEXTER RESIDENCIAL CERROJO CUAD.N.SAT (6310),Herrajes,CHAD6310.webp
CHA6755,CHAPA DEXTER RESIDENCIAL GENOVA  (6755),Herrajes,CHA6755.webp
CHA4188,CHAPA DEXTER RESIDENCIAL GENOVA (4188),Herrajes,CHA4188.webp
CHAD4189,CHAPA DEXTER RESIDENCIAL GENOVA (4189),Herrajes,CHAD4189.webp
CHA4190,CHAPA DEXTER RESIDENCIAL GENOVA (4190),Herrajes,CHA4190.webp
CHAD6305,CHAPA DEXTER RESIDENCIAL LATON  ANTIGUO (6305),Herrajes,CHAD6305.webp
CHA4187,CHAPA DEXTER RESIDENCIAL TRIPOLI (4187),Herrajes,CHA4187.webp
CHA4191,CHAPA DEXTER RESIDENCIAL TRIPOLI (4191),Herrajes,CHA4191.webp
CHAD4186,CHAPA DEXTER RESIDENCIAL TRIPOLI(4186),Herrajes,CHAD4186.webp
CHAD6754,CHAPA DEXTER RESIDENCIAL TRIPOLI(6754),Herrajes,CHAD6754.webp
CHAD6756,CHAPA DEXTER TETRA DERECHA (6756),Herrajes,CHAD6756.webp
CHAD6757,CHAPA DEXTER TETRA IZQUIERDA (6757),Herrajes,CHAD6757.webp
CHADX300,CHAPA P/ALUM. DEXTER X300 C/GANCHO (2019),Tornilleria y fijacion,CHADX300.webp
CHAD2020,CHAPA P/ALUM. DEXTER X300 C/GANCHO (2020),Tornilleria y fijacion,CHAD2020.webp
CHAD2021,CHAPA P/ALUM. DEXTER X300 C/GANCHO (2021),Tornilleria y fijacion,CHAD2021.webp
CHAX2016,CHAPA P/ALUM. DEXTER X300 D/PALETA (2016),Herrajes,CHAX2016.webp
CHAX3002017,CHAPA P/ALUM. DEXTER X300 D/PALETA (2017),Herrajes,CHAX3002017.webp
CHAX3002018,CHAPA P/ALUM. DEXTER X300 D/PALETA (2018),Herrajes,CHAX3002018.webp
CPTAD6752,CIERRA PUERTA DEXTER HIDRAU. 2 VALV AN 6752,"Herrería, forja y herrajes",CPTAD6752.webp
CPTAD6753,CIERRA PUERTA DEXTER HIDRAU. 2 VALV AN 6753,"Herrería, forja y herrajes",CPTAD6753.webp
CHAD6832,COMBO DEXTER PERILLA/CERROJO BARZA 6832,Herrajes,CHAD6832.webp
FIJAPUERTA6868,FIJA PUERTAS DEXTER PATA DE CABRA NS(6868),"Herrería, forja y herrajes",FIJAPUERTA6868.webp
JAL-2211,"JALADERA PARA PUERTA TIPO ""C"" (2211)DEXTER",Herrajes,JAL-2211.webp
JAL-2212,"JALADERA PARA PUERTA TIPO ""C"" (2212)DEXTER",Herrajes,JAL-2212.webp
JALH2203,JALADERA PARA PUERTA TIPO H (2203) DEXTER 1.20 MT,Herrajes,JALH2203.webp
JALH2205,JALADERA PARA PUERTA TIPO H (2205)DEXTER .80CM,Herrajes,JALH2205.webp
JALH2208,JALADERA PARA PUERTA TIPO H (2208) DEXTER,Herrajes,JALH2208.webp
MIR-6415,MIRILLA DEXTER 160°PARA PUERTA 1/2 LB(6415),"Herrería, forja y herrajes",MIR-6415.webp
MIR-6416,MIRILLA DEXTER 180 PARA PUERTA  9/16 LB(6416),"Herrería, forja y herrajes",MIR-6416.webp
MIR-6418,MIRILLA DEXTER 180°PARA PUERTA 9/16 NS(6418),"Herrería, forja y herrajes",MIR-6418.webp
NLB-0-4073,"NUMERO DE LATON B. DE 4"" # ""0""",Herrajes,NLB-0-4073.webp
NLB-1-4074,"NUMERO DE LATON B. DE 4"" # ""1""",Herrajes,NLB-1-4074.webp
NLB-0-4075,"NUMERO DE LATON B. DE 4"" # ""2""",Herrajes,NLB-0-4075.webp
NLB-3-4076,"NUMERO DE LATON B. DE 4"" # ""3""",Herrajes,NLB-3-4076.webp
NLB-4-4077,"NUMERO DE LATON B. DE 4"" # ""4""",Herrajes,NLB-4-4077.webp
NLB-5-4078,"NUMERO DE LATON B. DE 4"" # ""5""",Herrajes,NLB-5-4078.webp
NLB-6-4079,"NUMERO DE LATON B. DE 4"" # ""6""",Herrajes,NLB-6-4079.webp
NLB-0-4080,"NUMERO DE LATON B. DE 4"" # ""7""",Herrajes,NLB-0-4080.webp
NLB-0-4081,"NUMERO DE LATON B. DE 4"" # ""8""",Herrajes,NLB-0-4081.webp
NLB-9-4082,"NUMERO DE LATON B. DE 4"" # ""9""",Herrajes,NLB-9-4082.webp
PASDEX6877,PASADOR DEXTER BARRA PLANA 10 MM (6877),Herramienta manual,PASDEX6877.webp
PASDEX6875,PASADOR DEXTER BARRA PLANA 100 MM (6875),Herramienta manual,PASDEX6875.webp
PASDEX6871,PASADOR DEXTER BARRA PLANA 51 MM (6871),Herramienta manual,PASDEX6871.webp
PASDEX6874,PASADOR DEXTER BARRA PLANA 75 MM NS (6874),Herramienta manual,PASDEX6874.webp
PASDEX6870,PASADOR DEXTER DE BARRA (6870),Acero (barra y placa),PASDEX6870.webp
PASDEX6882,PASADOR DEXTER DE BARRA CON CADENA LA (6882),Acero (barra y placa),PASDEX6882.webp
PASDEX6869,"PASADOR DEXTER DE BARRA PLANA 51MM 2"" L (6869)",Herramienta manual,PASDEX6869.webp
PASDEX6872,PASADOR DEXTER DE BARRA PLANA 75 MM (6872),Herramienta manual,PASDEX6872.webp
PASDEX6881,PASADOR DEXTER DE CADENA (6881),Herrajes,PASDEX6881.webp
PASDEX6883,PASADOR DEXTER DE CADENA (6883),Herrajes,PASDEX6883.webp
PASDEX6886,PASADOR DEXTER DE CADENA (6886),Herrajes,PASDEX6886.webp
PASDEX6884,PASADOR DEXTER DE CADENA LB (6884),Herrajes,PASDEX6884.webp
PASDEX3475,"PASADOR DEXTER DE EMBUTIR DE MAROMA 6"" (3475)",Herrajes,PASDEX3475.webp
4065,"PASADOR DEXTER MAUSER 2"" LATON(4065)",Herrajes,4065.webp
4058,"PASADOR DEXTER MAUSER 2"" NS (4058)",Herrajes,4058.webp
4066,"PASADOR DEXTER MAUSER 3"" LATON (4066)",Herrajes,4066.webp
4059,"PASADOR DEXTER MAUSER 3"" NS (4059)",Herrajes,4059.webp
4067,"PASADOR DEXTER MAUSER 4"" LATON (4067)",Herrajes,4067.webp
4060,"PASADOR DEXTER MAUSER 4"" NS (4060)",Herrajes,4060.webp
4068,"PASADOR DEXTER MAUSER 5"" LATON (4068)",Herrajes,4068.webp
4061,"PASADOR DEXTER MAUSER 5"" NS (4061)",Herrajes,4061.webp
PORTACANDEXTER,"PORTA CANDADO DEXTER GALVANIZADO 4 1/2"" (4264)",Herramienta manual,PORTACANDEXTER.webp
PCHD6855,PORTA CHAPA DEXTER LANTON ANT. (6855),Herrajes,PCHD6855.webp
PCHD6854,PORTA CHAPA DEXTER LATON BRILLANTE (6854),Herrajes,PCHD6854.webp
PCHD6856,PORTA CHAPA DEXTER NIQUEL SATINADO (6856),Herrajes,PCHD6856.webp
TOPE6412,TOPE DEXTER MAGNETICO NS (6412),"Herrería, forja y herrajes",TOPE6412.webp
TOPE6865,TOPE DEXTER RECTO P/PARED  O PTA.NS6865,"Herrería, forja y herrajes",TOPE6865.webp
TOPE6862,TOPE DEXTER TIPO CODO DE PISO NS 6862,Tuberia y conexiones,TOPE6862.webp
TOPE6859,TOPE DEXTER TIPO DOMO DE PISO NS(6859),"Herrería, forja y herrajes",TOPE6859.webp
CSC2,CHAPA KOVAC 715 INSTAFACI DERECHA(CSC2),Herrajes,CSC2.webp
CSC1,CHAPA KOVAC 715 INSTAFACIL IZQ(CSC1),Herrajes,CSC1.webp
CBR2,CHAPA KOVAC 800 LIBRE DER..(CBR2),Herrajes,CBR2.webp
CBR1,CHAPA KOVAC 800 LIBRE IZQ.(CBR1),Herrajes,CBR1.webp
MPI04,CHAPA KOVAC PILSEN MANIJA .C/LLAVE NS(MPI04),Herramienta manual,MPI04.webp
MPI115,CHAPA KOVAC PILSEN MANIJA.C/BAÑO LA  (MPI15),Herrajes,MPI115.webp
MPI14,CHAPA KOVAC PILSEN MANIJA.C/BAÑO NS (MPI14),Herrajes,MPI14.webp
MPI05,CHAPA KOVAC PILSEN MANIJA.C/LLAVE LA(MPI05),Herramienta manual,MPI05.webp
INSER003,ADORNO FORJADO 1/4 X 1/2(INSER003),Forja artistica,INSER003.webp
INSER009,"ADORNO FORJADO 1/4"" X 1/2"" (INSER009)",Forja artistica,INSER009.webp
INSER012,"ADORNO FORJADO 1/4"" X 1/2"" (INSER012)",Forja artistica,INSER012.webp
INSER026,"ADORNO FORJADO 1/4"" X 1/2"" (INSER026)",Forja artistica,INSER026.webp
INSER006,"ADORNO FORJADO 1/4"" X 1/2""(INSER006)",Forja artistica,INSER006.webp
INSER004,"ADORNO FORJADO 1/8"" X 1/2""(INSER004)",Forja artistica,INSER004.webp
INSER007,"ADORNO FORJADO 1/8"" X 1/2""(INSER007)",Forja artistica,INSER007.webp
INSER001,"ADORNO FORJADO DE 1/8"" X 1/2""(INSER001)",Forja artistica,INSER001.webp
INSER010,"ADORNO FORJADO DE 1/8"" X 1/2""(INSER010)",Forja artistica,INSER010.webp
BIGOT-013,"BIGOTE 1/4"" X 1/2"" 7.0 X 11.0 CM",Perfiles estructurales,BIGOT-013.webp
BIGOT-016,"BIGOTE 1/8"" X 1/2"" 7.0 X 11.00 CM",Perfiles estructurales,BIGOT-016.webp
PINA002,"CANASTA O PIÑA 1/2""  6 CMX12.50 CM",Forja artistica,PINA002.webp
PINA005,"CANASTA O PIÑA FLAMA 1/2"" 4 CM X 10 CM",Forja artistica,PINA005.webp
FLODE005,CHAPETON CON BOLA,Seguridad (EPP),FLODE005.webp
FLODE004,CHAPETON PERFORADO,Seguridad (EPP),FLODE004.webp
CUGOF-032,"CUADRADO MARTILLADO DE 1/4""",Macizos,CUGOF-032.webp
ESFOR001,ESFERA MACIZA 25.4M(ESFOR001),Forja artistica,ESFOR001.webp
ESFOOR002,ESFERA MACIZA 38 M(ESFOOR002),Forja artistica,ESFOOR002.webp
ESFOOR003,ESFERA MACIZA 51 M,Forja artistica,ESFOOR003.webp
ESFOOR004,ESFERA MACIZA 64M,Forja artistica,ESFOOR004.webp
ESFOOR006,ESFERA MACIZA 89 M,Forja artistica,ESFOOR006.webp
FLODE006,HOJA ESTRELLA,Herramienta manual,FLODE006.webp
HOJJA005,HOJA GOTA  IZQ,Herramienta manual,HOJJA005.webp
HOJA006,HOJA GOTA DER,Herramienta manual,HOJA006.webp
HOJA004,HOJA RETOÑO DER,Herramienta manual,HOJA004.webp
HOJA003,HOJA RETOÑO IZQ,Herramienta manual,HOJA003.webp
FLODE007,MARGARITA,Forja artistica,FLODE007.webp
PIE-ENC,PIEDRA P/ENCENDEDOR,Abrasivos y discos,PIE-ENC.webp
ESFER001,PIÑA ESFERA 6 FIL 7CM,Forja artistica,ESFER001.webp
PUFLE014,"PUNTA FLECHA 1/2"" DOBLE",Forja artistica,PUFLE014.webp
PUFLE013,"PUNTA FLECHA 1/2"" TRIPLE",Forja artistica,PUFLE013.webp
PUFLE007,"PUNTA FLECHA 3/8"" DOBLE",Forja artistica,PUFLE007.webp
PUFLE006,"PUNTA FLECHA 3/8"" TRIPLE",Forja artistica,PUFLE006.webp
PUFLE004,"PUNTA ONDULADA CUADRADO 1/2""",Acero (barra y placa),PUFLE004.webp
RIZO014,RIZO,"Herrería, forja y herrajes",RIZO014.webp
RIZO011,"RIZO DE 1/4 X 1/2"" 6 X 15.5 CMS","Herrería, forja y herrajes",RIZO011.webp
RIZO013,"RIZO DE 1/4 X 1/2"" 7.6 X 19 CMS","Herrería, forja y herrajes",RIZO013.webp
ROSET002,ROSETON 225 MM,Forja artistica,ROSET002.webp
ROSET003,ROSETON 251 MM,Forja artistica,ROSET003.webp
ROSET001,ROSETON 381 MM,Forja artistica,ROSET001.webp
BIRLO5X178,BIRLO 3/16'' X 7'',Tornilleria y fijacion,BIRLO5X178.webp
BIRLO5X250,"BIRLO 3/16"" X 10""",Tornilleria y fijacion,BIRLO5X250.webp
BIRLO5X300,"BIRLO 3/16"" X 12""",Tornilleria y fijacion,BIRLO5X300.webp
BIRLO5X400,"BIRLO 3/16"" X 16""",Tornilleria y fijacion,BIRLO5X400.webp
BIRLO5X100,"BIRLO 3/16"" X 4""",Tornilleria y fijacion,BIRLO5X100.webp
BIRLO5X125,"BIRLO 3/16"" X 5""",Tornilleria y fijacion,BIRLO5X125.webp
BIRLO5X150,"BIRLO 3/16"" X 6""",Tornilleria y fijacion,BIRLO5X150.webp
BIRLO5X200,"BIRLO 3/16"" X 8""",Tornilleria y fijacion,BIRLO5X200.webp
BIRLO6X250,"BIRLO DE 1/4"" X 10""",Tornilleria y fijacion,BIRLO6X250.webp
BIRLO6X300,"BIRLO DE 1/4"" X 12""",Tornilleria y fijacion,BIRLO6X300.webp
BIRLO6X200,"BIRLO DE 1/4"" X 8""",Tornilleria y fijacion,BIRLO6X200.webp
PIJA14X2,PIJA 14X 2,Tornilleria y fijacion,PIJA14X2.webp
PIJA8X3/4,"PIJA 8 X 3/4"" CIENTO",Tornilleria y fijacion,PIJA8X3-4.webp
PIJAAU38,"PIJA AUTOTALADRANTE 1/4"" X 1 1/2""",Tornilleria y fijacion,PIJAAU38.webp
PIJAAU32,"PIJA AUTOTALADRANTE 1/4"" X 1 1/4""",Tornilleria y fijacion,PIJAAU32.webp
PIJAAU25,"PIJA AUTOTALADRANTE 1/4"" X 1""",Tornilleria y fijacion,PIJAAU25.webp
PIJAAU50,"PIJA AUTOTALADRANTE 1/4"" X 2""",Tornilleria y fijacion,PIJAAU50.webp
PIJAAU75,"PIJA AUTOTALADRANTE 1/4"" X 3""",Tornilleria y fijacion,PIJAAU75.webp
PIJAAU100,"PIJA AUTOTALADRANTE 1/4"" X 4""",Tornilleria y fijacion,PIJAAU100.webp
PIJA10X11/2,"PIJA GALV. 10 X 1 1/2""",Tornilleria y fijacion,PIJA10X11-2.webp
PIJA10X2,"PIJA GALV. 10 X 2""",Tornilleria y fijacion,PIJA10X2.webp
PIJA8X11/2,"PIJA GALV. 8 X 1 1/2""",Tornilleria y fijacion,PIJA8X11-2.webp
PIJA8X1,"PIJA GALV. 8 X 1""",Tornilleria y fijacion,PIJA8X1.webp
PIJA8X2,"PIJA GALV. 8 X 2""",Tornilleria y fijacion,PIJA8X2.webp
PIJAKLATH8X11/2,"PIJA K-LATH BROCA 8 X 1 1/2""",Herramienta manual,PIJAKLATH8X11-2.webp
PIJAKLATH8X1,"PIJA K-LATH BROCA 8 X 1""",Herramienta manual,PIJAKLATH8X1.webp
PIJAKLATH8X1/2,"PIJA K-LATH BROCA 8 X 1/2""",Herramienta manual,PIJAKLATH8X1-2.webp
PIJAKLATH8X3/4,"PIJA K-LATH BROCA 8 X 3/4""",Herramienta manual,PIJAKLATH8X3-4.webp
PIJA12X2,PIJA12X 2,Tornilleria y fijacion,PIJA12X2.webp
RONPREGAL25,"RONDANA DE PRESION GALV. 1""",Tornilleria y fijacion,RONPREGAL25.webp
RONPREGAL13,"RONDANA DE PRESION GALV. 1/2""",Tornilleria y fijacion,RONPREGAL13.webp
RONPREGAL6,"RONDANA DE PRESION GALV. 1/4""",Tornilleria y fijacion,RONPREGAL6.webp
RONPREGAL19,"RONDANA DE PRESION GALV. 3/4""",Tornilleria y fijacion,RONPREGAL19.webp
RONPREGAL10,"RONDANA DE PRESION GALV. 3/8""",Tornilleria y fijacion,RONPREGAL10.webp
RONPREGAL8,"RONDANA DE PRESION GALV. 5/16""",Tornilleria y fijacion,RONPREGAL8.webp
RONPREGAL16,"RONDANA DE PRESION GALV. 5/8""",Tornilleria y fijacion,RONPREGAL16.webp
ROLGAL25,"RONDANA PLANA GALV. 1""",Herramienta manual,ROLGAL25.webp
RONGALV13,"RONDANA PLANA GALV. 1/2""",Herramienta manual,RONGALV13.webp
RONGALV6,"RONDANA PLANA GALV. 1/4""",Herramienta manual,RONGALV6.webp
RONGALV5,"RONDANA PLANA GALV. 3/16""",Herramienta manual,RONGALV5.webp
RONGALV19,"RONDANA PLANA GALV. 3/4""",Herramienta manual,RONGALV19.webp
ROLGALV10,"RONDANA PLANA GALV. 3/8""",Herramienta manual,ROLGALV10.webp
RONGALV.8,"RONDANA PLANA GALV. 5/16""",Herramienta manual,RONGALV-8.webp
RONGALV16,"RONDANA PLANA GALV. 5/8""",Herramienta manual,RONGALV16.webp
TORCOGALV6X75,"TORNILLO C/COCHE GALV. 1/4 X 3""",Tornilleria y fijacion,TORCOGALV6X75.webp
TORCOGALV.6X25,"TORNILLO C/COCHE GALV. 1/4"" X 1",Tornilleria y fijacion,TORCOGALV-6X25.webp
TORCOGALV.6X38,"TORNILLO C/COCHE GALV. 1/4"" X 1 1/2""",Tornilleria y fijacion,TORCOGALV-6X38.webp
