"﻿""proveedor""",codigo,descripcion,categoria
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114203,BOLSA CINCHO PLASTICO NGO 100 PZAS SURTEK 114203,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114215,BOLSA CINCHO PLASTICO NGO 25 PZAS SURTEK 114215,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114205,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114205,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114209,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114209,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114211,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114211,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114213,BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114213,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137601,CONO PRECAUCION SIN REFL 90CM (137601),
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,USIMM33,GABARDINA IMP.  REF.T/EG (USIM33) URREA,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,USIM32,GABARDINA IMP. REF.T/G (USIM32) URREA,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,USIM31,GABARDINA IMP. REF.T/M (USIM31 )URREA,
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,LRCF4,LINTERNA RECARGABLE FOY 110V  (LRCF4),
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,POLAC2A,POLIPASTO INDUSTRIAL DE 1 TN SURTEK (POLAC2A),
