id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
TALDBOSCH,TALDBOSCH,"TALADRO ROTOMARTILLO BOSCH 1/2"" ( 123D5G0)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TALDBOSCH.webp,
TAL-DEWALT1-2,TAL-DEWALT1/2,"TALADRO ROTOMARTILLO DEWALT 1/2"" DW508S(1655)",Herramienta electrica,Herramienta electrica,"1/2"" 1/2",TAL-DEWALT1-2.webp,
TALD-25260K,TALD-25260K,"TALADRO ROTOMARTILLO SDS PLUS 1"" (D2560K)",Herramienta electrica,Herramienta electrica,"1""",TALD-25260K.webp,
DW130,DW130,"TALADRO TIPO ESPADA 5/8"" DEWALT (DW130V)",Herramienta electrica,Herramienta electrica,"5/8"" 5/8",DW130.webp,
2888,2888,"CARDA COPA DE 4 3/4""  2888 TRENZADA",Soldadura y abrasivos,Abrasivos / Discos,"4 3/4"" 3/4",2888.webp,
2898,2898,"CARDA COPA TRENZADA 3""  (2898)",Soldadura y abrasivos,Abrasivos / Discos,"3""",2898.webp,
2899,2899,"CARDA COPA TRENZADA 3"" M14 (2899)",Soldadura y abrasivos,Abrasivos / Discos,"3""",2899.webp,
2843,2843,"CARDA COPA TRENZADA 5""  DE 5/8"" (2843)",Soldadura y abrasivos,Abrasivos / Discos,"5"" 5/8"" 5/8",2843.webp,
2885,2885,"CARDA TIPO DISCO DE 4""  2885  TRENZADA",Soldadura y abrasivos,Abrasivos / Discos,"4""",2885.webp,
D162,D162,"DISCO 162 DE 4 1/2""  PARA CORTE DE MADERA",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D162.webp,
D196,D196,"DISCO 196 CURVO P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D196.webp,
D198,D198,"DISCO 198 PLANO P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D198.webp,
D2004,D2004,"DISCO 2004 P/ DESB. MET. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2004.webp,
D2006,D2006,"DISCO 2006 P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2006.webp,
D2007,D2007,"DISCO 2007 P/DESB MET .7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2007.webp,
D2008,D2008,"DISCO 2008 P/CORT DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2008.webp,
D2014,D2014,DISCO 2014  P/CORTE DE METAL 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2014.webp,
D2015,D2015,"DISCO 2015  P/CORTE INOX. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2015.webp,
D2018,D2018,"DISCO 2018 P/CORTE METAL 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2018.webp,
D2019,D2019,"DISCO 2019  P/CORTE DE MET.  7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2019.webp,
D2024,D2024,"DISCO 2024 P/CORTE DE METAL 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2024.webp,
D2025,D2025,"DISCO 2025 P/CORTE INOXIDABLE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2025.webp,
D204,D204,"DISCO 204 BISEL P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D204.webp,
D2044,D2044,"DISCO 2044  P/CORTE DE INOX. 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2044.webp,
D2133,D2133,"DISCO 2133  P/CORTE DE ALUM. 10"" 100 DIENTES",Soldadura y abrasivos,Abrasivos / Discos,"10""",D2133.webp,
D2134,D2134,"DISCO 2134 P/CORTE DE ALUM.  10"" 120 DIENTES",Soldadura y abrasivos,Abrasivos / Discos,"10""",D2134.webp,
D2216,D2216,"DISCO 2216 GRANO 40  4 1/2"" DE DESB.",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2216.webp,
D2217,D2217,DISCO 2217 GRANO 60 4 1/2 DE DESB.,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2217.webp,
D2218,D2218,"DISCO 2218 GRANO 80 4 1/2"" DE DESB.",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2218.webp,
D2552,D2552,"DISCO 2552 DIAMANTE DE 4""  DENTADO",Soldadura y abrasivos,Abrasivos / Discos,"4""",D2552.webp,
D2553,D2553,"DISCO 2553  DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D2553.webp,
D2555,D2555,"DISCO 2555 DIAMANTE DE 4 1/2"" DENTADO",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2555.webp,
D2556,D2556,"DISCO 2556 DIAMANTE DE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2556.webp,
D2558,D2558,"DISCO 2558  DIAMANTE DE 7"" DENTADO",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2558.webp,
D2559,D2559,"DISCO 2559 DIAMANTE DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2559.webp,
D2638,D2638,DISCO 2638 GRANO 40 4 1/2  DE DESB,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2638.webp,
D2639,D2639,DISCO 2639 GRANO 60 4 1/2 DE DESB.,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2639.webp,
D2643,D2643,DISCO 2643 GRANO 80 4 1/2 DE DESB,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2643.webp,
D2691,D2691,"DISCO 2691 DIAMANTE DE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14""",D2691.webp,
D2716,D2716,DISCO 2716 LAMINADO G-40 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2716.webp,
D2717,D2717,DISCO 2717 LAMINADO G-60 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2717.webp,
D2718,D2718,DISCO 2718 LAMINADO G-80 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2718.webp,
D2953,D2953,DISCO 2953  GRANO 60 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2953.webp,
D2954,D2954,DISCO 2954  GRANO 80 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2954.webp,
D2955,D2955,DISCO 2955  GRANO 120 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2955.webp,
D2956,D2956,DISCO 2956  GRANO 180 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2956.webp,
D2959,D2959,DISCO 2959  GRANO 320 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2959.webp,
D2980,D2980,DISCO 2980 GRANO 40 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2980.webp,
D2982,D2982,DISCO 2982 LAMINADO G-80 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2982.webp,
D2988,D2988,DISCO 2988 GRANO 40 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2988.webp,
D2989,D2989,DISCO 2989 GRANO 60 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2,D2989.webp,
D2990,D2990,"DISCO 2990 LAMINADO G-80 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D2990.webp,
D2995,D2995,"DISCO 2995 GRANO 40 DE 7"" DE DESBASTE",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2995.webp,
D2996,D2996,"DISCO 2996 GRANO 60 DE 7"" DE DESBASTE",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2996.webp,
D2997,D2997,"DISCO 2997 GRANO 80 DE 7"" DE DESBASTE",Soldadura y abrasivos,Abrasivos / Discos,"7""",D2997.webp,
D3250,D3250,"DISCO 3250 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D3250.webp,
D3251,D3251,"DISCO 3251 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D3251.webp,
D3252,D3252,"DISCO 3252 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D3252.webp,
D3253,D3253,"DISCO 3253 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4""",D3253.webp,
D3255,D3255,"DISCO 3255 USO GENERAL DENTADO 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D3255.webp,
D3300,D3300,"DISCO 3300 PARA CORTE 2 EN 1 DE  4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D3300.webp,
D3301,D3301,"DISCO 3301 PARA CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D3301.webp,
D3302,D3302,"DISCO 3302 PARA CORTE INOX. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2",D3302.webp,
D3504,D3504,"DISCO 3504 PARA CORTE DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D3504.webp,
D4250,D4250,"DISCO 4250 TYROLIT 4"" 1/2 P/ INOX .",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2",D4250.webp,
D4251,D4251,"DISCO 4251  TYROLIT 4"" 1/2 P/ METAL",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2",D4251.webp,
D4261,D4261,"DISCO 4261 P/CORTE 5"" 2 EN 1 TYROLIT",Soldadura y abrasivos,Abrasivos / Discos,"5""",D4261.webp,
D525,D525,DISCO 525 P/DESB. MET. 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2,D525.webp,
D554,D554,"DISCO 554 P/CORTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D554.webp,
D560,D560,"DISCO 560 P/DESBASTE  DE 4"" 1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2",D560.webp,
D561,D561,"DISCO 561 P/DESBASTE  7""",Soldadura y abrasivos,Abrasivos / Discos,"7""",D561.webp,
D566,D566,"DISCO 566 P/CORTE DE 4"" 1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2",D566.webp,
