id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
ESFOOR004,ESFOOR004,ESFERA MACIZA 64M,Forja artistica,Figura ornamental,64M,ESFOOR004.webp,
ESFOOR006,ESFOOR006,ESFERA MACIZA 89 M,Forja artistica,Figura ornamental,89 M,ESFOOR006.webp,
FLODE006,FLODE006,HOJA ESTRELLA,Herramienta manual,Herramienta manual,,FLODE006.webp,
HOJJA005,HOJJA005,HOJA GOTA  IZQ,Herramienta manual,Herramienta manual,,HOJJA005.webp,
HOJA006,HOJA006,HOJA GOTA DER,Herramienta manual,Herramienta manual,,HOJA006.webp,
HOJA004,HOJA004,HOJA RETOÑO DER,Herramienta manual,Herramienta manual,,HOJA004.webp,
HOJA003,HOJA003,HOJA RETOÑO IZQ,Herramienta manual,Herramienta manual,,HOJA003.webp,
FLODE007,FLODE007,MARGARITA,Forja artistica,Figura ornamental,,FLODE007.webp,
PIE-ENC,PIE-ENC,PIEDRA P/ENCENDEDOR,Abrasivos y discos,POR CLASIFICAR,,PIE-ENC.webp,
ESFER001,ESFER001,PIÑA ESFERA 6 FIL 7CM,Forja artistica,Figura ornamental,7CM,ESFER001.webp,
PUFLE014,PUFLE014,"PUNTA FLECHA 1/2"" DOBLE",Forja artistica,Figura ornamental,"1/2"" 1/2",PUFLE014.webp,
PUFLE013,PUFLE013,"PUNTA FLECHA 1/2"" TRIPLE",Forja artistica,Figura ornamental,"1/2"" 1/2",PUFLE013.webp,
PUFLE007,PUFLE007,"PUNTA FLECHA 3/8"" DOBLE",Forja artistica,Figura ornamental,"3/8"" 3/8",PUFLE007.webp,
PUFLE006,PUFLE006,"PUNTA FLECHA 3/8"" TRIPLE",Forja artistica,Figura ornamental,"3/8"" 3/8",PUFLE006.webp,
PUFLE004,PUFLE004,"PUNTA ONDULADA CUADRADO 1/2""",Acero (barra y placa),Acero (barra y placa),"1/2"" 1/2",PUFLE004.webp,
RIZO014,RIZO014,RIZO,"Herrería, forja y herrajes",POR CLASIFICAR,,RIZO014.webp,
RIZO011,RIZO011,"RIZO DE 1/4 X 1/2"" 6 X 15.5 CMS","Herrería, forja y herrajes",POR CLASIFICAR,"1/2"" 4 X 1 6 X 15.5 1/4 1/2",RIZO011.webp,
RIZO013,RIZO013,"RIZO DE 1/4 X 1/2"" 7.6 X 19 CMS","Herrería, forja y herrajes",POR CLASIFICAR,"1/2"" 4 X 1 7.6 X 19 1/4 1/2",RIZO013.webp,
ROSET002,ROSET002,ROSETON 225 MM,Forja artistica,Roseta,225 MM,ROSET002.webp,
ROSET003,ROSET003,ROSETON 251 MM,Forja artistica,Roseta,251 MM,ROSET003.webp,
ROSET001,ROSET001,ROSETON 381 MM,Forja artistica,Roseta,381 MM,ROSET001.webp,
BIRLO5X178,BIRLO5X178,BIRLO 3/16'' X 7'',Tornilleria y fijacion,Tornilleria y fijacion,3/16,BIRLO5X178.webp,
BIRLO5X250,BIRLO5X250,"BIRLO 3/16"" X 10""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 10"" 3/16",BIRLO5X250.webp,
BIRLO5X300,BIRLO5X300,"BIRLO 3/16"" X 12""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 12"" 3/16",BIRLO5X300.webp,
BIRLO5X400,BIRLO5X400,"BIRLO 3/16"" X 16""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 16"" 3/16",BIRLO5X400.webp,
BIRLO5X100,BIRLO5X100,"BIRLO 3/16"" X 4""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 4"" 3/16",BIRLO5X100.webp,
BIRLO5X125,BIRLO5X125,"BIRLO 3/16"" X 5""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 5"" 3/16",BIRLO5X125.webp,
BIRLO5X150,BIRLO5X150,"BIRLO 3/16"" X 6""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 6"" 3/16",BIRLO5X150.webp,
BIRLO5X200,BIRLO5X200,"BIRLO 3/16"" X 8""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 8"" 3/16",BIRLO5X200.webp,
BIRLO6X250,BIRLO6X250,"BIRLO DE 1/4"" X 10""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 10"" 1/4",BIRLO6X250.webp,
BIRLO6X300,BIRLO6X300,"BIRLO DE 1/4"" X 12""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 12"" 1/4",BIRLO6X300.webp,
BIRLO6X200,BIRLO6X200,"BIRLO DE 1/4"" X 8""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 8"" 1/4",BIRLO6X200.webp,
PIJA14X2,PIJA14X2,PIJA 14X 2,Tornilleria y fijacion,Tornilleria y fijacion,14X 2,PIJA14X2.webp,
PIJA8X3-4,PIJA8X3/4,"PIJA 8 X 3/4"" CIENTO",Tornilleria y fijacion,Tornilleria y fijacion,"3/4"" 8 X 3 3/4",PIJA8X3-4.webp,
PIJAAU38,PIJAAU38,"PIJA AUTOTALADRANTE 1/4"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1 1/2"" 1/4 1/2",PIJAAU38.webp,
PIJAAU32,PIJAAU32,"PIJA AUTOTALADRANTE 1/4"" X 1 1/4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1 1/4"" 1/4",PIJAAU32.webp,
PIJAAU25,PIJAAU25,"PIJA AUTOTALADRANTE 1/4"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1"" 1/4",PIJAAU25.webp,
PIJAAU50,PIJAAU50,"PIJA AUTOTALADRANTE 1/4"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 2"" 1/4",PIJAAU50.webp,
PIJAAU75,PIJAAU75,"PIJA AUTOTALADRANTE 1/4"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 3"" 1/4",PIJAAU75.webp,
PIJAAU100,PIJAAU100,"PIJA AUTOTALADRANTE 1/4"" X 4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 4"" 1/4",PIJAAU100.webp,
PIJA10X11-2,PIJA10X11/2,"PIJA GALV. 10 X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1 1/2"" 10 X 1 1/2",PIJA10X11-2.webp,
PIJA10X2,PIJA10X2,"PIJA GALV. 10 X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"2"" 10 X 2",PIJA10X2.webp,
PIJA8X11-2,PIJA8X11/2,"PIJA GALV. 8 X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1 1/2"" 8 X 1 1/2",PIJA8X11-2.webp,
PIJA8X1,PIJA8X1,"PIJA GALV. 8 X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1"" 8 X 1",PIJA8X1.webp,
PIJA8X2,PIJA8X2,"PIJA GALV. 8 X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"2"" 8 X 2",PIJA8X2.webp,
PIJAKLATH8X11-2,PIJAKLATH8X11/2,"PIJA K-LATH BROCA 8 X 1 1/2""",Herramienta manual,Herramienta manual,"1 1/2"" 8 X 1 1/2",PIJAKLATH8X11-2.webp,
PIJAKLATH8X1,PIJAKLATH8X1,"PIJA K-LATH BROCA 8 X 1""",Herramienta manual,Herramienta manual,"1"" 8 X 1",PIJAKLATH8X1.webp,
PIJAKLATH8X1-2,PIJAKLATH8X1/2,"PIJA K-LATH BROCA 8 X 1/2""",Herramienta manual,Herramienta manual,"1/2"" 8 X 1 1/2",PIJAKLATH8X1-2.webp,
PIJAKLATH8X3-4,PIJAKLATH8X3/4,"PIJA K-LATH BROCA 8 X 3/4""",Herramienta manual,Herramienta manual,"3/4"" 8 X 3 3/4",PIJAKLATH8X3-4.webp,
PIJA12X2,PIJA12X2,PIJA12X 2,Tornilleria y fijacion,Tornilleria y fijacion,12X 2,PIJA12X2.webp,
RONPREGAL25,RONPREGAL25,"RONDANA DE PRESION GALV. 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1""",RONPREGAL25.webp,
RONPREGAL13,RONPREGAL13,"RONDANA DE PRESION GALV. 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2",RONPREGAL13.webp,
RONPREGAL6,RONPREGAL6,"RONDANA DE PRESION GALV. 1/4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4",RONPREGAL6.webp,
RONPREGAL19,RONPREGAL19,"RONDANA DE PRESION GALV. 3/4""",Tornilleria y fijacion,Tornilleria y fijacion,"3/4"" 3/4",RONPREGAL19.webp,
RONPREGAL10,RONPREGAL10,"RONDANA DE PRESION GALV. 3/8""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3/8",RONPREGAL10.webp,
RONPREGAL8,RONPREGAL8,"RONDANA DE PRESION GALV. 5/16""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16",RONPREGAL8.webp,
RONPREGAL16,RONPREGAL16,"RONDANA DE PRESION GALV. 5/8""",Tornilleria y fijacion,Tornilleria y fijacion,"5/8"" 5/8",RONPREGAL16.webp,
ROLGAL25,ROLGAL25,"RONDANA PLANA GALV. 1""",Herramienta manual,Herramienta manual,"1""",ROLGAL25.webp,
RONGALV13,RONGALV13,"RONDANA PLANA GALV. 1/2""",Herramienta manual,Herramienta manual,"1/2"" 1/2",RONGALV13.webp,
RONGALV6,RONGALV6,"RONDANA PLANA GALV. 1/4""",Herramienta manual,Herramienta manual,"1/4"" 1/4",RONGALV6.webp,
RONGALV5,RONGALV5,"RONDANA PLANA GALV. 3/16""",Herramienta manual,Herramienta manual,"3/16"" 3/16",RONGALV5.webp,
RONGALV19,RONGALV19,"RONDANA PLANA GALV. 3/4""",Herramienta manual,Herramienta manual,"3/4"" 3/4",RONGALV19.webp,
ROLGALV10,ROLGALV10,"RONDANA PLANA GALV. 3/8""",Herramienta manual,Herramienta manual,"3/8"" 3/8",ROLGALV10.webp,
RONGALV-8,RONGALV.8,"RONDANA PLANA GALV. 5/16""",Herramienta manual,Herramienta manual,"5/16"" 5/16",RONGALV-8.webp,
RONGALV16,RONGALV16,"RONDANA PLANA GALV. 5/8""",Herramienta manual,Herramienta manual,"5/8"" 5/8",RONGALV16.webp,
TORCOGALV6X75,TORCOGALV6X75,"TORNILLO C/COCHE GALV. 1/4 X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"3"" 4 X 3 1/4",TORCOGALV6X75.webp,
TORCOGALV-6X25,TORCOGALV.6X25,"TORNILLO C/COCHE GALV. 1/4"" X 1",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4",TORCOGALV-6X25.webp,
TORCOGALV-6X38,TORCOGALV.6X38,"TORNILLO C/COCHE GALV. 1/4"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1 1/2"" 1/4 1/2",TORCOGALV-6X38.webp,
TORCAGALV-6X50,TORCAGALV.6X50,"TORNILLO C/COCHE GALV. 1/4"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 2"" 1/4",TORCAGALV-6X50.webp,
TORCOGALV6X100,TORCOGALV6X100,"TORNILLO C/COCHE GALV. 1/4"" X 4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 4"" 1/4",TORCOGALV6X100.webp,
TORCOGALV-8X38,TORCOGALV.8X38,"TORNILLO C/COCHE GALV. 5/16"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1 1/2"" 5/16 1/2",TORCOGALV-8X38.webp,
TORCOGALV-8X50,TORCOGALV.8X50,"TORNILLO C/COCHE GALV. 5/16"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 2"" 5/16",TORCOGALV-8X50.webp,
TORCOGALV-8X25,TORCOGALV.8X25,"TORNILLO C/COCHE GALV.5/16"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1"" 5/16",TORCOGALV-8X25.webp,
TOR3-16X11-2,TOR3/16X11/2,"TORNILLO GALV. 3/16"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 1 1/2"" 3/16 1/2",TOR3-16X11-2.webp,
TOR3-16X1,TOR3/16X1,"TORNILLO GALV. 3/16"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 1"" 3/16",TOR3-16X1.webp,
TOR3-16X2,TOR3/16X2,"TORNILLO GALV. 3/16"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 2"" 3/16",TOR3-16X2.webp,
TORHEXGAL13X38,TORHEXGAL13X38,"TORNILLO HEX. GALV. 1/2"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1 1/2"" 1/2",TORHEXGAL13X38.webp,
TORHEXGAL13X25,TORHEXGAL13X25,"TORNILLO HEX. GALV. 1/2"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1"" 1/2",TORHEXGAL13X25.webp,
TORHEXGAL13X64,TORHEXGAL13X64,"TORNILLO HEX. GALV. 1/2"" X 2 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 2 1/2"" 1/2",TORHEXGAL13X64.webp,
TORHEXGAL13X50,TORHEXGAL13X50,"TORNILLO HEX. GALV. 1/2"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 2"" 1/2",TORHEXGAL13X50.webp,
TORHEXGAL13X75,TORHEXGAL13X75,"TORNILLO HEX. GALV. 1/2"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 3"" 1/2",TORHEXGAL13X75.webp,
TORHEXGAL13X100,TORHEXGAL13X100,"TORNILLO HEX. GALV. 1/2"" X 4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 4"" 1/2",TORHEXGAL13X100.webp,
TORHEXGAL6X38,TORHEXGAL6X38,"TORNILLO HEX. GALV. 1/4"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1 1/2"" 1/4 1/2",TORHEXGAL6X38.webp,
TORHEXGAL6X25,TORHEXGAL6X25,"TORNILLO HEX. GALV. 1/4"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1"" 1/4",TORHEXGAL6X25.webp,
TORHEXGAL6X64,TORHEXGAL6X64,"TORNILLO HEX. GALV. 1/4"" X 2 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 2 1/2"" 1/4 1/2",TORHEXGAL6X64.webp,
TORHEXGAL6X50,TORHEXGAL6X50,"TORNILLO HEX. GALV. 1/4"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 2"" 1/4",TORHEXGAL6X50.webp,
TORHEXGAL6X75,TORHEXGAL6X75,"TORNILLO HEX. GALV. 1/4"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 3"" 1/4",TORHEXGAL6X75.webp,
TORHEXGAL6X100,TORHEXGAL6X100,"TORNILLO HEX. GALV. 1/4"" X 4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 4"" 1/4",TORHEXGAL6X100.webp,
TORHEXGAL10X38,TORHEXGAL10X38,"TORNILLO HEX. GALV. 3/8"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 1 1/2"" 3/8 1/2",TORHEXGAL10X38.webp,
TORHEXGAL10X25,TORHEXGAL10X25,"TORNILLO HEX. GALV. 3/8"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 1"" 3/8",TORHEXGAL10X25.webp,
TORHEXGAL10X64,TORHEXGAL10X64,"TORNILLO HEX. GALV. 3/8"" X 2 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 2 1/2"" 3/8 1/2",TORHEXGAL10X64.webp,
TORHEXGAL10X50,TORHEXGAL10X50,"TORNILLO HEX. GALV. 3/8"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 2"" 3/8",TORHEXGAL10X50.webp,
TORHEXGAL10X75,TORHEXGAL10X75,"TORNILLO HEX. GALV. 3/8"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3"" 3/8",TORHEXGAL10X75.webp,
TORHEXGAL8X38,TORHEXGAL8X38,"TORNILLO HEX. GALV. 5/16"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1 1/2"" 5/16 1/2",TORHEXGAL8X38.webp,
TORHEXGAL8X25,TORHEXGAL8X25,"TORNILLO HEX. GALV. 5/16"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1"" 5/16",TORHEXGAL8X25.webp,
TORHEXGAL8X65,TORHEXGAL8X65,"TORNILLO HEX. GALV. 5/16"" X 2 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 2 1/2"" 5/16 1/2",TORHEXGAL8X65.webp,
TORHEXGAL8X50,TORHEXGAL8X50,"TORNILLO HEX. GALV. 5/16"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 2"" 5/16",TORHEXGAL8X50.webp,
TORHEXGAL8X75,TORHEXGAL8X75,"TORNILLO HEX. GALV. 5/16"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 3"" 5/16",TORHEXGAL8X75.webp,
TUHEXGALV25,TUHEXGALV25,"TUERCA HEXAGONAL GALV. 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1""",TUHEXGALV25.webp,
TUHEXGALV13,TUHEXGALV13,"TUERCA HEXAGONAL GALV. 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2",TUHEXGALV13.webp,
TUHEXGAL6,TUHEXGAL6,"TUERCA HEXAGONAL GALV. 1/4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4",TUHEXGAL6.webp,
TUHEXGAL5,TUHEXGAL5,"TUERCA HEXAGONAL GALV. 3/16""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 3/16",TUHEXGAL5.webp,
TUHEXGAL19,TUHEXGAL19,"TUERCA HEXAGONAL GALV. 3/4""",Tornilleria y fijacion,Tornilleria y fijacion,"3/4"" 3/4",TUHEXGAL19.webp,
TUHEXGAL10,TUHEXGAL10,"TUERCA HEXAGONAL GALV. 3/8""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3/8",TUHEXGAL10.webp,
TUHEXGAL8,TUHEXGAL8,"TUERCA HEXAGONAL GALV. 5/16""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16",TUHEXGAL8.webp,
TUHEXGAL16,TUHEXGAL16,"TUERCA HEXAGONAL GALV. 5/8""",Tornilleria y fijacion,Tornilleria y fijacion,"5/8"" 5/8",TUHEXGAL16.webp,
VARO25,VARO25,"VARILLA ROSCADA DE 1"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"1"" 1 MTS",VARO25.webp,
VARO13,VARO13,"VARILLA ROSCADA DE 1/2"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"1/2"" 1 MTS 1/2",VARO13.webp,
VAROS6,VAROS6,"VARILLA ROSCADA DE 1/4"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"1/4"" 1 MTS 1/4",VAROS6.webp,
VAROS5,VAROS5,"VARILLA ROSCADA DE 3/16"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"3/16"" 1 MTS 3/16",VAROS5.webp,
VAROS19,VAROS19,"VARILLA ROSCADA DE 3/4"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"3/4"" 1 MTS 3/4",VAROS19.webp,
VAROS10,VAROS10,"VARILLA ROSCADA DE 3/8"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"3/8"" 1 MTS 3/8",VAROS10.webp,
VAROS8X1,VAROS8X1,"VARILLA ROSCADA DE 5/16"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"5/16"" 1 MTS 5/16",VAROS8X1.webp,
VAROS16,VAROS16,"VARILLA ROSCADA DE 5/8"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"5/8"" 1 MTS 5/8",VAROS16.webp,
PLASOLE161,PLASOLE161,PLANTA P/SOLD.ESAB  115/230V (0558101694),Herramienta electrica,Herramienta electrica,115/230,PLASOLE161.webp,
SOLESAB15K,SOLESAB15K,SOLD.ESAB  MICRO A. .035 15 KGS.,Soldadura,POR CLASIFICAR,,SOLESAB15K.webp,
SOLESAB10LB,SOLESAB10LB,SOLD.MICRO A.TUB.  .035 (10 LB/4.54 KGS)ESAB,Soldadura,POR CLASIFICAR,,SOLESAB10LB.webp,
SOLVA1-8CA,SOLVA1/8CA,"SOLDADURA 6013 1/8"" ESAB CAFÉ",Soldadura y abrasivos,Soldadura (consumibles),"6013 1/8"" 1/8",SOLVA1-8CA.webp,
SOLVA3-32C,SOLVA3/32C,SOLDADURA 6013 3/32 ESAB CAFÉ,Soldadura y abrasivos,Soldadura (consumibles),3/32,SOLVA3-32C.webp,
SOLESAB70183-32,SOLESAB70183/32,"SOLDADURA 7018 3/32"" ESAB",Soldadura y abrasivos,Soldadura (consumibles),"7018 3/32"" 3/32",SOLESAB70183-32.webp,
AROSOL,AROSOL,ARO DE SOLERA DE 1/8,Perfiles estructurales,Perfiles estructurales,1/8,AROSOL.webp,
CODS25,CODS25,"CODO SOLDABLE 1""",Tuberia y conexiones,Tuberia y conexiones,"1""",CODS25.webp,
CODS38,CODS38,"CODO SOLDABLE 1"" 1/2",Tuberia y conexiones,Tuberia y conexiones,"1"" 1/2",CODS38.webp,
CODS32,CODS32,"CODO SOLDABLE 1"" 1/4",Tuberia y conexiones,Tuberia y conexiones,"1"" 1/4",CODS32.webp,
CODS50,CODS50,"CODO SOLDABLE 2""",Tuberia y conexiones,Tuberia y conexiones,"2""",CODS50.webp,
CODS64,CODS64,"CODO SOLDABLE 2"" 1/2",Tuberia y conexiones,Tuberia y conexiones,"2"" 1/2",CODS64.webp,
CODS19,CODS19,"CODO SOLDABLE 3/4""",Tuberia y conexiones,Tuberia y conexiones,"3/4"" 3/4",CODS19.webp,
CODS100,CODS100,"CODO SOLDABLE 4""",Tuberia y conexiones,Tuberia y conexiones,"4""",CODS100.webp,
FIGSOLB,FIGSOLB,"FIGURA DE SOLERA ""B"" 16 X 8.0 CMS.",Perfiles estructurales,Perfiles estructurales,16 X 8.0,FIGSOLB.webp,
SP14-CLASICO,SP14-CLASICO,SUPER PICO NO.14 CLASICO C/8PUNTAS,"Alambre, malla y cercas","Alambre, malla y cercas",,SP14-CLASICO.webp,
SP9-PREMIER,SP9-PREMIER,SUPER PICOS NO. 9 PREMIER C/6PUNTAS,"Alambre, malla y cercas","Alambre, malla y cercas",,SP9-PREMIER.webp,
X-1100C,X-1100C,CERR.D/SEG ADIC TETRA X-1100 CROM (571 ),Herrajes,Herraje de puerta,,X-1100C.webp,
CHA50-CPH,CHA50-CPH,CHAPA PHILLIPS 50-C P/MUEBLE,Perfiles estructurales,Perfiles estructurales,,CHA50-CPH.webp,
CA-17,CA-17,JGO. CARBON CORTADORA BOSCH CA-17,Herramienta electrica,Herramienta electrica,,CA-17.webp,
CA-36,CA-36,JGO. CARBON P/ROTOM. BOSCH CA-36,Herramienta manual,Herramienta manual,,CA-36.webp,
CA-14,CA-14,"JGO. CARBON P/TALADRO BOSCH 3/8"" CA-14",Herramienta electrica,Herramienta electrica,"3/8"" 3/8",CA-14.webp,
ENCCAZ,ENCCAZ,ENCENDEDOR TIPO CAZUELA N-113-A,Soldadura y abrasivos,Soldadura (consumibles),,ENCCAZ.webp,
REMA42,REMA42,REMACHE POP 42,Tornilleria y fijacion,Tornilleria y fijacion,,REMA42.webp,
REMA44,REMA44,REMACHE POP 44,Tornilleria y fijacion,Tornilleria y fijacion,,REMA44.webp,
REMA46,REMA46,REMACHE POP 46,Tornilleria y fijacion,Tornilleria y fijacion,,REMA46.webp,
REMA48,REMA48,REMACHE POP 48,Tornilleria y fijacion,Tornilleria y fijacion,,REMA48.webp,
REMA52,REMA52,REMACHE POP 52,Tornilleria y fijacion,Tornilleria y fijacion,,REMA52.webp,
REMA54,REMA54,REMACHE POP 54,Tornilleria y fijacion,Tornilleria y fijacion,,REMA54.webp,
REMA56,REMA56,REMACHE POP 56,Tornilleria y fijacion,Tornilleria y fijacion,,REMA56.webp,
REMA58,REMA58,REMACHE POP 58,Tornilleria y fijacion,Tornilleria y fijacion,,REMA58.webp,
REMA610LF,REMA610LF,REMACHE POP 610 LF,Tornilleria y fijacion,Tornilleria y fijacion,,REMA610LF.webp,
REMA64,REMA64,REMACHE POP 64,Tornilleria y fijacion,Tornilleria y fijacion,,REMA64.webp,
REMA66,REMA66,REMACHE POP 66,Tornilleria y fijacion,Tornilleria y fijacion,,REMA66.webp,
REMA66LF,REMA66LF,REMACHE POP 66 LF,Tornilleria y fijacion,Tornilleria y fijacion,,REMA66LF.webp,
REMA68,REMA68,REMACHE POP 68,Tornilleria y fijacion,Tornilleria y fijacion,,REMA68.webp,
REMA68LF,REMA68LF,REMACHE POP 68 LF,Tornilleria y fijacion,Tornilleria y fijacion,,REMA68LF.webp,
SM6,SM6,"SUJETADOR MARIPOSA 1/4""","Herrería, forja y herrajes",Figura ornamental,"1/4"" 1/4",SM6.webp,
SM5,SM5,"SUJETADOR MARIPOSA 3/16""","Herrería, forja y herrajes",Figura ornamental,"3/16"" 3/16",SM5.webp,
TAQA13,TAQA13,"TAQUETE ANCLA 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2",TAQA13.webp,
TAQANC1-4,TAQANC1/4,TAQUETE ANCLA 1/4,Tornilleria y fijacion,Tornilleria y fijacion,1/4,TAQANC1-4.webp,
TAQA3-8,TAQA3/8,TAQUETE ANCLA 3/8,Tornilleria y fijacion,Tornilleria y fijacion,3/8,TAQA3-8.webp,
TAQA5-16,TAQA5/16,TAQUETE ANCLA 5/16,Tornilleria y fijacion,Tornilleria y fijacion,5/16,TAQA5-16.webp,
TAQAR1-2X3-3-4,TAQAR1/2X3-3/4,TAQUETE ARPON GALV.1/2 X 3-3/4,Tornilleria y fijacion,Tornilleria y fijacion,2 X 3 1/2 3/4,TAQAR1-2X3-3-4.webp,
TAQAR1-4X3-1-4,TAQAR1/4X3-1/4,TAQUETE ARPON GALV.1/4X3-1/4,Tornilleria y fijacion,Tornilleria y fijacion,4X3 1/4,TAQAR1-4X3-1-4.webp,
TAQPLAS6,TAQPLAS6,"TAQUETE DE PLASTICO 1/4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4",TAQPLAS6.webp,
TAQPLAS8,TAQPLAS8,"TAQUETE DE PLASTICO 5/16""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16",TAQPLAS8.webp,
TAQEX1-2,TAQEX1/2,"TAQUETE EXPANSIVO 1/2"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2",TAQEX1-2.webp,
TAQEXP1-4,TAQEXP1/4,"TAQUETE EXPANSIVO 1/4"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4",TAQEXP1-4.webp,
TAQEXP3-16,TAQEXP3/16,"TAQUETE EXPANSIVO 3/16"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 3/16",TAQEXP3-16.webp,
TAQEXP3-8,TAQEXP3/8,"TAQUETE EXPANSIVO 3/8"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3/8",TAQEXP3-8.webp,
TAQEXP5-16,TAQEXP5/16,"TAQUETE EXPANSIVO 5/16"" - Z",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16",TAQEXP5-16.webp,
