"﻿""proveedor""",codigo,descripcion,categoria
"INFRA, S.A DE C.V",SOLFOCOE,"SOLD. FO. CO. (ARC.WELD127)1/8"" ECON.(38PZA)(6040)",Soldadura
"INFRA, S.A DE C.V",ZAP300,ZAPATA 300 AMPS COD.8295,Soldadura
"INFRA, S.A DE C.V",ZAP500,ZAPATA 500 AMPS COD. 8300 INFRA,Soldadura
"INTERNACIONAL TOOL COMPANY, S.A DE C.V",AXT-WP26,ANTORCHA P/SOLD. TIG WP26 4.5MTS. AX 200A,Soldadura
"INTERNACIONAL TOOL COMPANY, S.A DE C.V",AXT-SP250EC,ANTORCHA SPOOL GUN-4MTS. AXT-SP250EC 250 AMP,Soldadura
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",SOLLIN15K,SOLD.LINCOLN  MICRO A. .035 15 KGS.,Soldadura
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",SOLLIN1LBT.030,SOLD.MICRO A.TUB.  .030 (1 LB/  .454 KGS)LINCOLN,Soldadura
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",SOLLIN1LBT,SOLD.MICRO A.TUB.  .035 (1 LB/  .454 KGS)LINCOLN,Soldadura
"PAPALOTES FELIZARDO ELIZONDO GUAJARDO,S.A DE C.V",HSS4X41/4-12.20,"HSS  DE 4"" X 4"" EN 1/4 A 12.20 MTS( 17.73 KG/ML)",Perfiles estructurales
"PERFILES LM, S.A DE C.V",ZM300,CHAMBRANA L ZM300,Perfiles estructurales
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",BUZON,BUZON MEDIANO VARGAS 27 X 21 X 9,"Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",GOG-E108,GOGLE  ELEVA  108 OSCURECIMIENTO AUTOM.,Seguridad EPP
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PROFACL,PROTECTOR FACIAL 3PF-500(CODIGO-8257),Seguridad EPP
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",PROFAE,PROTECTOR FACIAL AMPLIO ELEVA,Seguridad EPP
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,PV121,CHAMBRANA SENCILLA PINTADA,Perfiles estructurales
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,HSS6X63/16-12.20M,"HSS  DE 6"" X 6"" EN 3/16 A 12.20 MTS( 21.65 KG/ML)",Perfiles estructurales
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,HSS6X63/16,"HSS  DE 6"" X 6"" EN 3/16 A 6.10 MTS( 21.65 KG/ML)",Perfiles estructurales
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,HSS10X101/4,"HSS DE 10"" X 10"" EN 1/4"" A 12.20 MTS(48.55 KG/ML)",Perfiles estructurales
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,HSS12X123/8,"HSS DE 12"" X 12"" EN 3/8"" A 12.20 MTS ( 86.46 KG/ML",Perfiles estructurales
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,HSS8X81/4,"HSS DE 8"" X 8"" EN 1/4"" A 12.20 MTS",Perfiles estructurales
PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V,HSS8X8-3/8,"HSS DE 8"" X 8"" EN 3/8"" A 12.20 MTS",Perfiles estructurales
PROVEEDOR EN GENERAL,CAPUCHA,CAPUCHA DE MEZCLILLA,Seguridad EPP
TERNIUM MEXICO S.A DE .CV.,ZV122,CHAMBRANA ESCALONADA,Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZM225,CHAMBRANA L ZM225,Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZV121,CHAMBRANA SENCILLA,Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZV126,CHAMBRANA TAPADA,Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR125,"RECTANGULAR  1 1/4"" X 3/4""",Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR175,"RECTANGULAR  1 3/4"" X 3/4""",Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR225,"RECTANGULAR  2 1/4"" X 3/4""",Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR100,"RECTANGULAR 1"" X 1/2""",Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR249,"RECTANGULAR 2 1/2"" X 1 1/4""",Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR200,"RECTANGULAR 2"" X 1"" C-20",Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR300,RECTANGULAR 3 X 1 1/2 C-20,Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR300C22,RECTANGULAR 3 X 1 1/2 C-22,Perfiles estructurales
TERNIUM MEXICO S.A DE .CV.,ZR400,"RECTANGULAR 4 X 1 1/2""",Perfiles estructurales
"UJUETA MEXICO S,A DE C.V",AT2610254M,ANTORCHA P/SOLD. TIG SR26V 4MTS. 10/25 ELITE,Soldadura
