cod,nom,archivo_crudo,archivo_destino,estado,detalle
,,"ESCUADRA METALICA DE 10"" (122252).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER RESIDENCIAL GENOVA (4189).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SIERRA CORTACIRCULOS BIMETAL 1"" (16L-30016).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CARDA CIRCULAR OND. 1 12 X 0.17MM 14"" (C546).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. CARBON PMINIES. Y CALA. BOSCH CA-20.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TUBO TRENZADO 2"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DESBROZADORA GAS 17""43CC(DG743A).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X8 CAJA GDE. C-22.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MODULO CONTEMPORANEO NO 3.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 3X6 CB 75 CM X 1.83 MTS.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PORTAELECTRODO DE 300 AMP. INFRA.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PFO. 716"" IRWIN (012798).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PASADOR DEXTER MAUSER 2"" NS (4058).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER LATON (6940).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA K-LATH BROCA 8 X 1 12"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MANGAS DE CARNAZA SURTEK (137651).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,FLEXOMETRO CARC.PLASTICO ROJO 5 MT.(142126).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TORO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GAFAS WURKSS REFLEX.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LAMINA GALV.LOSACERO C-24 SECC 25 A 6.10 MTS.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PASADOR DEXTER MAUSER 3"" LATON (4066).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TUBO TRENZADO 1"".jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA Z.LISA 6 X 3.05 C.22.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA AZTECA 3 X 91.5 CM ZINTRO.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BOQUILLA PCORT. OXIG-BUT.  SC-50 A-2(1 14)C-4158.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 1"" FOY (142651).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ANGEL CHICO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PINZA ANILLOS INTERNOS 90º SURTEK (PFR6090).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ESCUADRA COMBINADA DE 12"" (122254).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CONSTELACION GRANDE.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 2 12""  FOY (142654).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 5 X 1.83 RED. COMBINADA.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,KG. DE LAM. GALV ROLL C26 4`.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X3 REC.1.00 MTS X 91.5 CM.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ZOCLO CON CEJA 1 12"" X 1 12"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,VIRGEN.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,FLOR ROMANA 1.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ALA DE QUERUBIN IZQUIERDA.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TERNIUM MEXICO, S.A DE C.V.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"REMACHE POP 113411 (316"" X 14"") SURTEK.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PISTOLA PPINT.GLADIADOR 350W 120V60HZ  ALAMBR..webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BROCA COBALTO UIND. 14 URREA (BCO14).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MT.CADENA GALV. 316"" SURTEK (150850).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"GRUPO CORPORATIVO URGUT, S.A DE C.V.jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 4"" X 4"" C 14 6.10M.jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"REMACHE POP 113420 (14""X12"") SURTEK.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ALA DE CISNE LAMINA.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ROSETON ECLIPSE.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MACHUELO 14"" X 20NC SURTEK (123508).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PIJA MULT. CERR. 6X1-12 SURTEK (PMC6112) 100PZ..jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 4"" X 4"" C-14.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CUADRADO TUBULAR 2"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,FIGURA FO. CO. DE ALCATRAZ.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LLAVE COMB. FOSF. 1-316 URREA (1238B).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJAS PSIERRA CALADOR BCO. 5 PZA.(SSK18).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"RODILLO PPINTAR NAILON 4"" X 38"" SURTEK (123388).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GUANTES NAILON CPOLIU M (GNPM).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJA DE HELECHO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ESPATULA FLEXIBLE MGO. BIMET. 3"" SURTEK (123033).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA COBALTO ALT.VEL.58"" SURTEK(BSR58).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PTR 1 14X 1 14 C-11.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MACHUELO URREA 316"" URREA 24NS.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLACA DE FIJACION 6""X6"" X 14.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"RECTANGULAR  1 14"" X 34"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PISTOLA DE GRAV. PLAST. SURTEK 600 ML (PPG13).avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PCONCRETO URREA 58"" X 6"" (BCN586).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. RIEL CAJON TELESC. 30 CM 3602 (033611).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"LIMA PLANA BASTARDA 8"" (120332).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ROSETON PAJARO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 58"" X 1 MTS.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TENAZA PTIERRA 500 AMP. SURTEK (118008).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"GRUPO INDUSTRIAL GARCIASTEEL,S.A DE C.V.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CERROJO DOBLE CILINDRO LBRILLANTE (6730).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJA DE DURAZNO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CANASTA O PIÑA GRIEGA No.5 P 58"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CARDA COPA ONDULADA 3 X 0.35MM 58"" (C500).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TUBO TRENZADO 34"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,KG. DE LAM. GALV ROLL C26 3`.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLATO NUM.6 DE 4"" 12.png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MANIJA COMBINADA BCE. PVENT.IZQ.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DOBLADORA PARA TUBO HIDRAULICA 16 TON. (121151).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LENTES DE SEGURIDAD OSCURO SURTEK (137669).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ECLIPSE CHICO FO.CO,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DISCO LAMINADO FANDELI GRANO 40 4 12""(64814).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA 8 X 34"" CIENTO.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DADO DE IMPACTO 6 PT 78"" SURTEK (S7828HL).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,LAMPARA DECORATIVA LUNA SURTEK (LUNL03).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"DISCO LAMINADO FANDELI GRANO 80 4 12""(046065).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BROCA COBALTO UIND. 12 URREA (BCO12).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JINETE DE LAMINA (FORJA).avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 1"" X 1"" C-14.jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MT.CADENA GALV. 14"" SURTEK (150851).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,POLIPASTO INDUSTRIAL DE 1 TN SURTEK (POLAC2A).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER DE BULONES IFI (5802).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SUPER PICO N0.10.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CHAPETON 6""(MEGA).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TIRA PCORT. PLANA C24 6.00 M.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CONO PRECAUCION SIN REFL 90CM (137601).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X10 SQ 1.00X3.05 Z..jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER METALICO 40MM (6917).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RETOÑO IZQUIERDO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLATO BASE PLANO 1"" 12.jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SIERRA CORTA CIRCULOS 2 38"" (120747) SURTEK.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,NIDO DE AVES.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BOQUILLA NO2.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MTS. TELA MOSQUITERA ALUM. 1.20 SURTEK (138102)30M.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 3X3 SQ 75 CM X 91.5 CM.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GABARDINA IMP.  REF.TEG (USIM33) URREA.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JALADERA COLOR BLANCA PVENTANA CORRED..webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER METALICO 25 MM GL(6915).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BIRLO 316"" X 16"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SIERRA CORTACIRCULOS BIMETAL 1""14 (20L- 30020).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,NIVEL TORPEDO MAGNETICO STANLEY.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,COMBO ROTOMARTILLO.DEST.IMP.12V..webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA K-LATH BROCA 8 X 1"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PASADOR DEXTER DE EMBUTIR DE MAROMA 6"" (3475).avif",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"LIMA MUSA REDONDA 12"" SURTEK (120363).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER RESIDENCIAL TRIPOLI(4186).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,URREA HERRAMIENTAS PROFESIONALES S.A DE C.V.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 8 X1.83 REDONDA C.22.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TORNILLO DE BANCO LIGERO 4"" SURTEK (107061).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PARA CONCRETO  MAK  14"" X 6"" D24365.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SILICON CART. PENS DURETANO 300ML BCO.(013041).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"JGO.SUJETADOR HULE 15"" (SH15).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,VIRGEN MEDIANA 75CM X 40CM.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RODAJA YOYO ARO BASE 50 MM SURTEK (RY5PB).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PIJA MULT. 10X3 SURTEK (PM103) 100 PZ..jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CUADRADO TUBULAR 1 1 4"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,COTORRO DER.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MT. DE LAM. GALV LISA 4´ C20.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GUANTE MECANICO ANTIVIB. EG URREA (USGVX).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TUBO INDUSTRIAL C-16 2"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER RESIDENCIAL LATON  ANTIGUO (6305).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SUPER PICO N0.14.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SOLD. FO. CO. (ARC.WELD127)18"" ECON.(38PZA)(6040).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 516"" X 1 MTS.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PINZA PELACABLE 8-22 AWG AUTO(997).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TORNILLO CCOCHE GALV. 14"" X 4"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GALLO IZQ..avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ARO DE SOLERA DE 316.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CUELLO CUADRADO FORJADO 58"".jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MT.CABLE DE ACERO PVC 7X19 18"" (CAP214).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CERROJO DEXTER CILINDRO-MARIPOSA LBRILLANTE(6339).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA MULT. 6X12"" SURTEK (PM612) 100PZ..jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RODAJA ESFERICA CON PLACA 50 MM (RE5G).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER ANTIPALANCA 70 MM (16932).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MT. DE LAM. GALV LISA 4´ C18.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 1"" X 1 MTS.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PUNTA DOBLE DE 14"" X 1 12"" SURTEK (PPH2PL).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO CON ALARMA SONORA 70 MM.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ZOCLO CON CEJA 4"" X 1 12"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ZAPATA 300 AMPS COD.8295.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 6""FOY (142658).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 1"" X 1"" C-16.png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PUNTA 0.9MM-TITAN CUT X70 -SWEISS(P2-511).png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ESLINGA OJO 4""X 2M URREA (EP242).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TOCA PUERTAS GRANDE 28 CM X 28 CM.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ESCUADRA METALICA DE 16"" X 24"" (142072).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 3X6 SQ 75 CM X 1.83 MTS.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TORNILLO CCOCHE GALV. 14"" X 2"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,AEROSOL MET. ALUMINIO 300 ML SURTEK (AEM301).avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER ANTIPALANCA COMBO 70 MM (16933).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MAGNOLIA (DE FORJA).avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GABRIEL REYES GOMEZ.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CARDA COPA TRENZADA 4""X1 18"" (123239).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 5 X 1.05 SQ.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PISTOLA PPINTAR GLADIADOR CBATERIA 18 V.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,RACK DESPACHADOR PTALADRO 18 X 13 (EXHE2G).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"MT.CABLE DE ACERO 7 X 19 14"" (CA218).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 14"" X 1 MTS.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,GUANTE MECANICO ANTIVIB. M URREA (USGVM).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. CARBON PMINI ESMERILADORA B&D CA-33-A.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLACA 38"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ESLABON ALUMINIO CENTRAL.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,KG. DE LAM. GALV ROLL C24 3`.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ESQUINERO GALVANIZADO 4"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CORTAPERNOS 36"" SURTEK (115143).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,HOJA DE EUCALIPTO.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CINCEL 12"" DE 8"" LARGO SURTEK (117116).jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"ARO DE REDONDO DE 38"" A 12 CM..jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CARDA COPA ONDULADA 3 X 0.35MM M14 (C501).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CABEZA DE LOBO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA GALV. 8 X 1"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA COBALTO ALT.VEL.34"" SURTEK(BSR34).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLACA 34"".jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BIRLO DE 14"" X 8"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 2"" X 4""  C-11.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PZA. LATERAL EUROPEA.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SERRUCHO BIMAT.3PLE FILO 14 "".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CARDA COPA TRENZ. 3X 0.35MM 58""(C512).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PTR 1 14X 1 14 C-14.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PLATO 5 58 HONDO.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PLACA 316"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER LATON (6942).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER DALTON MOD 01DA55LAAB 6740.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PINZA PRESION 9"" NARIZ LGA (115058).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,DUELA ZINTRO DE 11 X 2.44 REDONDA C.22.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA CORRUGADA 38 "".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"COPLE HEMBRA 14"" SURTEK (108106).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR DE 2"" X 2"" GALVANIZADO C-14.png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X6 CB 1.00 MTS X 1.83 MTS.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MANGAS DE CARNAZA SURTEK (137651).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SOL CHICO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"RECTANGULAR  1 34"" X 34"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 316"" X 1 MTS.jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"TIJERA PARA HOJALATERO 7"" (TJH7).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ZINTRO 4X3 CAJA GDE. C-22.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PTR 1""X 2"" C-16.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 6""FOY (142658).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,ARO DE SOLERA DE 18.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PEGAMENTO ADVO PAQ 3 INST.TEKBOND 1G (051015).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TIRA LOUVER NEGRA CCOST.3.05 MTS. CAL. 18.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TIRA PCORT. PLANA C24 5.05 M.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,SOL MEDIANO.avif,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,BOQ. PCORT. OXIG. BUT. SC-50 A-1(58)C-4157.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,AEROSOL 400 ML VERDE ECOL. SURTEK (AES427).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"LIMA MUSA REDONDA 12"" SURTEK (120363).png",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"PIJA GALV. 8 X 1 12"".webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCA PARA CONCRETO IRWIN  316"" X 39 MM LARGO.webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"VARILLA ROSCADA DE 34"" X 1 MTS.jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ATRAV. 3X10 EN V C 20.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PORTAELECTRODO DE 500 AMP. INFRA.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CANDADO DEXTER LATON 25 MM GL (6939).webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TABLERO ATRAV. 3X10 EN V C 22.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"BROCHA MANGO PLASTICO 3"" FOY (142655).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,CHAPA DEXTER RESIDENCIAL TRIPOLI (4187).png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,PERFIL MOSQUITERO.jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. CARBON PESMERIL JAGUAR CA-11.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,TENAZA PTIERRA 300 AMP SURTEK (118007).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"SIERRA CORTACIRCULOS BIMETAL 78"" (14L 30014 ).webp",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO.CARBON PMINIES. DEWALT CA-18.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,APACHE DERECHO.png,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. CARBON PMINI ESME. DEWALT CA-39-A.webp,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MENSULA DE ACERO 10 X 16 BLANCO SURTEK (137827).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"CUADRADO TUBULAR 1"".jpeg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MENSULA DE ACERO 8 X 12 GRIS SURTEK (137820).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,C512.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,"GUARDACABO PCABLE DE ACERO 14"" SURTEK (GC3).jpg",,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,83519_U1_142652.jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,MICA TRANSP. AUM. 1.5 DIOPT. (8529).jpg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
,,JGO. SIERRAS CORTACIRCULOS 4PZA.(JCS4).jpeg,,huerfano,Archivo en fotos_crudas sin producto correspondiente
