cod,nom,archivo_crudo,archivo_destino,estado,detalle
R101P4.27,LAMINA POLICARBONATO R101 4.27,LAMINA POLICARBONATO R101 4.27.webp,R101P4-27.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/R101P4-27.webp
R101P6.10,LAMINA POLICARBONATO R101 6.10,LAMINA POLICARBONATO R101 6.10.jpg,R101P6-10.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/R101P6-10.webp
LAR3.66,LAMINA ACRILICO RECT. 3.66,LAMINA ACRILICO RECT. 3.66.webp,LAR3-66.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/LAR3-66.webp
BPVC2.95M,BAJANTE PVC 2.95M X8CMX6CM,BAJANTE PVC 2.95M X8CMX6CM.jpg,BPVC2-95M.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/BPVC2-95M.webp
BPVC4M,BAJANTE PVC 4M X8CMX6CM,BAJANTE PVC 4M X8CMX6CM.jpg,BPVC4M.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/BPVC4M.webp
CCENTRAL,CAIDA CENTRAL PVC 13.50X8.50X10.50X7.5CM,CAIDA CENTRAL PVC 13.50X8.50X10.50X7.5CM.webp,CCENTRAL.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/CCENTRAL.webp
MEDE2116,METAL DESPLEGADO 21-16 3' ( .91 CM),METAL DESPLEGADO 21-16 3' ( .91 CM).jpg,MEDE2116.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/MEDE2116.webp
044A,REG 1 1/2 CUADRADO HULE (044A),REG 1 12 CUADRADO HULE (044A).jpg,044A.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/044A.webp
BIBELCH,BIBEL CHICO (VARGAS),BIBEL CHICO (VARGAS).webp,BIBELCH.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/BIBELCH.webp
BIBELCHICOLIGHT,BIBEL CHICO LIGHT (VARGAS),BIBEL CHICO LIGHT (VARGAS).webp,BIBELCHICOLIGHT.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/BIBELCHICOLIGHT.webp
BIBELMEDLIGHT,BIBEL MEDIANO LIGHT (VARGAS),BIBEL MEDIANO LIGHT (VARGAS).webp,BIBELMEDLIGHT.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/BIBELMEDLIGHT.webp
HSS10X101/4,"HSS DE 10"" X 10"" EN 1/4"" A 12.20 MTS(48.55 KG/ML)","HSS DE 10"" X 10"" EN 14"" A 12.20 MTS(48.55 KGML).png",HSS10X101-4.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HSS10X101-4.webp
HSS8X81/4,"HSS DE 8"" X 8"" EN 1/4"" A 12.20 MTS","HSS DE 8"" X 8"" EN 14"" A 12.20 MTS.jpg",HSS8X81-4.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HSS8X81-4.webp
HSS8X8-3/8,"HSS DE 8"" X 8"" EN 3/8"" A 12.20 MTS","HSS DE 8"" X 8"" EN 38"" A 12.20 MTS.jpg",HSS8X8-3-8.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/HSS8X8-3-8.webp
MON250X69C-14,"MONTEN 10 X 2"" 3/4  C-14    10 MTS","MONTEN 10 X 2"" 34  C-14    10 MTS.webp",MON250X69C-14.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/MON250X69C-14.webp
MON100X50C14,"MONTEN PINTADO 4 X 2"" C14 6MTS.","MONTEN PINTADO 4 X 2"" C14 6MTS..webp",MON100X50C14.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/MON100X50C14.webp
PTR38X38C16,"PTR 1 1/2 X 1 1/2""  C-16","PTR 1 12 X 1 12""  C-16.webp",PTR38X38C16.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/PTR38X38C16.webp
PTR 38X75,"PTR 1 1/2"" X 3""","PTR 1 12"" X 3"".webp",PTR-38X75.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/PTR-38X75.webp
PTR38X100,"PTR 1 1/2"" X 4""","PTR 1 12"" X 4"".webp",PTR38X100.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/PTR38X100.webp
TUINC1644,"TUBO INDUSTRIAL C-16 1"" 3/4","TUBO INDUSTRIAL C-16 1"" 34.jpeg",TUINC1644.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/TUINC1644.webp
CRIBA,CRIBA ORNAMENTAL GALV. C. 10.5 40X40X 1M.,CRIBA ORNAMENTAL GALV. C. 10.5 40X40X 1M..webp,CRIBA.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/CRIBA.webp
ZP1500,RIEL DOBLE GRANDE PARA PORTON,RIEL DOBLE GRANDE PARA PORTON.jpg,ZP1500.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ZP1500.webp
SOLD410-2X3/16-6M,"SOLERA DECOR. 2"" X 3/16"" 6MT.(20410)","SOLERA DECOR. 2"" X 316"" 6MT.(20410).png",SOLD410-2X3-16-6M.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD410-2X3-16-6M.webp
SOLD4056M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20405)","SOLERA DECOR. 316"" X 1"" 12 6MT.(20405).png",SOLD4056M.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD4056M.webp
SOLD4066M,"SOLERA DECOR. 3/16"" X 1"" 1/2 6MT.(20406)","SOLERA DECOR. 316"" X 1"" 12 6MT.(20406).png",SOLD4066M.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD4066M.webp
SOLD4106M,"SOLERA DECOR. 3/16"" X 1""1/2 6MT.(20410)","SOLERA DECOR. 316"" X 1""12 6MT.(20410).png",SOLD4106M.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/SOLD4106M.webp
ARC17T,ARCO P/SEGUETA TUBULAR SURTEK (17T),ARCO PSEGUETA TUBULAR SURTEK (17T).webp,ARC17T.webp,ok,sin-rembg→solo-centrar | guardado en /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/ARC17T.webp
