"﻿""proveedor""",codigo,descripcion,categoria
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",RECLA,REJACERO CLASICO  91.5 X 2.44 MTS.(71155,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REGO1.22,REJACERO GOTICO 1.22 X 2.44 MTS.,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REGO,REJACERO GOTICO 91.5 X 2.44 MTS.,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REGRA1.22,REJACERO GRANADA 1.22X 2.44 MTS,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REGRA,REJACERO GRANADA 91.5 CM X 2.44 MT,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REPA,REJACERO PACIFICO 91.5 X 2.44 MT,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",REPA1.22,REJACERO PACIFICO DE 1.22 X 2.44 MT,"Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",RE3/1635,"RESORTE P/CORTINA 3/16"" X 35 CM","Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",RE3/1640,"RESORTE P/CORTINA 3/16"" X 40 CM","Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",RE7/3235,"RESORTE P/CORTINA 7/32"" X 35 CM","Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",RE7/3240,"RESORTE P/CORTINA 7/32"" X 40 CM","Alambre, malla y cercas"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU75N,"TEJUELO NEGRO 3""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU100,"TEJUELO NEGRO DE 4""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU38,"TEJUELO PULIDO 1 1/2""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU32,"TEJUELO PULIDO 1 1/4""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU25,"TEJUELO PULIDO 1""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU64,"TEJUELO PULIDO 2 1/2""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU50,"TEJUELO PULIDO 2""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TEJU75,"TEJUELO PULIDO 3""","Herrería, forja y herrajes"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V",TOCAPMI,TOCA PUERTA MINI (15 X 15),"Herrería, forja y herrajes"
PROVEEDOR EN GENERAL,TILOUVER,TIRA LOUVER GAL. 3.05 MTS. GALV. CAL. 18,Lámina y cubiertas
SYNERGY IMPORTS. S.A. DE C.V.,BAT1120-3,BATERIA 20V A 3 AMP. GLADIATOR (BAT1120-3),Herramienta eléctrica
SYNERGY IMPORTS. S.A. DE C.V.,IP 1012/220,CORTADOR DE PLASMA 220V NEO,Herramienta eléctrica
SYNERGY IMPORTS. S.A. DE C.V.,RM1030/120G K,"ROTOMART ELECTRON. GLAD ,900W (RM1030/120G K)",Herramienta eléctrica
TERNIUM MEXICO S.A DE .CV.,ZP100,"CAJITA 1"" X 1 1/2""",Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGLR3C24,KG. DE LAM. GALV ROLL C24 3`,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGLR4C24,KG. DE LAM. GALV ROLL C24 4`,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGLR3C26,KG. DE LAM. GALV ROLL C26 3`,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGLR4C26,KG. DE LAM. GALV ROLL C26 4`,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGLR3C28,KG. DE LAM. GALV ROLL C28 3`,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGLR3C30,KG. DE LAM. GALV ROLL C30 3´,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL3C14,MT. DE LAM. GALV LISA 3' C14,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL3C16,MT. DE LAM. GALV LISA 3´ C16,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL3C18,MT. DE LAM. GALV LISA 3´ C18,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL3C20,MT. DE LAM. GALV LISA 3´ C20,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL3C22,MT. DE LAM. GALV LISA 3´ C22,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL4C16,MT. DE LAM. GALV LISA 4´ C16,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL4C18,MT. DE LAM. GALV LISA 4´ C18,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL4C20,MT. DE LAM. GALV LISA 4´ C20,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,LGL4C22,MT. DE LAM. GALV LISA 4´ C22,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,ZP1400,RIEL DOBLE CHICO PARA PUERTA,Lámina y cubiertas
TERNIUM MEXICO S.A DE .CV.,ZV124,RIEL SENCILLO PARA VENTANA,Lámina y cubiertas
"TUBO DECORADO MONTERREY, S.A DE C.V",LMNC18-4X8,LOUVER MESH N94 A.NEGRO C18 4X8,Lámina y cubiertas
"TUBO DECORADO MONTERREY, S.A DE C.V",TILOUVERN,TIRA LOUVER NEGRA C/COST.3.05 MTS. CAL. 18,Lámina y cubiertas
"UJUETA MEXICO S,A DE C.V",G2-217,"CONECTOR RAPIDO HEMBRA 1/2"" G2-217 P/SWEISS",Soldadura (consumibles)
"UJUETA MEXICO S,A DE C.V",G2-216,CONECTOR RAPIDO HEMBRA 3/8 G2-216 P/ELITE Y FURIUS,Soldadura (consumibles)
"UJUETA MEXICO S,A DE C.V",G2-214,"CONECTOR RAPIDO MACHO 1/2"" G2-214P/SWEISS",Soldadura (consumibles)
"UJUETA MEXICO S,A DE C.V",G2-213,CONECTOR RAPIDO MACHO 3/8 G2-213 P/ELITE Y FURIUS,Soldadura (consumibles)
"UJUETA MEXICO S,A DE C.V",G2-210,CONECTOR RAPIDO MAQUINA G2-210 P/ELITE Y FURIUS,Soldadura (consumibles)
"UJUETA MEXICO S,A DE C.V",CORPECUT40,CORTADOR DE PLASMA ELITECUT 40 110/220V,Herramienta eléctrica
"UJUETA MEXICO S,A DE C.V",P2-518,DIFUSOR TITAN CUT X70 SWEISS(P2-518),Soldadura (consumibles)
"UJUETA MEXICO S,A DE C.V",P2-514,TOBERA TITAN CUT X70 SWEISS(P2-514),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,WS235,ACEITE AFLOJATODO 235 ML SURTEK (WS235),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,WS400,ACEITE AFLOJATODO 400 ML SURTEK (WS400),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,U40B,ACEITE AFLOJATODO DIEL 235 ML (U40B),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,U40,ACEITE AFLOJATODO DIEL 400 ML (U40),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,140982,ACEITE MULTIUSOS 100ML (140982) FOY,Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,151226,"ACOPLADOR PARA REMOLQUE 2"" SURTEK (151226)",Tubería y conexiones
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,108123,ACOPLADORES RAPIDOS 4 PZA. SURTEK (108123),Tubería y conexiones
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PA1,AEROGRAFO PROF. POR GRAVEDAD SURTEK (PA1),Herramienta eléctrica
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,AEM301,AERSOL MET. ALUMINIO 300 ML SURTEK (AEM301),"Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,AS510A,ASPIRADORA 10 GAL 4HP 120V SURTEK (AS510A),Herramienta eléctrica
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137079,BANCO P/MECAN. ACOLCH. 770 MM (137079),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,BAF150,"BARRETA HEX. 1"" X 1,50 MTS SURTEK (BAF150)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,CPU19P,"CAJA PLASTICA BROCH 19 X 10"" ( CPU19P )",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,CPS17,CAJA PLASTICA NEGRA SURTEK (CPS17),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,CPS19P,CAJA PLASTICA NEGRA SURTEK (CPS19P),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,SINAIS-138001,CINTA AISLAR SURTEK 19MMX18M (138001),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,SINAIS-138000,CINTA AISLAR SURTEK 9M (138000),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137367,CINTA ANTIDERRAPANTE 50MM 5M SURTEK (137367),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,CLFV20,CINTA LGA FIB VID 20 M  ( CLFV20 ),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137297,"CINTA PRECAUCION DE 3"" 100 MTS.(137297)",Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,138026,CINTA TRANS. 150 MTS SURTEK (138026),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,CRSOLS,CONECTOR PARA SOLDAR (CRSOLS),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,142636,"CUÑA P/RASPAR CON MANGO PLASTICO 5"" (142636)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,D247,"DESTORNILLADOR D/CRUZ PH 3/16"" X 4"" SURTEK (D247)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,D202,"DESTORNILLADOR PLANO 3/16"" X 4"" SURTEK (D202)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114301,ENGRAPADORA MANUAL 4-14MM SURTEK (114301),"Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,EE20,ESCALERA EXT. T/3 ALUM. 20 PELD.(EE20),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,EM212,ESCALERA MULTI.T/3 ALUM. 12 PEL.(EM212),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ETT2,ESCALERA PLEGABLE T/TAB.ACER. 2 PELDAÑO (ETT2),"Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ESC34,"ESLINGA OJO 3"" X 4M 3 TON. SURTEK (ESC34)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ESC36,"ESLINGA OJO 3"" X 6M SURTEK (ESC36)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,EP243,"ESLINGA OJO 4"" X 3M URREA (EP243)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ESC44,"ESLINGA OJO 4"" X 4M SURTEK (ESC44)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,EP242,"ESLINGA OJO 4""X 2M URREA (EP242)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,EP244,"ESLINGA OJO 4""X 4M URREA (EP244)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,EP246,ESLINGA OJO-OJO URREA 4X6MT.  (EP246),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,FIL108103,FILTRO SEPARADOR AGUA Y ACEITE SURTEK(108103),Pintura y químicos
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,130409,FUMIGADOR DOMESTICO 1.5L (130409),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,GAVA2,GAVETA PLASTICA AMARILLA SURTEK (GAVA2),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,GAVA3,GAVETA PLASTICA AMARILLA SURTEK (GAVA3),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114361,"GRAPAS 13/32X5/16"" ENGRAP.MAN(114361)","Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114354,"GRAPAS ENGRA. MANUAL 7/16"" X 1/2"" SURTEK (114354)","Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,114355,"GRAPAS ENGRA. MANUAL 7/16"" X 9/16"" SURTEK (114355)","Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,LA32AA,LINTERNA LED ANT.IMP. BAT. AA  (LA32AA),Eléctrico e iluminación
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,LTU40S,LINTERNA LED T/SLIM RECA 400LM,Eléctrico e iluminación
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,MANDRIL,"MANDRIL DE 1 1/4"" A 6"" SURTEK (120756)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,MANDRIL3/8,MANDRIL GUIA SURTEK 3/8 (120755),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,123900,"MANERAL AJUSTABLE 1/16"" A 1/4"" SURTEK (123900)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137651,MANGAS DE CARNAZA SURTEK (137651),Seguridad (EPP)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137658,MANGAS DE MEZCLILLA SURTEK (137658),Seguridad (EPP)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,108146,MANGUERA BAJA PRESION 10 MT SURTEK (108146),Tubería y conexiones
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,150851,"MT.CADENA GALV. 1/4"" SURTEK (150851)","Alambre, malla y cercas"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,150847,"MT.CADENA GALV. 1/8"" SURTEK  (150847)","Alambre, malla y cercas"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,150850,"MT.CADENA GALV. 3/16"" SURTEK (150850)","Alambre, malla y cercas"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,143422,"MTS. CADENA PLASTICA 1/4"" NARANJA FOY (143422)","Alambre, malla y cercas"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,138102,MTS. TELA MOSQUITERA ALUM. 1.20 SURTEK (138102)30M,"Alambre, malla y cercas"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PER140432,"PERICO 12"" FOY (140432)","Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PER3,"PERRO HIERRO MALEABLE 1/4"" (PER3) SURTEK",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PER1,"PERRO HIERRO MALEABLE 1/8"" (PER1) SURTEK",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PER2,"PERRO HIERRO MALEABLE 3/16"" (PER2) SURTEK",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,MN1300,PILA ALCALINA DURACEL D 2PZA.(MN1300),Eléctrico e iluminación
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ESQ25,POSICIONADOR MAGNETICO 12 KGS. (ESQ25),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PM22.70KGS,POSICIONADOR MAGNETICO 22.70 KGS.(123281),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ESQ75,POSICIONADOR MAGNETICO 34 KGS (ESQ75),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,PM34KG123282,POSICIONADOR MAGNETICO 34 KGS.(123282),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,ESQ100,POSICIONADOR MAGNETICO 45 KGS (ESQ100),Soldadura (consumibles)
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,117166,"PUNTO PARA MARCAR 1/2"" X 6"" (117166) SURTEK",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,RAFIABCA,RAFIA BLANCA SURTEK (RAF001),"Alambre, malla y cercas"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,RH5B,"RODAJA HULE GIRATORIA C/FRENO 2""(RH5B)",Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,RY5PB,RODAJA YOYO ARO BASE 50 MM SURTEK (RY5PB),"Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,34014,"SERRUCHO BIMAT.3PLE FILO 14 """,Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,137459,TOPE ESTACIONAMIENTO 54CM X 16CM SURTEK (137459),"Herrería, forja y herrajes"
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,151007,TROL 1000 KG. SURTEK (151007),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,151006,TROL 500 KG. SURTEK (151006),Herramienta manual
URREA HERRAMIENTAS PROFESIONALES S.A DE C.V,TROL151010,TROL 5000 KG. SURTEK (151010),Herramienta manual
VICTOR HUGO HERNANDEZ AGUILAR,RIELC,RIEL O GUIA P/CORTINA EUR. 6.00 M,Lámina y cubiertas
WAREZOM S.A DE C.V,DSB-250,GOGLES (BETA250),Seguridad (EPP)
