"﻿""proveedor""",codigo,descripcion,categoria
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CINTRA032211,CINTA EMPACAR TRANSP. 48MMX150M HITOOLS (032211),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CINTRA032212,CINTA EMPACAR TRANSP. 72MMX150M HITOOLS (032212),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CINPEN10CM,CINTA TAPAGOTERAS PENNSYL. 10 CM. (021202),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CINPEN5CM,CINTA TAPAGOTERAS PENNSYL. 5 CM.,Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",ESPPENFOAM,ESPUMA  PENS FOAM AMAR.LATA (030995),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",ESPPEFOAM500ML,ESPUMA  PENS FOAM MULTIPOSICION 360° 500M(043291),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",ESPPENMULT,ESPUMA MULTIPOSICION 340GR. (043292),Pintura y químicos
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",RESDBL,RESBALON DOBLE BALA LATONADO (012652),"Herrería, forja y herrajes"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",SOLCIN3M,SOLUCINTA NEGRA 3M DEVCON,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",ALAQD,ALA DE QUERUBIN DERECHA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",ALAQ,ALA DE QUERUBIN IZQUIERDA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",ALAS,ALA DE SERAFIN,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",APACHED,APACHE DERECHO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",APACHE,APACHE IZQUIERDO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",AROC13,ARO DE CUAD.DE 1/2 A 12 CM( C-3),"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",CALEON,CABEZA DE LEON,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",CALOBO,CABEZA DE LOBO,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",CONSCH,CONSTELACION CHICA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",CONSGDE,CONSTELACION GRANDE,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",COTOD,COTORRO DER,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",COTOI,COTORRO IZQ,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",CRESTA,CRESTA,"Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","EST5""","ESTRELLA DE 5""","Herrería, forja y herrajes"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V",FLEP1,FLECHA PARKER 1,"Herrería, forja y herrajes"
