cod,nom,foto,medida_raw,medida_px,factor,lado_destino,estado,detalle
DWE4315,"MINI ESMERILADORA 4 1/2"" DEWALT (DWE4315)",DWE4315.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESMM4010,"MINI ESMERILADORA DEWALT  4 1/2"" (4010)",MESMM4010.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESMD4020,"MINI ESMERILADORA DEWALT  4 1/2"" (4020)",MESMD4020.webp,"4 1/2"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESMD4120,"MINI ESMERILADORA DEWALT 4 1/2""(4120)",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/MESMD4120-1785145416575.webp,"4 1/2"" 1/2",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/MESMD4120-1785145416575.webp
MEMM41/29510,"MINI ESMERILADORA MAKITA 4 1/2"" ( M9510B )",MEMM41-29510.webp,"4 1/2"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
MESM90B,"MINI ESMERILADORA MAKITA 4 1/2"" (MGA90B)",MESM90B.webp,"4 1/2"" 1/2",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
SOLD6010,"SOLDADURA 6010 1/8"" ESAB",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLD6010-1785305724860.webp,"6010 1/8"" 1/8",6010.0,0.9254,647,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLD6010-1785305724860.webp
SOLESAB70181/8,"SOLDADURA 7018 1/8"" ESAB",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLESAB70181-8-1785364173548.webp,"7018 1/8"" 1/8",7018.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/SOLESAB70181-8-1785364173548.webp
D2006,"DISCO 2006 P/CORTE 4 1/2""",D2006.webp,"4 1/2""",4.0,0.5345,374,ok,Guardado con lado_destino=374px (factor=0.5345)
D554,"DISCO 554 P/CORTE 7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D554-1785148340425.webp,"7""",7.0,0.7071,494,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D554-1785148340425.webp
D567,"DISCO 567 P/CORTE  7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D567-1785148441819.jpg,"7""",7.0,0.7071,494,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D567-1785148441819.jpg
D732,"DISCO 732 P/CORTE 8""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D732-1785148602699.jpg,"8""",8.0,0.7559,529,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D732-1785148602699.jpg
D733,"DISCO 733 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D733-1785148581959.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D733-1785148581959.jpg
D737,"DISCO 737 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D737-1785148524230.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D737-1785148524230.jpg
D739,"DISCO 739 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D739-1785148545308.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D739-1785148545308.jpg
D742,"DISCO 742 P/CORTE  14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D742-1785148625089.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D742-1785148625089.jpg
D743,"DISCO 743 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D743-1785148648378.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D743-1785148648378.jpg
D744,"DISCO 744 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D744-1785148669934.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D744-1785148669934.jpg
D758,"DISCO 758 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D758-1785149108183.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D758-1785149108183.jpg
D766,"DISCO 766 P/CORTE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D766-1785149128639.jpg,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D766-1785149128639.jpg
D775,"DISCO 775  P/CORTE 4 1/2""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D775-1785149167393.jpg,"4 1/2""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D775-1785149167393.jpg
D778,"DISCO 778  P/CORTE 4 1/2""",D778.webp,"4 1/2""",4.0,0.5345,374,ok,Guardado con lado_destino=374px (factor=0.5345)
D781,"DISCO 781 P/CORTE 4 1/2""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D781-1785149204855.jpg,"4 1/2""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D781-1785149204855.jpg
D879,"DISCO 879 P/CORTE 7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D879-1785149291983.jpg,"7""",7.0,0.7071,494,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D879-1785149291983.jpg
D889,"DISCO 889 P/CORTE 7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D889-1785149367417.jpg,"7""",7.0,0.7071,494,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D889-1785149367417.jpg
D2015,"DISCO 2015  P/CORTE INOX. 4 1/2""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2015-1785145802129.webp,"4 1/2""",4.0,0.7559,529,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2015-1785145802129.webp
D751,"DISCO 751 P/CORTE INOX. 4 1/2""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D751-1785148931080.jpg,"4 1/2""",4.0,0.7559,529,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D751-1785148931080.jpg
D877,"DISCO 877 P/CORTE 7"" INOX.",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D877-1785149260656.jpg,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D877-1785149260656.jpg
D2024,"DISCO 2024 P/CORTE DE METAL 7""",D2024.webp,"7""",7.0,0.8819,617,ok,Guardado con lado_destino=617px (factor=0.8819)
D882,"DISCO 882 P/CORTE DE METAL 9""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D882-1785149345397.jpg,"9""",9.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D882-1785149345397.jpg
D2133,"DISCO 2133  P/CORTE DE ALUM. 10"" 100 DIENTES",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2133-1785145948663.webp,"10""",10.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2133-1785145948663.webp
D2134,"DISCO 2134 P/CORTE DE ALUM.  10"" 120 DIENTES",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2134-1785145976617.webp,"10""",10.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2134-1785145976617.webp
D2216,"DISCO 2216 GRANO 40  4 1/2"" DE DESB.",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2216-1785146011408.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2216-1785146011408.webp
D2218,"DISCO 2218 GRANO 80 4 1/2"" DE DESB.",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2218-1785146088509.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2218-1785146088509.webp
D2217,DISCO 2217 GRANO 60 4 1/2 DE DESB.,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2217-1785146045253.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2217-1785146045253.webp
D2639,DISCO 2639 GRANO 60 4 1/2 DE DESB.,D2639.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
D2552,"DISCO 2552 DIAMANTE DE 4""  DENTADO",D2552.webp,"4""",4.0,0.7559,529,ok,Guardado con lado_destino=529px (factor=0.7559)
D2555,"DISCO 2555 DIAMANTE DE 4 1/2"" DENTADO",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2555-1785146216870.webp,"4 1/2""",4.0,0.7559,529,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2555-1785146216870.webp
D2558,"DISCO 2558  DIAMANTE DE 7"" DENTADO",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2558-1785146274431.webp,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2558-1785146274431.webp
D2553,"DISCO 2553  DIAMANTE DE 4""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2553-1785146143315.webp,"4""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2553-1785146143315.webp
D2556,"DISCO 2556 DIAMANTE DE 4 1/2""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2556-1785146313866.webp,"4 1/2""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2556-1785146313866.webp
D2559,"DISCO 2559 DIAMANTE DE 7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2559-1785147942366.webp,"7""",7.0,0.7071,494,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2559-1785147942366.webp
D2691,"DISCO 2691 DIAMANTE DE 14""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2691-1785146472470.webp,"14""",14.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2691-1785146472470.webp
D3250,"DISCO 3250 DIAMANTE DE 4""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D3250-1785147974598.webp,"4""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D3250-1785147974598.webp
D3251,"DISCO 3251 DIAMANTE DE 4""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D3251-1785147995875.webp,"4""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D3251-1785147995875.webp
D3252,"DISCO 3252 DIAMANTE DE 4""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D3252-1785148018451.webp,"4""",4.0,0.5345,374,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D3252-1785148018451.webp
D3253,"DISCO 3253 DIAMANTE DE 4""",D3253.webp,"4""",4.0,0.5345,374,ok,Guardado con lado_destino=374px (factor=0.5345)
D2638,DISCO 2638 GRANO 40 4 1/2  DE DESB,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2638-1785146360870.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2638-1785146360870.webp
D2643,DISCO 2643 GRANO 80 4 1/2 DE DESB,D2643.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
D2716,DISCO 2716 LAMINADO G-40 4 1/2,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2716-1785146540243.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2716-1785146540243.webp
D2717,DISCO 2717 LAMINADO G-60 4 1/2,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2717-1785146563960.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2717-1785146563960.webp
D2718,DISCO 2718 LAMINADO G-80 4 1/2,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2718-1785146596650.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2718-1785146596650.webp
D2982,DISCO 2982 LAMINADO G-80 4 1/2,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2982-1785147538228.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2982-1785147538228.webp
D2953,DISCO 2953  GRANO 60 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2953-1785146712580.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2953-1785146712580.webp
D2954,DISCO 2954  GRANO 80 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2954-1785147196584.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2954-1785147196584.webp
D2955,DISCO 2955  GRANO 120 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2955-1785147246799.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2955-1785147246799.webp
D2956,DISCO 2956  GRANO 180 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2956-1785147359012.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2956-1785147359012.webp
D2959,DISCO 2959  GRANO 320 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2959-1785147400076.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2959-1785147400076.webp
D2980,DISCO 2980 GRANO 40 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2980-1785147494485.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2980-1785147494485.webp
D2988,DISCO 2988 GRANO 40 DE 4 1/2 DE DESBASTE,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2988-1785147599850.webp,"4 1/2""",4.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2988-1785147599850.webp
D2989,DISCO 2989 GRANO 60 DE 4 1/2 DE DESBASTE,D2989.webp,"4 1/2""",4.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
D2995,"DISCO 2995 GRANO 40 DE 7"" DE DESBASTE",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2995-1785147693622.webp,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2995-1785147693622.webp
D2996,"DISCO 2996 GRANO 60 DE 7"" DE DESBASTE",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2996-1785147719418.webp,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2996-1785147719418.webp
D2997,"DISCO 2997 GRANO 80 DE 7"" DE DESBASTE",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2997-1785147747101.webp,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D2997-1785147747101.webp
D561,"DISCO 561 P/DESBASTE  7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D561-1785148374975.webp,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D561-1785148374975.webp
D999,"DISCO 999 P/DESBASTE 7""",https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D999-1785149627313.jpg,"7""",7.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/D999-1785149627313.jpg
1686,HOJA LIJA 1686 P/PASTA GRANO 36,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/1686-1785151707821.jpg,230 x 279 mm,230.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/1686-1785151707821.jpg
1687,HOJA LIJA 1687 P/PASTA GRANO 50,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/1687-1785151755496.jpg,230 x 279 mm,230.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/1687-1785151755496.jpg
2740,HOJA LIJA 2740 GRANO 80,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2740-1785151892086.jpg,230 x 280 mm,230.0,0.2896,202,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2740-1785151892086.jpg
2741,HOJA LIJA 2741  GRANO 100,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2741-1785151939004.jpg,230 x 280 mm,230.0,0.2896,202,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2741-1785151939004.jpg
2742,HOJA LIJA 2742  GRANO 120,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2742-1785151972755.jpg,,2742.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2742-1785151972755.jpg
2743,HOJA LIJA 2743 GRANO 150,https://qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2743-1785152005734.jpg,230 x 280 mm,230.0,0.2896,202,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/https:/qdlezhfcnwsygtosieme.supabase.co/storage/v1/object/public/fotos/2743-1785152005734.jpg
