cod,nom,foto,medida_raw,medida_px,factor,lado_destino,estado,detalle
TPG2,TIRA PARA GRAPA No. 2 DE 3MTS.,TPG2.webp,3MTS,3.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VIGA12X4(20.9KG),"VIGA  IPR 12"" X 4"" (20.9KG/MT) A 12.20MTS",VIGA12X4-20-9KG.webp,"12"" 4"" 12.20MTS",12.2,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA12X4-20-9KG.webp
VIGA10X4(22K),"VIGA IPR 10"" X 4""  (22.00KG/MT) A 12.20MTS",VIGA10X4-22K.webp,"10"" 4"" 12.20MTS",12.2,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VIGA10(38.7KG/M),"VIGA IPR 10"" X 5 3/4"" (38.7KG/MT) A 12.20 MTS",VIGA10-38-7KG-M.webp,"10"" 5 3/4"" 12.20 MTS 3/4",12.2,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VIGA10(44.6KG/MTS),"VIGA IPR 10"" X 5 3/4"" (44.6KG/MT) A 12.20 MTS",VIGA10-44-6KG-MTS.webp,"10"" 5 3/4"" 12.20 MTS 3/4",12.2,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
VIGA8X4-14.90A12.20,"VIGA IPR 8"" X 4"" (14.90 KG/MT) A 12.20 MTS",VIGA8X4-14-90A12-20.webp,"8"" 4"" 12.20 MTS",12.2,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA8X4-14-90A12-20.webp
VIGA,"VIGA IPR 8"" X 4"" (14.90 KG/MT) A 6.10 MTS",VIGA.webp,"8"" 4"" 6.10 MTS",8.0,0.8098,566,ok,Guardado con lado_destino=566px (factor=0.8098)
VIGA16X7(67.10KG),"VIGA IPR  16"" X 7""  (67.10KG/ MT) A  12.20  MTS.",VIGA16X7-67-10KG.webp,"16"" 7"" 12.20 MTS",16.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA16X7-67-10KG.webp
VIGA16X7(74.40KG),"VIGA IPR  16"" X 7""  (74.40KG/ MT) A  12.20  MTS.",VIGA16X7-74-40KG.webp,"16"" 7"" 12.20 MTS",16.0,1.0,700,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA16X7-74-40KG.webp
VIGA6X4(12.60KG),"VIGA IPR  6"" X 4""  (12.7KG/ MT) A  12.20  MTS.",VIGA6X4-12-60KG.webp,"6"" 4"" 12.20 MTS",12.2,0.8732,611,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA6X4-12-60KG.webp
VIGA6X4(13.40KG),"VIGA IPR  6"" X 4""  (13.40KG/MT) A  12.20  MTS.",VIGA6X4-13-40KG.webp,"6"" 4"" 12.20 MTS",12.2,0.8732,611,ok,Guardado con lado_destino=611px (factor=0.8732)
VIGA6X4(17.90KG),"VIGA IPR  6"" X 4""  (17.90KG/MT) A  12.20  MTS.",VIGA6X4-17-90KG.webp,"6"" 4"" 12.20 MTS",12.2,0.8732,611,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA6X4-17-90KG.webp
VIGA10X4(25.0KG)12.2,"VIGA IPR 10"" X 4"" (25.3KG/MT) A 12.20 MTS.",VIGA10X4-25-0KG-12-2.webp,"10"" 4"" 12.20 MTS",12.2,0.8732,611,ok,Guardado con lado_destino=611px (factor=0.8732)
VIGA8X4(19.5KG)12.20,"VIGA IPR 8"" X 4"" (19.50 KG/MT) A 12.20  MTS.",VIGA8X4-19-5KG-12-20.webp,"8"" 4"" 12.20 MTS",12.2,0.8732,611,skip,Foto no encontrada: /home/rodrigo/Documentos/ProyectosVisual/Catalogo_Digital_Aceros_Pe-ascal/catalogo-web/fotos/VIGA8X4-19-5KG-12-20.webp
"VIGAIPS4""11.46K/M12.","VIGA IPS DE 4"" DE 11.46 KG/ML 12.20 MTS",VIGAIPS4-11-46K-M12.webp,"4"" 12.20 MTS",12.2,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
"VIGAIPS4""11.46K/ML","VIGA IPS DE 4"" DE 11.46 KG/ML 6.10 MTS",VIGAIPS4-11-46K-ML.webp,"4"" 6.10 MTS",6.1,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
BOMBOEMB38,"BOMBO EMB. C/BALERO 1 1/2""",BOMBOEMB38.webp,"1 1/2"" 1/2",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
BOMBOEMB25,"BOMBO EMB. C/BALERO 1""",BOMBOEMB25.webp,"1""",1.0,1.0,700,ok,Guardado con lado_destino=700px (factor=1.0)
CHL25,"CHAPETON LAMINA 1""",CHL25.webp,"1""",1.0,0.4082,285,ok,Guardado con lado_destino=285px (factor=0.4082)
CHL13,"CHAPETON LAMINA 1/2""",CHL13.webp,"1/2"" 1/2",0.5,0.2887,202,ok,Guardado con lado_destino=202px (factor=0.2887)
CHL50,"CHAPETON LAMINA 2""",CHL50.webp,"2""",2.0,0.5774,404,ok,Guardado con lado_destino=404px (factor=0.5774)
CHL75,"CHAPETON LAMINA 3""",CHL75.webp,"3""",3.0,0.7071,494,ok,Guardado con lado_destino=494px (factor=0.7071)
CHL19,"CHAPETON LAMINA 3/4""",CHL19.webp,"3/4"" 3/4",0.75,0.3536,247,ok,Guardado con lado_destino=247px (factor=0.3536)
CHL100,"CHAPETON LAMINA 4""",CHL100.webp,"4""",4.0,0.8165,571,ok,Guardado con lado_destino=571px (factor=0.8165)
