"﻿""proveedor""",codigo,descripcion,categoria,tipo,medidas
ABASTECEDOR LEAL,TALD-25260K,"TALADRO ROTOMARTILLO SDS PLUS 1"" (D2560K)",Herramienta electrica,Herramienta electrica,"1"""
ABASTECEDOR LEAL,DW130,"TALADRO TIPO ESPADA 5/8"" DEWALT (DW130V)",Herramienta electrica,Herramienta electrica,"5/8"" 5/8"
"ABRASIVOS ESPECIALES, S.A DE C.V",2888,"CARDA COPA DE 4 3/4""  2888 TRENZADA",Soldadura y abrasivos,Abrasivos / Discos,"4 3/4"" 3/4"
"ABRASIVOS ESPECIALES, S.A DE C.V",2898,"CARDA COPA TRENZADA 3""  (2898)",Soldadura y abrasivos,Abrasivos / Discos,"3"""
"ABRASIVOS ESPECIALES, S.A DE C.V",2899,"CARDA COPA TRENZADA 3"" M14 (2899)",Soldadura y abrasivos,Abrasivos / Discos,"3"""
"ABRASIVOS ESPECIALES, S.A DE C.V",2843,"CARDA COPA TRENZADA 5""  DE 5/8"" (2843)",Soldadura y abrasivos,Abrasivos / Discos,"5"" 5/8"" 5/8"
"ABRASIVOS ESPECIALES, S.A DE C.V",2885,"CARDA TIPO DISCO DE 4""  2885  TRENZADA",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D162,"DISCO 162 DE 4 1/2""  PARA CORTE DE MADERA",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D196,"DISCO 196 CURVO P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D198,"DISCO 198 PLANO P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2004,"DISCO 2004 P/ DESB. MET. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2006,"DISCO 2006 P/CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2007,"DISCO 2007 P/DESB MET .7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2008,"DISCO 2008 P/CORT DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2014,DISCO 2014  P/CORTE DE METAL 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2015,"DISCO 2015  P/CORTE INOX. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2018,"DISCO 2018 P/CORTE METAL 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2019,"DISCO 2019  P/CORTE DE MET.  7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2024,"DISCO 2024 P/CORTE DE METAL 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2025,"DISCO 2025 P/CORTE INOXIDABLE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D204,"DISCO 204 BISEL P/DESBASTE DE MADERA DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2044,"DISCO 2044  P/CORTE DE INOX. 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2133,"DISCO 2133  P/CORTE DE ALUM. 10"" 100 DIENTES",Soldadura y abrasivos,Abrasivos / Discos,"10"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2134,"DISCO 2134 P/CORTE DE ALUM.  10"" 120 DIENTES",Soldadura y abrasivos,Abrasivos / Discos,"10"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2216,"DISCO 2216 GRANO 40  4 1/2"" DE DESB.",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2217,DISCO 2217 GRANO 60 4 1/2 DE DESB.,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2218,"DISCO 2218 GRANO 80 4 1/2"" DE DESB.",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2552,"DISCO 2552 DIAMANTE DE 4""  DENTADO",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2553,"DISCO 2553  DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2555,"DISCO 2555 DIAMANTE DE 4 1/2"" DENTADO",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2556,"DISCO 2556 DIAMANTE DE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2558,"DISCO 2558  DIAMANTE DE 7"" DENTADO",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2559,"DISCO 2559 DIAMANTE DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2638,DISCO 2638 GRANO 40 4 1/2  DE DESB,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2639,DISCO 2639 GRANO 60 4 1/2 DE DESB.,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2643,DISCO 2643 GRANO 80 4 1/2 DE DESB,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2691,"DISCO 2691 DIAMANTE DE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2716,DISCO 2716 LAMINADO G-40 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2717,DISCO 2717 LAMINADO G-60 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2718,DISCO 2718 LAMINADO G-80 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2953,DISCO 2953  GRANO 60 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2954,DISCO 2954  GRANO 80 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2955,DISCO 2955  GRANO 120 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2956,DISCO 2956  GRANO 180 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2959,DISCO 2959  GRANO 320 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2980,DISCO 2980 GRANO 40 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2982,DISCO 2982 LAMINADO G-80 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2988,DISCO 2988 GRANO 40 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2989,DISCO 2989 GRANO 60 DE 4 1/2 DE DESBASTE,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D2990,"DISCO 2990 LAMINADO G-80 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D2995,"DISCO 2995 GRANO 40 DE 7"" DE DESBASTE",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2996,"DISCO 2996 GRANO 60 DE 7"" DE DESBASTE",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D2997,"DISCO 2997 GRANO 80 DE 7"" DE DESBASTE",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D3250,"DISCO 3250 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D3251,"DISCO 3251 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D3252,"DISCO 3252 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D3253,"DISCO 3253 DIAMANTE DE 4""",Soldadura y abrasivos,Abrasivos / Discos,"4"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D3255,"DISCO 3255 USO GENERAL DENTADO 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D3300,"DISCO 3300 PARA CORTE 2 EN 1 DE  4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D3301,"DISCO 3301 PARA CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D3302,"DISCO 3302 PARA CORTE INOX. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D3504,"DISCO 3504 PARA CORTE DE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D4250,"DISCO 4250 TYROLIT 4"" 1/2 P/ INOX .",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D4251,"DISCO 4251  TYROLIT 4"" 1/2 P/ METAL",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D4261,"DISCO 4261 P/CORTE 5"" 2 EN 1 TYROLIT",Soldadura y abrasivos,Abrasivos / Discos,"5"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D525,DISCO 525 P/DESB. MET. 4 1/2,Soldadura y abrasivos,Abrasivos / Discos,1/2
"ABRASIVOS ESPECIALES, S.A DE C.V",D554,"DISCO 554 P/CORTE 7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D560,"DISCO 560 P/DESBASTE  DE 4"" 1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D561,"DISCO 561 P/DESBASTE  7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D566,"DISCO 566 P/CORTE DE 4"" 1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D567,"DISCO 567 P/CORTE  7""",Soldadura y abrasivos,Abrasivos / Discos,"7"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D710,"DISCO 710 P/CORTE  4"" 1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D711,"DISCO 711 DE CORTE 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D732,"DISCO 732 P/CORTE 8""",Soldadura y abrasivos,Abrasivos / Discos,"8"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D733,"DISCO 733 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D737,"DISCO 737 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D739,"DISCO 739 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D742,"DISCO 742 P/CORTE  14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D743,"DISCO 743 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D744,"DISCO 744 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D746,"DISCO 746 P/CORTE DE INOX.14 """,Soldadura y abrasivos,Abrasivos / Discos,"14 """
"ABRASIVOS ESPECIALES, S.A DE C.V",D750,"DISCO 750 P/CORTE INOX 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D751,"DISCO 751 P/CORTE INOX. 4 1/2""",Soldadura y abrasivos,Abrasivos / Discos,"4 1/2"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D752,"DISCO 752 P/CORTE INOX DE 4""1/2",Soldadura y abrasivos,Abrasivos / Discos,"4"" 1/2"
"ABRASIVOS ESPECIALES, S.A DE C.V",D753,"DISCO 753 P/CORTE INOX. AUSTROMEX  14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D758,"DISCO 758 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
"ABRASIVOS ESPECIALES, S.A DE C.V",D766,"DISCO 766 P/CORTE 14""",Soldadura y abrasivos,Abrasivos / Discos,"14"""
