"﻿""proveedor""",codigo,descripcion,categoria,tipo,medidas
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TORHEXGAL10X75,"TORNILLO HEX. GALV. 3/8"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3"" 3/8"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TORHEXGAL8X38,"TORNILLO HEX. GALV. 5/16"" X 1 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1 1/2"" 5/16 1/2"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TORHEXGAL8X25,"TORNILLO HEX. GALV. 5/16"" X 1""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1"" 5/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TORHEXGAL8X65,"TORNILLO HEX. GALV. 5/16"" X 2 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 2 1/2"" 5/16 1/2"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TORHEXGAL8X50,"TORNILLO HEX. GALV. 5/16"" X 2""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 2"" 5/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TORHEXGAL8X75,"TORNILLO HEX. GALV. 5/16"" X 3""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 3"" 5/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGALV25,"TUERCA HEXAGONAL GALV. 1""",Tornilleria y fijacion,Tornilleria y fijacion,"1"""
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGALV13,"TUERCA HEXAGONAL GALV. 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGAL6,"TUERCA HEXAGONAL GALV. 1/4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGAL5,"TUERCA HEXAGONAL GALV. 3/16""",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 3/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGAL19,"TUERCA HEXAGONAL GALV. 3/4""",Tornilleria y fijacion,Tornilleria y fijacion,"3/4"" 3/4"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGAL10,"TUERCA HEXAGONAL GALV. 3/8""",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3/8"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGAL8,"TUERCA HEXAGONAL GALV. 5/16""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,TUHEXGAL16,"TUERCA HEXAGONAL GALV. 5/8""",Tornilleria y fijacion,Tornilleria y fijacion,"5/8"" 5/8"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VARO25,"VARILLA ROSCADA DE 1"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"1"" 1 MTS"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VARO13,"VARILLA ROSCADA DE 1/2"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"1/2"" 1 MTS 1/2"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VAROS6,"VARILLA ROSCADA DE 1/4"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"1/4"" 1 MTS 1/4"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VAROS5,"VARILLA ROSCADA DE 3/16"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"3/16"" 1 MTS 3/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VAROS19,"VARILLA ROSCADA DE 3/4"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"3/4"" 1 MTS 3/4"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VAROS10,"VARILLA ROSCADA DE 3/8"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"3/8"" 1 MTS 3/8"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VAROS8X1,"VARILLA ROSCADA DE 5/16"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"5/16"" 1 MTS 5/16"
DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN,VAROS16,"VARILLA ROSCADA DE 5/8"" X 1 MTS.",Acero (barra y placa),Acero (barra y placa),"5/8"" 1 MTS 5/8"
"ESAB MEXICO, S.A DE C.V",PLASOLE161,PLANTA P/SOLD.ESAB  115/230V (0558101694),Herramienta electrica,Herramienta electrica,115/230
"ESAB MEXICO, S.A DE C.V",SOLESAB15K,SOLD.ESAB  MICRO A. .035 15 KGS.,Soldadura,POR CLASIFICAR,
"ESAB MEXICO, S.A DE C.V",SOLESAB10LB,SOLD.MICRO A.TUB.  .035 (10 LB/4.54 KGS)ESAB,Soldadura,POR CLASIFICAR,
"ESAB MEXICO, S.A DE C.V",SOLVA1/8CA,"SOLDADURA 6013 1/8"" ESAB CAFÉ",Soldadura y abrasivos,Soldadura (consumibles),"6013 1/8"" 1/8"
"ESAB MEXICO, S.A DE C.V",SOLVA3/32C,SOLDADURA 6013 3/32 ESAB CAFÉ,Soldadura y abrasivos,Soldadura (consumibles),3/32
"ESAB MEXICO, S.A DE C.V",SOLESAB70183/32,"SOLDADURA 7018 3/32"" ESAB",Soldadura y abrasivos,Soldadura (consumibles),"7018 3/32"" 3/32"
FABRICACION DE HERRAJES DE OCCIDENTE SA.,AROSOL,ARO DE SOLERA DE 1/8,Perfiles estructurales,Perfiles estructurales,1/8
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS25,"CODO SOLDABLE 1""",Tuberia y conexiones,Tuberia y conexiones,"1"""
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS38,"CODO SOLDABLE 1"" 1/2",Tuberia y conexiones,Tuberia y conexiones,"1"" 1/2"
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS32,"CODO SOLDABLE 1"" 1/4",Tuberia y conexiones,Tuberia y conexiones,"1"" 1/4"
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS50,"CODO SOLDABLE 2""",Tuberia y conexiones,Tuberia y conexiones,"2"""
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS64,"CODO SOLDABLE 2"" 1/2",Tuberia y conexiones,Tuberia y conexiones,"2"" 1/2"
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS19,"CODO SOLDABLE 3/4""",Tuberia y conexiones,Tuberia y conexiones,"3/4"" 3/4"
FABRICACION DE HERRAJES DE OCCIDENTE SA.,CODS100,"CODO SOLDABLE 4""",Tuberia y conexiones,Tuberia y conexiones,"4"""
FABRICACION DE HERRAJES DE OCCIDENTE SA.,FIGSOLB,"FIGURA DE SOLERA ""B"" 16 X 8.0 CMS.",Perfiles estructurales,Perfiles estructurales,16 X 8.0
FABRICACION DE HERRAJES DE OCCIDENTE SA.,SP14-CLASICO,SUPER PICO NO.14 CLASICO C/8PUNTAS,"Alambre, malla y cercas","Alambre, malla y cercas",
FABRICACION DE HERRAJES DE OCCIDENTE SA.,SP9-PREMIER,SUPER PICOS NO. 9 PREMIER C/6PUNTAS,"Alambre, malla y cercas","Alambre, malla y cercas",
"FERREBASTONES CHOLULA, S.A DE C.V",X-1100C,CERR.D/SEG ADIC TETRA X-1100 CROM (571 ),POR CLASIFICAR,POR CLASIFICAR,
"FERREBASTONES CHOLULA, S.A DE C.V",CHA50-CPH,CHAPA PHILLIPS 50-C P/MUEBLE,Perfiles estructurales,Perfiles estructurales,
"FERREBASTONES CHOLULA, S.A DE C.V",CA-17,JGO. CARBON CORTADORA BOSCH CA-17,Herramienta electrica,Herramienta electrica,
"FERREBASTONES CHOLULA, S.A DE C.V",CA-36,JGO. CARBON P/ROTOM. BOSCH CA-36,Herramienta manual,Herramienta manual,
"FERREBASTONES CHOLULA, S.A DE C.V",CA-14,"JGO. CARBON P/TALADRO BOSCH 3/8"" CA-14",Herramienta electrica,Herramienta electrica,"3/8"" 3/8"
"FERRETERA CANTABRIA, S.A DE C.V",ENCCAZ,ENCENDEDOR TIPO CAZUELA N-113-A,POR CLASIFICAR,POR CLASIFICAR,
"FERRETERA CANTABRIA, S.A DE C.V",REMA42,REMACHE POP 42,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA44,REMACHE POP 44,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA46,REMACHE POP 46,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA48,REMACHE POP 48,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA52,REMACHE POP 52,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA54,REMACHE POP 54,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA56,REMACHE POP 56,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA58,REMACHE POP 58,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA610LF,REMACHE POP 610 LF,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA64,REMACHE POP 64,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA66,REMACHE POP 66,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA66LF,REMACHE POP 66 LF,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA68,REMACHE POP 68,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",REMA68LF,REMACHE POP 68 LF,Tornilleria y fijacion,Tornilleria y fijacion,
"FERRETERA CANTABRIA, S.A DE C.V",SM6,"SUJETADOR MARIPOSA 1/4""","Herrería, forja y herrajes",Figura ornamental,"1/4"" 1/4"
"FERRETERA CANTABRIA, S.A DE C.V",SM5,"SUJETADOR MARIPOSA 3/16""","Herrería, forja y herrajes",Figura ornamental,"3/16"" 3/16"
"FERRETERA CANTABRIA, S.A DE C.V",TAQA13,"TAQUETE ANCLA 1/2""",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2"
"FERRETERA CANTABRIA, S.A DE C.V",TAQANC1/4,TAQUETE ANCLA 1/4,Tornilleria y fijacion,Tornilleria y fijacion,1/4
"FERRETERA CANTABRIA, S.A DE C.V",TAQA3/8,TAQUETE ANCLA 3/8,Tornilleria y fijacion,Tornilleria y fijacion,3/8
"FERRETERA CANTABRIA, S.A DE C.V",TAQA5/16,TAQUETE ANCLA 5/16,Tornilleria y fijacion,Tornilleria y fijacion,5/16
"FERRETERA CANTABRIA, S.A DE C.V",TAQAR1/2X3-3/4,TAQUETE ARPON GALV.1/2 X 3-3/4,Tornilleria y fijacion,Tornilleria y fijacion,2 X 3 1/2 3/4
"FERRETERA CANTABRIA, S.A DE C.V",TAQAR1/4X3-1/4,TAQUETE ARPON GALV.1/4X3-1/4,Tornilleria y fijacion,Tornilleria y fijacion,4X3 1/4
"FERRETERA CANTABRIA, S.A DE C.V",TAQPLAS6,"TAQUETE DE PLASTICO 1/4""",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4"
"FERRETERA CANTABRIA, S.A DE C.V",TAQPLAS8,"TAQUETE DE PLASTICO 5/16""",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16"
"FERRETERA CANTABRIA, S.A DE C.V",TAQEX1/2,"TAQUETE EXPANSIVO 1/2"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"1/2"" 1/2"
"FERRETERA CANTABRIA, S.A DE C.V",TAQEXP1/4,"TAQUETE EXPANSIVO 1/4"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"1/4"" 1/4"
"FERRETERA CANTABRIA, S.A DE C.V",TAQEXP3/16,"TAQUETE EXPANSIVO 3/16"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"3/16"" 3/16"
"FERRETERA CANTABRIA, S.A DE C.V",TAQEXP3/8,"TAQUETE EXPANSIVO 3/8"" -Z",Tornilleria y fijacion,Tornilleria y fijacion,"3/8"" 3/8"
"FERRETERA CANTABRIA, S.A DE C.V",TAQEXP5/16,"TAQUETE EXPANSIVO 5/16"" - Z",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 5/16"
"FERRETERA CANTABRIA, S.A DE C.V",TORCOGALV.8X32,"TORNILLO C/COCHE GALV.5/16"" X 1""1/4",Tornilleria y fijacion,Tornilleria y fijacion,"5/16"" 1"" 5/16 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",AAWD40,ACEITE AFLOJATODO WD.40 (000646),Pintura y químicos,POR CLASIFICAR,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",ADHCAR450G,ADHESIVO CART.RESISTOL  NO MAS CLAVOS 450G.(033618,"Alambre, malla y cercas","Alambre, malla y cercas",
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",AFLOJA,AFLOJA TODO 300GR. PERMATEK(030813),Pintura y químicos,POR CLASIFICAR,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",22362,"BROCA P/CONCRETO 1/4"" X 6"" IRWIN (IW9051)",Herramienta manual,Herramienta manual,"1/4"" 6"" 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1""","BROCA P/FO. 1"" C/ZANCO DE 1/2"" IRWIN(018694)",Herramienta manual,Herramienta manual,"1"" 1/2"" 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/16""","BROCA P/FO. 1/16"" IRWIN (012742)",Herramienta manual,Herramienta manual,"1/16"" 1/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/2""","BROCA P/FO. 1/2"" IRWIN (012801)",Herramienta manual,Herramienta manual,"1/2"" 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROIRW1/4,"BROCA P/FO. 1/4"" IRWIN(012790)",Herramienta manual,Herramienta manual,"1/4"" 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/8""","BROCA P/FO. 1/8"" IRWIN(012754)",Herramienta manual,Herramienta manual,"1/8"" 1/8"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW11/32""","BROCA P/FO. 11/32"" IRWIN (012932)",Herramienta manual,Herramienta manual,"11/32"" 11/32"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW11/64""","BROCA P/FO. 11/64"" IRWIN (012774)",Herramienta manual,Herramienta manual,"11/64"" 11/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW13/64""","BROCA P/FO. 13/64"" IRWIN (012777)",Herramienta manual,Herramienta manual,"13/64"" 13/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW15/64""","BROCA P/FO. 15/64"" IRWIN (012789)",Herramienta manual,Herramienta manual,"15/64"" 15/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW17/64""","BROCA P/FO. 17/64"" IRWIN (012930)",Herramienta manual,Herramienta manual,"17/64"" 17/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW19/64""","BROCA P/FO. 19/64"" IRWIN (012793)",Herramienta manual,Herramienta manual,"19/64"" 19/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROIRW21/64,"BROCA P/FO. 21/64""IRWIN (012931)",Herramienta manual,Herramienta manual,"21/64"" 21/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROIRW27/64,"BROCA P/FO. 27/64"" IRWIN (012131)",Herramienta manual,Herramienta manual,"27/64"" 27/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/16""","BROCA P/FO. 3/16"" IRWIN(012776)",Herramienta manual,Herramienta manual,"3/16"" 3/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/32""","BROCA P/FO. 3/32"" IRWIN (012746)",Herramienta manual,Herramienta manual,"3/32"" 3/32"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/4""","BROCA P/FO. 3/4"" C/ZANCO DE 1/2"" IRWIN(012166)",Herramienta manual,Herramienta manual,"3/4"" 1/2"" 3/4 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/64""","BROCA P/FO. 3/64"" IRWIN (012130)",Herramienta manual,Herramienta manual,"3/64"" 3/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/8""","BROCA P/FO. 3/8"" IRWIN (012797)",Herramienta manual,Herramienta manual,"3/8"" 3/8"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/16""","BROCA P/FO. 5/16"" IRWIN(012796)",Herramienta manual,Herramienta manual,"5/16"" 5/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/32""","BROCA P/FO. 5/32"" IRWIN(012773)",Herramienta manual,Herramienta manual,"5/32"" 5/32"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/64""","BROCA P/FO. 5/64"" IRWIN (018539)",Herramienta manual,Herramienta manual,"5/64"" 5/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/8""","BROCA P/FO. 5/8"" C/ZANCO DE 1/2"" IRWIN(012163)",Herramienta manual,Herramienta manual,"5/8"" 1/2"" 5/8 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROIRW5/8,"BROCA P/FO. 5/8"" IRWIN (034018)",Herramienta manual,Herramienta manual,"5/8"" 5/8"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/16""","BROCA P/FO. 7/16"" IRWIN (012798)",Herramienta manual,Herramienta manual,"7/16"" 7/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/32""","BROCA P/FO. 7/32"" IRWIN (012788)",Herramienta manual,Herramienta manual,"7/32"" 7/32"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/64""","BROCA P/FO. 7/64"" IRWIN (012747)",Herramienta manual,Herramienta manual,"7/64"" 7/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/8""","BROCA P/FO. 7/8"" C/ZANCO DE 1/2"" IRWIN",Herramienta manual,Herramienta manual,"7/8"" 1/2"" 7/8 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW9/32""","BROCA P/FO. 9/32"" IRWIN (014000)",Herramienta manual,Herramienta manual,"9/32"" 9/32"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW9/64""","BROCA P/FO. 9/64"" IRWIN(012756)",Herramienta manual,Herramienta manual,"9/64"" 9/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCIRW1/2,BROCA P/FO. COBALTO 1/2¨ IRWIN(050585),Herramienta manual,Herramienta manual,1/2
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCIRW1/4,BROCA P/FO. COBALTO 1/4¨ IRWIN,Herramienta manual,Herramienta manual,1/4
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCIRW1/8,BROCA P/FO. COBALTO 1/8¨ IRWIN,Herramienta manual,Herramienta manual,1/8
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCIRW3/16,BROCA P/FO. COBALTO 3/16¨ IRWIN,Herramienta manual,Herramienta manual,3/16
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCIRW3/8,BROCA P/FO. COBALTO 3/8¨ IRWIN,Herramienta manual,Herramienta manual,3/8
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCIRW5/16,BROCA P/FO. COBALTO 5/16¨ IRWIN,Herramienta manual,Herramienta manual,5/16
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCA19/64,"BROCA P/FO. DE 19/64"" IRWIN",Herramienta manual,Herramienta manual,"19/64"" 19/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCA25/64,"BROCA P/FO. DE 25/64"" IRWIN",Herramienta manual,Herramienta manual,"25/64"" 25/64"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/2X12D24446,"BROCA PARA CONCRETO   MAK 1/2"" X 12"" D24446",Herramienta manual,Herramienta manual,"1/2"" 12"" 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/2X6D24430,"BROCA PARA CONCRETO   MAK 1/2"" X 6"" D24430",Herramienta manual,Herramienta manual,"1/2"" 6"" 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON3/8X6D24402,"BROCA PARA CONCRETO   MAK 3/8"" X 6"" D24402",Herramienta manual,Herramienta manual,"3/8"" 6"" 3/8"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON5/16X12D24393,"BROCA PARA CONCRETO   MAK 5/16"" X 12"" D24393",Herramienta manual,Herramienta manual,"5/16"" 12"" 5/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/2X6D00963,"BROCA PARA CONCRETO   SDS MAK 1/2""X 6"" 1/4"" D00963",Herramienta manual,Herramienta manual,"1/2"" 6"" 1/4"" 1/2 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/2X12D00979,"BROCA PARA CONCRETO   SDS MAK 1/2""X12""1/4 D00979",Herramienta manual,Herramienta manual,"1/2"" 12"" 1/2 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/4X4D00860,"BROCA PARA CONCRETO   SDS MAK 1/4""X 4"" 1/2"" D00860",Herramienta manual,Herramienta manual,"1/4"" 4"" 1/2"" 1/4 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON3/16X6D00832,"BROCA PARA CONCRETO   SDS MAK 3/16""X 6"" 1/4 D00832",Herramienta manual,Herramienta manual,"3/16"" 6"" 3/16 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON3/4X12D01046,"BROCA PARA CONCRETO   SDS MAK 3/4""X 12"" D01046",Herramienta manual,Herramienta manual,"3/4"" 12"" 3/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON3/8X6D000929,"BROCA PARA CONCRETO   SDS MAK 3/8""X ""6 1/4 D00929",Herramienta manual,Herramienta manual,"3/8"" 3/8 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON3/8X12D000935,"BROCA PARA CONCRETO   SDS MAK 3/8""X 12"" 1/8 D00935",Herramienta manual,Herramienta manual,"3/8"" 12"" 3/8 1/8"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON5/16X6D00907,"BROCA PARA CONCRETO   SDS MAK 5/16""X ""6 1/4 D00907",Herramienta manual,Herramienta manual,"5/16"" 5/16 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON9/16X6D00985,"BROCA PARA CONCRETO   SDS MAK 9/16""X 6"" 1/2 D00985",Herramienta manual,Herramienta manual,"9/16"" 6"" 9/16 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/4X6D24365,"BROCA PARA CONCRETO  MAK  1/4"" X 6"" D24365",Herramienta manual,Herramienta manual,"1/4"" 6"" 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON3/8X12D24418,"BROCA PARA CONCRETO  MAK  3/8"" X 12"" D24418",Herramienta manual,Herramienta manual,"3/8"" 12"" 3/8"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/4X 12D24371,"BROCA PARA CONCRETO  MAK 1/4"" X 12""D24371",Herramienta manual,Herramienta manual,"1/4"" 12"" 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON5/16X6D24387,"BROCA PARA CONCRETO  MAK 5/16"" X 6"" D24387",Herramienta manual,Herramienta manual,"5/16"" 6"" 5/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCONI3/16X39MM,"BROCA PARA CONCRETO IRWIN  3/16"" X 39 MM LARGO",Herramienta manual,Herramienta manual,"3/16"" 39 MM 3/16"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/4X4D24359,"BROCA PARA CONCRETO MAK   1/4"" X 4"" D24359",Herramienta manual,Herramienta manual,"1/4"" 4"" 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROCON1/4X6D008876,"BROCA PARA CONCRETO SDS MAK  1/4"" X 6"" 1/4 D00876",Herramienta manual,Herramienta manual,"1/4"" 6"" 1/4"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",BROQM194041.7,BROQUERO  MAKITA C/ADAP. SDS 194041.7,POR CLASIFICAR,POR CLASIFICAR,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",32135,BROQUERO DE 1/2 C/LLAVE HITOOLS(032135),Herramienta manual,Herramienta manual,1/2
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",32136,BROQUERO DE 3/8 C/LLAVE HITOOLS(032136),Herramienta manual,Herramienta manual,3/8
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROMAK1/2""","BROQUERO MAKITA DE 1/2"" C/LLAVE(019128)",Herramienta manual,Herramienta manual,"1/2"" 1/2"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CANPHILLTX-9TETRA,CANDADO PHILLIPS ANTIPAL. TETRA TX-9,Herramienta manual,Herramienta manual,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CANPHILLIN0.12,CANDADO PHILLIPS N0. 12,Herramienta manual,Herramienta manual,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CANPHILLIN0.12GL,CANDADO PHILLIPS N0. 12 GL,Herramienta manual,Herramienta manual,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CRHP,CARETA REFORZ. ECONOMICA(035995),Seguridad (EPP),Seguridad (EPP),
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CAR3M6001,CARTUCHO P/VAPORES ORGAN. 3M MOD. 6001,POR CLASIFICAR,POR CLASIFICAR,3M
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CHA725IFD,CHAPA 725 PHILLIPS  IF DERECHA,Perfiles estructurales,Perfiles estructurales,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CHA725IFI,CHAPA 725 PHILLIPS  IF IZQUIERDA,Perfiles estructurales,Perfiles estructurales,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CHA625IFD,CHAPA CORREDISA 625 IF DER. DC(036446),Herrajes,Herraje de puerta,
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V",CHA625IFI,CHAPA CORREDISA 625 IF. IZQ. DC(036447),Herrajes,Herraje de puerta,
