tipo,codigo,medida_actual,medida_propuesta,arreglos,nombre
"DECIDIR","HSS6X63/16-12.20M","6"" 12.20 MTS 3/16","6"" 12.20 MTS 3/16","","HSS  DE 6"" X 6"" EN 3/16 A 12.20 MTS( 21.65 KG/ML)"
"DECIDIR","HSS6X63/16","6"" 6.10 MTS 3/16","6"" 6.10 MTS 3/16","","HSS  DE 6"" X 6"" EN 3/16 A 6.10 MTS( 21.65 KG/ML)"
"DECIDIR","HSS10X101/4","10"" 1/4"" 12.20 MTS 1/4","10"" 1/4"" 12.20 MTS 1/4","","HSS DE 10"" X 10"" EN 1/4"" A 12.20 MTS(48.55 KG/ML)"
"DECIDIR","HSS12X123/8","12"" 3/8"" 12.20 MTS 3/8","12"" 3/8"" 12.20 MTS 3/8","","HSS DE 12"" X 12"" EN 3/8"" A 12.20 MTS ( 86.46 KG/ML"
"DECIDIR","HSS8X81/4","8"" 1/4"" 12.20 MTS 1/4","8"" 1/4"" 12.20 MTS 1/4","","HSS DE 8"" X 8"" EN 1/4"" A 12.20 MTS"
"DECIDIR","HSS8X8-3/8","8"" 3/8"" 12.20 MTS 3/8","8"" 3/8"" 12.20 MTS 3/8","","HSS DE 8"" X 8"" EN 3/8"" A 12.20 MTS"
"DECIDIR","MON250X69C-14","2"" 10 X 2 10 MTS 3/4","2"" 10 X 2 10 MTS 3/4","","MONTEN 10 X 2"" 3/4  C-14    10 MTS"
"DECIDIR","MON300X87","12"" 3"" 12MTS 1/2","12"" 3"" 12MTS 1/2","","MONTEN 12""X 3"" 1/2  C-14 LARGO 12MTS"
"DECIDIR","MON200X70C14","C.14 8"" 8 MTS 3/4","C.14 8"" 8 MTS 3/4","","MONTEN PINT. 8"" X 2 3/4  8 MTS. C.14"
"DECIDIR","MON75X38C16","C 16 3 X 1 1/2","C 16 3 X 1 1/2","","MONTEN PINTADO 3 X 1 1/2 C 16"
"DECIDIR","MON75X38C14","C14 11/2"" 3X11 11/2","C14 11/2"" 3X11 11/2","","MONTEN PINTADO 3X11/2"" C14"
"DECIDIR","MON100X50C14","C14 2"" 4 X 2 6MTS","C14 2"" 4 X 2 6MTS","","MONTEN PINTADO 4 X 2"" C14 6MTS."
"DECIDIR","MON100X50C16","C16 2"" 4 X 2","C16 2"" 4 X 2","","MONTEN PINTADO 4 X 2"" C16"
"DECIDIR","MON100X38C14","11/2"" 4X11 11/2","11/2"" 4X11 11/2","","MONTEN PINTADO 4X11/2"" C-14"
"DECIDIR","MON100X505MTC14","C14 4X2 5MTS","C14 4X2 5MTS","","MONTEN PINTADO 4X2 C14 5MTS"
"DECIDIR","MON150X50C14","C 14 2"" 6 X 2","C 14 2"" 6 X 2","","MONTEN PINTADO 6 X 2"" C 14"
"DECIDIR","PTR38X38C11","1"" 2 X 1 1/2","1"" 2 X 1 1/2","","PTR 1"" 1/2 X 1"" 1/2 C-11"
"DECIDIR","PTR50X150","C 14 6 X 2","C 14 6 X 2","","PTR 6 X 2 C 14"
"DECIDIR","PTRG38X38C14","1"" 2 X 1 1/2","1"" 2 X 1 1/2","","PTR DE 1"" 1/2 X 1"" 1/2 GALVANIZADO C-14"
"DECIDIR","PTA473X1020","C 20 3X10","C 20 3X10","","TABLERO PINTADO  ATRAV. 3X10 EN V C 20"
"DECIDIR","TUINC1638","16 1"" 1/2","16 1"" 1/2","","TUBO INDUSTRIAL C-16 1"" 1/2"
"DECIDIR","TUINC1632","16 1"" 1/4","16 1"" 1/4","","TUBO INDUSTRIAL C-16 1"" 1/4"
"DECIDIR","TUINC1644","16 1"" 3/4","16 1"" 3/4","","TUBO INDUSTRIAL C-16 1"" 3/4"
"DECIDIR","TUINC1650","16 2""","16 2""","","TUBO INDUSTRIAL C-16 2"""
"DECIDIR","TUINC1675","16 3""","16 3""","","TUBO INDUSTRIAL C-16 3"""
"DECIDIR","TUINC1625","1"" 6 MTS","1"" 6 MTS","","TUBO INDUSTRIAL DE 1"" C-16 6 MTS"
"DECIDIR","TUINC2025","1"" 6MTS","1"" 6MTS","","TUBO INDUSTRIAL DE 1"" C-20 6MTS"
"DECIDIR","TUINC2013","6MTS 1/2","6MTS 1/2","","TUBO INDUSTRIAL DE 1/2° C-20 6MTS."
"DECIDIR","TUINC2019","3/4"" 6 MT 3/4","3/4"" 6 MT 3/4","","TUBO INDUSTRIAL DE 3/4"" C-20 6 MT."
"DECIDIR","TUINC2016","6MTS 5/8","6MTS 5/8","","TUBO INDUSTRIAL DE 5/8  C-20 6MTS."
"DECIDIR","TUNEC3038","C 30 1 1/2"" 1/2","C 30 1 1/2"" 1/2","","TUBO NEGRO C 30 1 1/2"""
"DECIDIR","TUNEC3032","C 30 1 1/4"" 1/4","C 30 1 1/4"" 1/4","","TUBO NEGRO C 30 1 1/4"""
"DECIDIR","TUNEC3025","C 30 30 1""","C 30 30 1""","","TUBO NEGRO C 30 1"""
"DECIDIR","TUNEC3013","C 30 30 1/2"" 1/2","C 30 30 1/2"" 1/2","","TUBO NEGRO C 30 1/2"""
"DECIDIR","TUNEC3065","C 30 2 1/2"" 1/2","C 30 2 1/2"" 1/2","","TUBO NEGRO C 30 2 1/2"""
"DECIDIR","TUNEC3050","C 30 30 2""","C 30 30 2""","","TUBO NEGRO C 30 2"""
"DECIDIR","TUNEC3075","C 30 30 3""","C 30 30 3""","","TUBO NEGRO C 30 3"""
"DECIDIR","TUNEC3019","C 30 30 3/4"" 3/4","C 30 30 3/4"" 3/4","","TUBO NEGRO C 30 3/4"""
"DECIDIR","TUNEC30100","C 30 30 4""","C 30 30 4""","","TUBO NEGRO C 30 4"""
"DECIDIR","TUNEC30150","C 30 30 6""","C 30 30 6""","","TUBO NEGRO C 30 6"""
"DECIDIR","TUNEC4038","C 40 1 1/2"" 1/2","C 40 1 1/2"" 1/2","","TUBO NEGRO C 40 1 1/2"""
"DECIDIR","TUNEC4032","C 40 1 1/4"" 1/4","C 40 1 1/4"" 1/4","","TUBO NEGRO C 40 1 1/4"""
"DECIDIR","TUNEC4025","C 40 40 1""","C 40 40 1""","","TUBO NEGRO C 40 1"""
"DECIDIR","TUNEC4013","C 40 40 1/2"" 1/2","C 40 40 1/2"" 1/2","","TUBO NEGRO C 40 1/2"""
"DECIDIR","TUNEC4050","C 40 40 2""","C 40 40 2""","","TUBO NEGRO C 40 2"""
"DECIDIR","TUNEC4075","C 40 40 3""","C 40 40 3""","","TUBO NEGRO C 40 3"""
"DECIDIR","TUNEC4019","C 40 40 3/4"" 3/4","C 40 40 3/4"" 3/4","","TUBO NEGRO C 40 3/4"""
"DECIDIR","TUNEC40100","C 40 40 4""","C 40 40 4""","","TUBO NEGRO C 40 4"""
"DECIDIR","TUNEC40150","C 40 40 6""","C 40 40 6""","","TUBO NEGRO C 40 6"""
"DECIDIR","CRIBA","C. 10 40X40X 1 1M","C. 10 40X40X 1 1M","","CRIBA ORNAMENTAL GALV. C. 10.5 40X40X 1M."
"DECIDIR","CA-2-M","02M","02M","","JGO. CARBON LICUADORAS MAN CA-02M"
"DECIDIR","TILOUVER","CAL. 18 3.05 MTS","CAL. 18 3.05 MTS","","TIRA LOUVER GAL. 3.05 MTS. GALV. CAL. 18"
"DECIDIR","AA715/120","1/2 715/120","1/2 715/120","","ESMERILADORA 4 1/2, GLADIATOR 800W ( AA715/120)"
"DECIDIR","NL 1045/3","45M","45M","","NIVEL LASER AUTONIVEL.GLAD. 45M."
"DECIDIR","CABLISOC32","C.32 3.05 MTS","C.32 3.05 MTS","","CABALLETE GALV. Z ALUM LISO  3.05 MTS. C.32"
"DECIDIR","CABZALUMR-72","C.26 3.05 MTS","C.26 3.05 MTS","","CABALLETE GALV. Z ALUM R-72 3.05 MTS. C.26"
"DECIDIR","ZC150","1 /2""","1 /2""","","CUADRADO TUBULAR 1 1 /2"""
"DECIDIR","ZC125","1 /4""","1 /4""","","CUADRADO TUBULAR 1 1 /4"""
"DECIDIR","LNL3C10","C10","C10","","KG.  LAMINA NEGRA LISA 3´C10"
"DECIDIR","LGLR3C24","C24","C24","","KG. DE LAM. GALV ROLL C24 3`"
"DECIDIR","LGLR4C24","C24","C24","","KG. DE LAM. GALV ROLL C24 4`"
"DECIDIR","LGLR3C26","C26","C26","","KG. DE LAM. GALV ROLL C26 3`"
"DECIDIR","LGLR4C26","C26","C26","","KG. DE LAM. GALV ROLL C26 4`"
"DECIDIR","LGLR3C28","C28","C28","","KG. DE LAM. GALV ROLL C28 3`"
