tipo,codigo,medida_actual,medida_propuesta,arreglos,nombre
"DECIDIR","BSDS5/8X12","5/8"" 12"" 8X12 5/8","5/8"" 12"" 8X12 5/8","","BROCA P/CONCRETO SDS URREA 5/8"" X 12"" (BSDS5/8X12)"
"DECIDIR","BSDS5/8X6","5/8"" 6"" 8X6 5/8","5/8"" 6"" 8X6 5/8","","BROCA P/CONCRETO SDS URREA 5/8"" X 6"" (BSDS5/8X6)"
"DECIDIR","BR1405","1/4 3/8","1/4 3/8","","BROCA ROUTER 1/4 MED CAÑ 3/8 URREA(BR1405)"
"DECIDIR","107344","CAL.18 3 MTS","CAL.18 3 MTS","","CABLE PASACORRIENTE CAL.18 3 MTS (107344)"
"DECIDIR","CPU19P","10"" 19 X 10","10"" 19 X 10","","CAJA PLASTICA BROCH 19 X 10"" ( CPU19P )"
"DECIDIR","C546","1/4"" 2 X 0.17 0.17MM 1/2 1/4","1/4"" 2 X 0.17 0.17MM 1/2 1/4","","CARDA CIRCULAR OND. 1 1/2 X 0.17MM 1/4"" (C546)"
"DECIDIR","C563","3X 0.30 0.30MM 1/4","3X 0.30 0.30MM 1/4","","CARDA CIRCULAR OND. 3X 0.30MM 1/4 (C563)"
"DECIDIR","C564","4X 0.30 0.30MM 1/4","4X 0.30 0.30MM 1/4","","CARDA CIRCULAR OND. 4X 0.30MM 1/4 (C564)"
"DECIDIR","C542","1 1/4"" 6 X 0.35 0.35MM 1/4","1 1/4"" 6 X 0.35 0.35MM 1/4","","CARDA CIRCULAR ONDULADA 6 X 0.35MM 1 1/4"" (C542)"
"DECIDIR","CAR123245","1 1/2"" 4 X 1 1/4 1/2","1 1/2"" 4 X 1 1/4 1/2","","CARDA CIRCULAR SURTEK 1/4 X 1 1/2"" (123245)"
"DECIDIR","C536","5/8"" 6 X 0.51 0.51MM 5/8","5/8"" 6 X 0.51 0.51MM 5/8","","CARDA CIRCULAR TRENZADA 6 X 0.51MM 5/8"" (C536)"
"DECIDIR","C527","5/8"" 6X0.5 0.5MM 5/8","5/8"" 6X0.5 0.5MM 5/8","","CARDA CIRCULAR TRENZADA 6X0.5MM 5/8"" (C527)"
"DECIDIR","C504","5"" 0.35 MM 5/8","5"" 0.35 MM 5/8","","CARDA COPA OND.5""X0.35 MM 5/8 (C504)"
"DECIDIR","C572","1/4"" 4 X 0.17 0.17MM 3/4 1/4","1/4"" 4 X 0.17 0.17MM 3/4 1/4","","CARDA COPA ONDULADA 1 3/4 X 0.17MM 1/4"" (C572)"
"DECIDIR","C578","1/4"" 4 X 0.30 0.30MM 3/4 1/4","1/4"" 4 X 0.30 0.30MM 3/4 1/4","","CARDA COPA ONDULADA 1 3/4 X 0.30MM 1/4"" (C578)"
"DECIDIR","C580","1/4"" 4 X 0.30 0.30MM 3/4 1/4","1/4"" 4 X 0.30 0.30MM 3/4 1/4","","CARDA COPA ONDULADA 2 3/4 X 0.30MM 1/4"" (C580)"
"DECIDIR","C500","5/8"" 3 X 0.35 0.35MM 5/8","5/8"" 3 X 0.35 0.35MM 5/8","","CARDA COPA ONDULADA 3 X 0.35MM 5/8"" (C500)"
"DECIDIR","C501","3 X 0.35 0.35MM","3 X 0.35 0.35MM","","CARDA COPA ONDULADA 3 X 0.35MM M14 (C501)"
"DECIDIR","C502","4"" 5/8"" 0.35MM 5/8","4"" 5/8"" 0.35MM 5/8","","CARDA COPA ONDULADA 4"" X 0.35MM 5/8"" (C502)"
"DECIDIR","C516","5"" 0.35MM 5/8","5"" 0.35MM 5/8","","CARDA COPA TR. 5""X0.35MM 5/8 (C516)"
"DECIDIR","C512","5/8"" 3X 0.35 0.35MM 5/8","5/8"" 3X 0.35 0.35MM 5/8","","CARDA COPA TRENZ. 3X 0.35MM 5/8""(C512)"
"DECIDIR","C513","3X 0.35 0.35MM","3X 0.35 0.35MM","","CARDA COPA TRENZ. 3X 0.35MM M14(C513)"
"DECIDIR","C514","5/8"" 4X 0.35 0.35MM 5/8","5/8"" 4X 0.35 0.35MM 5/8","","CARDA COPA TRENZ. 4X 0.35MM 5/8""(C514)"
"DECIDIR","C515","4X 0.35 0.35MM","4X 0.35 0.35MM","","CARDA COPA TRENZ. 4X 0.35MM M1 (C515)"
"DECIDIR","CARCOTRE3-123237","3"" 14 MM","3"" 14 MM","","CARDA COPA TRENZADA 3""  14 MM  (123237)"
"DECIDIR","CARCOTRE4-(123238)","4"" 1 1/8"" 35MM 1/8","4"" 1 1/8"" 35MM 1/8","","CARDA COPA TRENZADA 4""X1 1/8""X.35MM (123238)"
"DECIDIR","CARCOTRE5-14MM","5"" 14MM","5"" 14MM","","CARDA COPA TRENZADA 5""X 14MM   (123241)"
"DECIDIR","CARTAL6X44","1 3/4"" 1/4"" 3/4 1/4 3/32","1 3/4"" 1/4"" 3/4 1/4 3/32","","CARDA P/TALADRO 1 3/4""X1/4""X2 3/32(123252)"
"DECIDIR","123254","1/4"" 1 3/4"" 17MM 1/4 3/4","1/4"" 1 3/4"" 17MM 1/4 3/4","","CARDA P/TALADRO 1/4"" X 1 3/4"" 17MM SURTEK (123254)"
"DECIDIR","CARTAL6X70","2 3/4"" 1/4"" 3/4 1/4 25/32","2 3/4"" 1/4"" 3/4 1/4 25/32","","CARDA P/TALADRO 2 3/4""X1/4""X25/32 (123253)"
"DECIDIR","CARTAL6X75","3"" 1/4"" 5/8"" 1/4 5/8","3"" 1/4"" 5/8"" 1/4 5/8","","CARDA P/TALADRO 3""X1/4""X5/8"" (123251)"
"DECIDIR","CAR123224","6"" 55MM","6"" 55MM","","CARDA TRENZADA 6""X .55MM (123224)"
"DECIDIR","87G22","250X22 22MM","250X22 22MM","","CINCEL CANAL SDS PLUS 250X22MM URREA(87D22)"
"DECIDIR","87F20","250X20 20MM","250X20 20MM","","CINCEL PLANO SDS PLUS 250X20MM URREA(87F20)"
"DECIDIR","87P14","250X14 14MM","250X14 14MM","","CINCEL PTA. SDS PLUS 250X14MM URREA(87P14)"
"DECIDIR","SINAIS-138001","18M","18M","","CINTA AISLAR SURTEK 19MMX18M (138001)"
"DECIDIR","SINAIS-138000","9M","9M","","CINTA AISLAR SURTEK 9M (138000)"
"DECIDIR","137367","50MM 5M","50MM 5M","","CINTA ANTIDERRAPANTE 50MM 5M SURTEK (137367)"
"DECIDIR","CLFV20","20 M","20 M","","CINTA LGA FIB VID 20 M  ( CLFV20 )"
"DECIDIR","137297","3"" 100 MTS","3"" 100 MTS","","CINTA PRECAUCION DE 3"" 100 MTS.(137297)"
"DECIDIR","ESC34","3"" 4M","3"" 4M","","ESLINGA OJO 3"" X 4M 3 TON. SURTEK (ESC34)"
"DECIDIR","ESC36","3"" 6M","3"" 6M","","ESLINGA OJO 3"" X 6M SURTEK (ESC36)"
"DECIDIR","EP243","4"" 3M","4"" 3M","","ESLINGA OJO 4"" X 3M URREA (EP243)"
"DECIDIR","ESC44","4"" 4M","4"" 4M","","ESLINGA OJO 4"" X 4M SURTEK (ESC44)"
"DECIDIR","EP242","4"" 2M","4"" 2M","","ESLINGA OJO 4""X 2M URREA (EP242)"
"DECIDIR","EP244","4"" 4M","4"" 4M","","ESLINGA OJO 4""X 4M URREA (EP244)"
"DECIDIR","EP246","4X6 6MT","4X6 6MT","","ESLINGA OJO-OJO URREA 4X6MT.  (EP246)"
"DECIDIR","114361","5/16"" 32X5 13/32 5/16","5/16"" 32X5 13/32 5/16","","GRAPAS 13/32X5/16"" ENGRAP.MAN(114361)"
"DECIDIR","CA218","19 1/4"" 7 X 19 1/4","19 1/4"" 7 X 19 1/4","","MT.CABLE DE ACERO 7 X 19 1/4"" (CA218)"
"DECIDIR","CA214","19 1/8"" 7 X 19 1/8","19 1/8"" 7 X 19 1/8","","MT.CABLE DE ACERO 7 X 19 1/8"" (CA214)"
"DECIDIR","CA216","19 3/16"" 7 X 19 3/16","19 3/16"" 7 X 19 3/16","","MT.CABLE DE ACERO 7 X 19 3/16"" (CA216)"
"DECIDIR","CAP218","19 1/4"" 7X19 1/4","19 1/4"" 7X19 1/4","","MT.CABLE DE ACERO PVC 7X19 1/4"" (CAP218)"
"DECIDIR","CAP214","19 1/8"" 7X19 1/8","19 1/8"" 7X19 1/8","","MT.CABLE DE ACERO PVC 7X19 1/8"" (CAP214)"
"DECIDIR","CAP216","19 3/16"" 7X19 3/16","19 3/16"" 7X19 3/16","","MT.CABLE DE ACERO PVC 7X19 3/16"" (CAP216)"
"DECIDIR","138102","30M","30M","","MTS. TELA MOSQUITERA ALUM. 1.20 SURTEK (138102)30M"
"DECIDIR","PM10112","1/2"" 10X1 1/2","1/2"" 10X1 1/2","","PIJA MULT. 10X1-1/2"" SURTEK(PM10112) 100PZ."
"DECIDIR","PM10212","1/2"" 10X2 1/2","1/2"" 10X2 1/2","","PIJA MULT. 10X2-1/2"" SURTEK(PM10212) 100PZ."
"DECIDIR","PM612","1/2"" 6X1 1/2","1/2"" 6X1 1/2","","PIJA MULT. 6X1/2"" SURTEK (PM612) 100PZ."
"DECIDIR","PM6114","1/4"" 6X1 1/4","1/4"" 6X1 1/4","","PIJA MULT. 6X1-1/4"" SURTEK(PM6114)"
"DECIDIR","12020","3/4"" 2X2 3/4","3/4"" 2X2 3/4","","PUNTA PH 2X2-3/4"" (12020)"
"DECIDIR","REMA113406","1/8"" 32X 1 5/32 1/8","1/8"" 32X 1 5/32 1/8","","REMACHE POP 113406 (5/32X 1/8"")"
"DECIDIR","151130","2"" 9 MTS","2"" 9 MTS","","SUJETADOR C/MATRACA 2"" X 9 MTS. SURTEK (151130)"
"DECIDIR","137459","54CM 16CM","54CM 16CM","","TOPE ESTACIONAMIENTO 54CM X 16CM SURTEK (137459)"
"DECIDIR","DUELAZ3X91.5","3 X 91.5 91.5 CM","3 X 91.5 91.5 CM","","DUELA AZTECA 3 X 91.5 CM ZINTRO"
"DECIDIR","DUEL2X1.05","C22 2 X 1.05","C22 2 X 1.05","","DUELA Z.LISA 2 X 1.05 C22"
"DECIDIR","DUEL2X1.22","C22 2 X 1.22","C22 2 X 1.22","","DUELA Z.LISA 2 X 1.22 C22"
"DECIDIR","DUELZ3X1.83","C22 3 X 1.83","C22 3 X 1.83","","DUELA Z.LISA 3 X 1.83 C22"
"DECIDIR","DUELZ4X1.98","C22 4 X 1.98","C22 4 X 1.98","","DUELA Z.LISA 4 X 1.98 C22"
"DECIDIR","DUEL4X2.44","C22 4 X 2.44","C22 4 X 2.44","","DUELA Z.LISA 4 X 2.44 C22"
"DECIDIR","DUEL5X2.44","C22 5 X 2.44","C22 5 X 2.44","","DUELA Z.LISA 5 X 2.44 C22"
"DECIDIR","DUELZ6X3.05","C.22 6 X 3.05","C.22 6 X 3.05","","DUELA Z.LISA 6 X 3.05 C.22"
"DECIDIR","DUELZ11X2.44R","C.22 11 X 2.44","C.22 11 X 2.44","","DUELA ZINTRO DE 11 X 2.44 REDONDA C.22"
"DECIDIR","DUELZ4X91.5R","C.22 4 X 91.5","C.22 4 X 91.5","","DUELA ZINTRO DE 4 X 91.5 REDONDA C.22"
"DECIDIR","DUELZ8X1.83R","C.22 8 X1.83","C.22 8 X1.83","","DUELA ZINTRO DE 8 X1.83 REDONDA C.22"
"DECIDIR","RIELC","6.00 M","6.00 M","","RIEL O GUIA P/CORTINA EUR. 6.00 M"
"DECIDIR","RIELCP6","C16 6M","C16 6M","","RIEL O GUIA P/CORTINA PLANA 6M C16"
"DECIDIR","TABZ3X3CB","3X3 75 CM 91 CM","3X3 75 CM 91 CM","","TABLERO ZINTRO 3X3 CB 75 CM X 91 CM"
"DECIDIR","TABZ3X3B75CMX91.5CM","3X3 75 CM 91.5 CM","3X3 75 CM 91.5 CM","","TABLERO ZINTRO 3X3 REC. 75 CM X 91.5 CM"
"DECIDIR","TABZ3X3SQ75CMX91.5CM","3X3 75 CM 91.5 CM","3X3 75 CM 91.5 CM","","TABLERO ZINTRO 3X3 SQ 75 CM X 91.5 CM"
"DECIDIR","TABZ3X6CB75CMX1.83MT","3X6 75 CM 1.83 MTS","3X6 75 CM 1.83 MTS","","TABLERO ZINTRO 3X6 CB 75 CM X 1.83 MTS"
"DECIDIR","TABZ3X6B75CMX1.83MTS","3X6 75 CM 1.83 MTS","3X6 75 CM 1.83 MTS","","TABLERO ZINTRO 3X6 REC. 75 CM X 1.83 MTS"
"DECIDIR","TABZ3X6SQ75CMX1.83MT","3X6 75 CM 1.83 MTS","3X6 75 CM 1.83 MTS","","TABLERO ZINTRO 3X6 SQ 75 CM X 1.83 MTS"
"DECIDIR","TAB.SQ4X10","4X10 1.00X3.05","4X10 1.00X3.05","","TABLERO ZINTRO 4X10 SQ 1.00X3.05 Z."
"DECIDIR","TABZ4X3CB1MTSX91.5CM","4X3 1.00 MTS 91.5 CM","4X3 1.00 MTS 91.5 CM","","TABLERO ZINTRO 4X3 CB 1.00 MTS X 91.5 CM"
"DECIDIR","TABZ4X3B1MTSX91.5CM","4X3 1.00 MTS 91.5 CM","4X3 1.00 MTS 91.5 CM","","TABLERO ZINTRO 4X3 REC.1.00 MTS X 91.5 CM"
"DECIDIR","TABZ4X3SQ1MTSX91.5CM","4X3 1.00 MTS 91.5 CM","4X3 1.00 MTS 91.5 CM","","TABLERO ZINTRO 4X3 SQ 1.00 MTS X 91.5 CM"
"DECIDIR","TABZ4X6CB1MTSX1.83MT","4X6 1.00 MTS 1.83 MTS","4X6 1.00 MTS 1.83 MTS","","TABLERO ZINTRO 4X6 CB 1.00 MTS X 1.83 MTS"
"DECIDIR","TCPC244","C24 4.05 M","C24 4.05 M","","TIRA P/CORT. PLANA C24 4.05 M"
"DECIDIR","TCPC245","C24 5.05 M","C24 5.05 M","","TIRA P/CORT. PLANA C24 5.05 M"
"DECIDIR","TCPC246","C24 6.00 M","C24 6.00 M","","TIRA P/CORT. PLANA C24 6.00 M"
