"fila","proveedor","codigo","descripcion","existencia"
"56","ABRASIVOS ESPECIALES, S.A DE C.V","D204","DISCO 204 BISEL P/DESBASTE DE MADERA DE 4""","0"
"57","ABRASIVOS ESPECIALES, S.A DE C.V","D2044","DISCO 2044  P/CORTE DE INOX. 7""","50"
"58","ABRASIVOS ESPECIALES, S.A DE C.V","D2133","DISCO 2133  P/CORTE DE ALUM. 10"" 100 DIENTES","0"
"59","ABRASIVOS ESPECIALES, S.A DE C.V","D2134","DISCO 2134 P/CORTE DE ALUM.  10"" 120 DIENTES","0"
"60","ABRASIVOS ESPECIALES, S.A DE C.V","D2216","DISCO 2216 GRANO 40  4 1/2"" DE DESB.","110"
"61","ABRASIVOS ESPECIALES, S.A DE C.V","D2217","DISCO 2217 GRANO 60 4 1/2 DE DESB.","0"
"62","ABRASIVOS ESPECIALES, S.A DE C.V","D2218","DISCO 2218 GRANO 80 4 1/2"" DE DESB.","0"
"63","ABRASIVOS ESPECIALES, S.A DE C.V","D2552","DISCO 2552 DIAMANTE DE 4""  DENTADO","0"
"64","ABRASIVOS ESPECIALES, S.A DE C.V","D2553","DISCO 2553  DIAMANTE DE 4""","0"
"65","ABRASIVOS ESPECIALES, S.A DE C.V","D2555","DISCO 2555 DIAMANTE DE 4 1/2"" DENTADO","0"
"66","ABRASIVOS ESPECIALES, S.A DE C.V","D2556","DISCO 2556 DIAMANTE DE 4 1/2""","0"
"67","ABRASIVOS ESPECIALES, S.A DE C.V","D2558","DISCO 2558  DIAMANTE DE 7"" DENTADO","0"
"68","ABRASIVOS ESPECIALES, S.A DE C.V","D2559","DISCO 2559 DIAMANTE DE 7""","0"
"69","ABRASIVOS ESPECIALES, S.A DE C.V","D2638","DISCO 2638 GRANO 40 4 1/2  DE DESB","0"
"70","ABRASIVOS ESPECIALES, S.A DE C.V","D2639","DISCO 2639 GRANO 60 4 1/2 DE DESB.","0"
"71","ABRASIVOS ESPECIALES, S.A DE C.V","D2643","DISCO 2643 GRANO 80 4 1/2 DE DESB","0"
"72","ABRASIVOS ESPECIALES, S.A DE C.V","D2691","DISCO 2691 DIAMANTE DE 14""","0"
"73","ABRASIVOS ESPECIALES, S.A DE C.V","D2716","DISCO 2716 LAMINADO G-40 4 1/2","0"
"74","ABRASIVOS ESPECIALES, S.A DE C.V","D2717","DISCO 2717 LAMINADO G-60 4 1/2","0"
