"fila","proveedor","codigo","descripcion","existencia"
"888","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA8X3/4","PIJA 8 X 3/4"" CIENTO","0"
"889","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAAU38","PIJA AUTOTALADRANTE 1/4"" X 1 1/2""","14000"
"890","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAAU32","PIJA AUTOTALADRANTE 1/4"" X 1 1/4""","0"
"891","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAAU25","PIJA AUTOTALADRANTE 1/4"" X 1""","34000"
"892","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAAU50","PIJA AUTOTALADRANTE 1/4"" X 2""","4400"
"893","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAAU75","PIJA AUTOTALADRANTE 1/4"" X 3""","2000"
"894","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAAU100","PIJA AUTOTALADRANTE 1/4"" X 4""","1000"
"895","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA10X11/2","PIJA GALV. 10 X 1 1/2""","0"
"896","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA10X2","PIJA GALV. 10 X 2""","0"
"897","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA8X11/2","PIJA GALV. 8 X 1 1/2""","0"
"898","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA8X1","PIJA GALV. 8 X 1""","0"
"899","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA8X2","PIJA GALV. 8 X 2""","0"
"900","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAKLATH8X11/2","PIJA K-LATH BROCA 8 X 1 1/2""","0"
"902","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAKLATH8X1","PIJA K-LATH BROCA 8 X 1""","0"
"903","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAKLATH8X1/2","PIJA K-LATH BROCA 8 X 1/2""","0"
"904","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJAKLATH8X3/4","PIJA K-LATH BROCA 8 X 3/4""","0"
"905","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","PIJA12X2","PIJA12X 2","0"
"906","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL25","RONDANA DE PRESION GALV. 1""","0"
"907","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL13","RONDANA DE PRESION GALV. 1/2""","0"
"908","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL6","RONDANA DE PRESION GALV. 1/4""","0"
"909","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL19","RONDANA DE PRESION GALV. 3/4""","0"
"910","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL10","RONDANA DE PRESION GALV. 3/8""","0"
"911","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL8","RONDANA DE PRESION GALV. 5/16""","0"
"912","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONPREGAL16","RONDANA DE PRESION GALV. 5/8""","0"
"913","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","ROLGAL25","RONDANA PLANA GALV. 1""","0"
"914","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONGALV13","RONDANA PLANA GALV. 1/2""","399"
"915","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONGALV6","RONDANA PLANA GALV. 1/4""","0"
"916","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONGALV5","RONDANA PLANA GALV. 3/16""","0"
"917","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONGALV19","RONDANA PLANA GALV. 3/4""","0"
"918","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","ROLGALV10","RONDANA PLANA GALV. 3/8""","1000"
"919","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONGALV.8","RONDANA PLANA GALV. 5/16""","0"
"920","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","RONGALV16","RONDANA PLANA GALV. 5/8""","0"
"921","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV6X75","TORNILLO C/COCHE GALV. 1/4 X 3""","0"
"922","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV.6X25","TORNILLO C/COCHE GALV. 1/4"" X 1","0"
"923","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV.6X38","TORNILLO C/COCHE GALV. 1/4"" X 1 1/2""","200"
"924","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCAGALV.6X50","TORNILLO C/COCHE GALV. 1/4"" X 2""","0"
"925","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV6X100","TORNILLO C/COCHE GALV. 1/4"" X 4""","0"
"926","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV.8X38","TORNILLO C/COCHE GALV. 5/16"" X 1 1/2""","0"
"927","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV.8X50","TORNILLO C/COCHE GALV. 5/16"" X 2""","0"
"928","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORCOGALV.8X25","TORNILLO C/COCHE GALV.5/16"" X 1""","0"
"929","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TOR3/16X11/2","TORNILLO GALV. 3/16"" X 1 1/2""","0"
"930","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TOR3/16X1","TORNILLO GALV. 3/16"" X 1""","0"
"931","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TOR3/16X2","TORNILLO GALV. 3/16"" X 2""","0"
"932","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL13X38","TORNILLO HEX. GALV. 1/2"" X 1 1/2""","0"
"933","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL13X25","TORNILLO HEX. GALV. 1/2"" X 1""","0"
"934","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL13X64","TORNILLO HEX. GALV. 1/2"" X 2 1/2""","0"
"935","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL13X50","TORNILLO HEX. GALV. 1/2"" X 2""","0"
"936","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL13X75","TORNILLO HEX. GALV. 1/2"" X 3""","0"
"937","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL13X100","TORNILLO HEX. GALV. 1/2"" X 4""","0"
"938","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL6X38","TORNILLO HEX. GALV. 1/4"" X 1 1/2""","0"
"939","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL6X25","TORNILLO HEX. GALV. 1/4"" X 1""","0"
"940","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL6X64","TORNILLO HEX. GALV. 1/4"" X 2 1/2""","0"
"941","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL6X50","TORNILLO HEX. GALV. 1/4"" X 2""","0"
"942","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL6X75","TORNILLO HEX. GALV. 1/4"" X 3""","0"
"943","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL6X100","TORNILLO HEX. GALV. 1/4"" X 4""","0"
"944","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL10X38","TORNILLO HEX. GALV. 3/8"" X 1 1/2""","0"
"945","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL10X25","TORNILLO HEX. GALV. 3/8"" X 1""","0"
"946","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL10X64","TORNILLO HEX. GALV. 3/8"" X 2 1/2""","0"
"947","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL10X50","TORNILLO HEX. GALV. 3/8"" X 2""","0"
"948","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL10X75","TORNILLO HEX. GALV. 3/8"" X 3""","0"
"949","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL8X38","TORNILLO HEX. GALV. 5/16"" X 1 1/2""","0"
"950","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL8X25","TORNILLO HEX. GALV. 5/16"" X 1""","0"
"951","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL8X65","TORNILLO HEX. GALV. 5/16"" X 2 1/2""","0"
"952","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL8X50","TORNILLO HEX. GALV. 5/16"" X 2""","0"
"953","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TORHEXGAL8X75","TORNILLO HEX. GALV. 5/16"" X 3""","0"
"954","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGALV25","TUERCA HEXAGONAL GALV. 1""","0"
"956","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGALV13","TUERCA HEXAGONAL GALV. 1/2""","0"
"957","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGAL6","TUERCA HEXAGONAL GALV. 1/4""","0"
"958","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGAL5","TUERCA HEXAGONAL GALV. 3/16""","17800"
"959","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGAL19","TUERCA HEXAGONAL GALV. 3/4""","0"
"960","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGAL10","TUERCA HEXAGONAL GALV. 3/8""","500"
"961","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGAL8","TUERCA HEXAGONAL GALV. 5/16""","0"
"962","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","TUHEXGAL16","TUERCA HEXAGONAL GALV. 5/8""","0"
"963","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VARO25","VARILLA ROSCADA DE 1"" X 1 MTS.","85"
"964","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VARO13","VARILLA ROSCADA DE 1/2"" X 1 MTS.","0"
"965","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VAROS6","VARILLA ROSCADA DE 1/4"" X 1 MTS.","0"
"966","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VAROS5","VARILLA ROSCADA DE 3/16"" X 1 MTS.","0"
"967","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VAROS19","VARILLA ROSCADA DE 3/4"" X 1 MTS.","0"
"968","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VAROS10","VARILLA ROSCADA DE 3/8"" X 1 MTS.","0"
"969","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VAROS8X1","VARILLA ROSCADA DE 5/16"" X 1 MTS.","0"
"970","DISTRIBUIDORA MAYORISTA DE TORNILLOS DE YUCATAN","VAROS16","VARILLA ROSCADA DE 5/8"" X 1 MTS.","0"
"972","ESAB MEXICO, S.A DE C.V","PLASOLE161","PLANTA P/SOLD.ESAB  115/230V (0558101694)","0"
"973","ESAB MEXICO, S.A DE C.V","SOLESAB15K","SOLD.ESAB  MICRO A. .035 15 KGS.","0"
"974","ESAB MEXICO, S.A DE C.V","SOLESAB10LB","SOLD.MICRO A.TUB.  .035 (10 LB/4.54 KGS)ESAB","0"
"975","ESAB MEXICO, S.A DE C.V","SOLVA1/8CA","SOLDADURA 6013 1/8"" ESAB CAFÉ","0"
"976","ESAB MEXICO, S.A DE C.V","SOLVA3/32C","SOLDADURA 6013 3/32 ESAB CAFÉ","0"
"977","ESAB MEXICO, S.A DE C.V","SOLESAB70183/32","SOLDADURA 7018 3/32"" ESAB","0"
"979","FABRICACION DE HERRAJES DE OCCIDENTE SA.","AROSOL","ARO DE SOLERA DE 1/8","0"
"980","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS25","CODO SOLDABLE 1""","0"
"981","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS38","CODO SOLDABLE 1"" 1/2","0"
"982","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS32","CODO SOLDABLE 1"" 1/4","0"
"983","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS50","CODO SOLDABLE 2""","0"
"984","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS64","CODO SOLDABLE 2"" 1/2","0"
"985","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS19","CODO SOLDABLE 3/4""","0"
"986","FABRICACION DE HERRAJES DE OCCIDENTE SA.","CODS100","CODO SOLDABLE 4""","0"
"987","FABRICACION DE HERRAJES DE OCCIDENTE SA.","FIGSOLB","FIGURA DE SOLERA ""B"" 16 X 8.0 CMS.","0"
"988","FABRICACION DE HERRAJES DE OCCIDENTE SA.","SP14-CLASICO","SUPER PICO NO.14 CLASICO C/8PUNTAS","0"
"989","FABRICACION DE HERRAJES DE OCCIDENTE SA.","SP9-PREMIER","SUPER PICOS NO. 9 PREMIER C/6PUNTAS","0"
"991","FERREBASTONES CHOLULA, S.A DE C.V","X-1100C","CERR.D/SEG ADIC TETRA X-1100 CROM (571 )","0"
"992","FERREBASTONES CHOLULA, S.A DE C.V","CHA50-CPH","CHAPA PHILLIPS 50-C P/MUEBLE","0"
"993","FERREBASTONES CHOLULA, S.A DE C.V","CA-17","JGO. CARBON CORTADORA BOSCH CA-17","0"
"994","FERREBASTONES CHOLULA, S.A DE C.V","CA-36","JGO. CARBON P/ROTOM. BOSCH CA-36","0"
"995","FERREBASTONES CHOLULA, S.A DE C.V","CA-14","JGO. CARBON P/TALADRO BOSCH 3/8"" CA-14","0"
"997","FERRETERA CANTABRIA, S.A DE C.V","ENCCAZ","ENCENDEDOR TIPO CAZUELA N-113-A","0"
"998","FERRETERA CANTABRIA, S.A DE C.V","REMA42","REMACHE POP 42","0"
"999","FERRETERA CANTABRIA, S.A DE C.V","REMA44","REMACHE POP 44","0"
"1000","FERRETERA CANTABRIA, S.A DE C.V","REMA46","REMACHE POP 46","0"
"1001","FERRETERA CANTABRIA, S.A DE C.V","REMA48","REMACHE POP 48","0"
"1002","FERRETERA CANTABRIA, S.A DE C.V","REMA52","REMACHE POP 52","0"
"1003","FERRETERA CANTABRIA, S.A DE C.V","REMA54","REMACHE POP 54","0"
"1005","FERRETERA CANTABRIA, S.A DE C.V","REMA56","REMACHE POP 56","0"
"1006","FERRETERA CANTABRIA, S.A DE C.V","REMA58","REMACHE POP 58","0"
"1007","FERRETERA CANTABRIA, S.A DE C.V","REMA610LF","REMACHE POP 610 LF","0"
"1008","FERRETERA CANTABRIA, S.A DE C.V","REMA64","REMACHE POP 64","0"
"1009","FERRETERA CANTABRIA, S.A DE C.V","REMA66","REMACHE POP 66","0"
"1010","FERRETERA CANTABRIA, S.A DE C.V","REMA66LF","REMACHE POP 66 LF","0"
"1011","FERRETERA CANTABRIA, S.A DE C.V","REMA68","REMACHE POP 68","0"
"1012","FERRETERA CANTABRIA, S.A DE C.V","REMA68LF","REMACHE POP 68 LF","0"
"1013","FERRETERA CANTABRIA, S.A DE C.V","SM6","SUJETADOR MARIPOSA 1/4""","0"
"1014","FERRETERA CANTABRIA, S.A DE C.V","SM5","SUJETADOR MARIPOSA 3/16""","0"
"1015","FERRETERA CANTABRIA, S.A DE C.V","TAQA13","TAQUETE ANCLA 1/2""","0"
"1016","FERRETERA CANTABRIA, S.A DE C.V","TAQANC1/4","TAQUETE ANCLA 1/4","0"
"1017","FERRETERA CANTABRIA, S.A DE C.V","TAQA3/8","TAQUETE ANCLA 3/8","0"
"1018","FERRETERA CANTABRIA, S.A DE C.V","TAQA5/16","TAQUETE ANCLA 5/16","0"
"1019","FERRETERA CANTABRIA, S.A DE C.V","TAQAR1/2X3-3/4","TAQUETE ARPON GALV.1/2 X 3-3/4","0"
"1020","FERRETERA CANTABRIA, S.A DE C.V","TAQAR1/4X3-1/4","TAQUETE ARPON GALV.1/4X3-1/4","0"
"1021","FERRETERA CANTABRIA, S.A DE C.V","TAQPLAS6","TAQUETE DE PLASTICO 1/4""","0"
"1022","FERRETERA CANTABRIA, S.A DE C.V","TAQPLAS8","TAQUETE DE PLASTICO 5/16""","0"
"1023","FERRETERA CANTABRIA, S.A DE C.V","TAQEX1/2","TAQUETE EXPANSIVO 1/2"" -Z","0"
"1024","FERRETERA CANTABRIA, S.A DE C.V","TAQEXP1/4","TAQUETE EXPANSIVO 1/4"" -Z","0"
"1025","FERRETERA CANTABRIA, S.A DE C.V","TAQEXP3/16","TAQUETE EXPANSIVO 3/16"" -Z","0"
"1026","FERRETERA CANTABRIA, S.A DE C.V","TAQEXP3/8","TAQUETE EXPANSIVO 3/8"" -Z","0"
"1027","FERRETERA CANTABRIA, S.A DE C.V","TAQEXP5/16","TAQUETE EXPANSIVO 5/16"" - Z","0"
"1028","FERRETERA CANTABRIA, S.A DE C.V","TORCOGALV.8X32","TORNILLO C/COCHE GALV.5/16"" X 1""1/4","0"
"1030","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","AAWD40","ACEITE AFLOJATODO WD.40 (000646)","0"
"1031","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","ADHCAR450G","ADHESIVO CART.RESISTOL  NO MAS CLAVOS 450G.(033618","0"
"1032","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","AFLOJA","AFLOJA TODO 300GR. PERMATEK(030813)","0"
"1033","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","22362","BROCA P/CONCRETO 1/4"" X 6"" IRWIN (IW9051)","0"
"1034","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1""","BROCA P/FO. 1"" C/ZANCO DE 1/2"" IRWIN(018694)","0"
"1035","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/16""","BROCA P/FO. 1/16"" IRWIN (012742)","0"
"1036","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/2""","BROCA P/FO. 1/2"" IRWIN (012801)","0"
"1037","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/4","BROCA P/FO. 1/4"" IRWIN(012790)","0"
"1038","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW1/8""","BROCA P/FO. 1/8"" IRWIN(012754)","0"
"1039","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW11/32""","BROCA P/FO. 11/32"" IRWIN (012932)","0"
"1040","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW11/64""","BROCA P/FO. 11/64"" IRWIN (012774)","0"
"1041","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW13/64""","BROCA P/FO. 13/64"" IRWIN (012777)","0"
"1042","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW15/64""","BROCA P/FO. 15/64"" IRWIN (012789)","0"
"1043","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW17/64""","BROCA P/FO. 17/64"" IRWIN (012930)","0"
"1044","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW19/64""","BROCA P/FO. 19/64"" IRWIN (012793)","0"
"1045","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW21/64","BROCA P/FO. 21/64""IRWIN (012931)","0"
"1046","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW27/64","BROCA P/FO. 27/64"" IRWIN (012131)","0"
"1047","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/16""","BROCA P/FO. 3/16"" IRWIN(012776)","0"
"1048","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/32""","BROCA P/FO. 3/32"" IRWIN (012746)","0"
"1049","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/4""","BROCA P/FO. 3/4"" C/ZANCO DE 1/2"" IRWIN(012166)","0"
"1050","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/64""","BROCA P/FO. 3/64"" IRWIN (012130)","0"
"1051","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW3/8""","BROCA P/FO. 3/8"" IRWIN (012797)","0"
"1052","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/16""","BROCA P/FO. 5/16"" IRWIN(012796)","0"
"1053","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/32""","BROCA P/FO. 5/32"" IRWIN(012773)","0"
"1054","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/64""","BROCA P/FO. 5/64"" IRWIN (018539)","0"
"1055","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/8""","BROCA P/FO. 5/8"" C/ZANCO DE 1/2"" IRWIN(012163)","0"
"1056","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW5/8","BROCA P/FO. 5/8"" IRWIN (034018)","0"
"1058","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/16""","BROCA P/FO. 7/16"" IRWIN (012798)","0"
"1059","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/32""","BROCA P/FO. 7/32"" IRWIN (012788)","0"
"1060","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/64""","BROCA P/FO. 7/64"" IRWIN (012747)","0"
"1061","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW7/8""","BROCA P/FO. 7/8"" C/ZANCO DE 1/2"" IRWIN","0"
"1062","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW9/32""","BROCA P/FO. 9/32"" IRWIN (014000)","0"
"1063","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROIRW9/64""","BROCA P/FO. 9/64"" IRWIN(012756)","0"
"1064","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCIRW1/2","BROCA P/FO. COBALTO 1/2¨ IRWIN(050585)","0"
"1065","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCIRW1/4","BROCA P/FO. COBALTO 1/4¨ IRWIN","0"
"1066","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCIRW1/8","BROCA P/FO. COBALTO 1/8¨ IRWIN","0"
"1067","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCIRW3/16","BROCA P/FO. COBALTO 3/16¨ IRWIN","0"
"1068","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCIRW3/8","BROCA P/FO. COBALTO 3/8¨ IRWIN","0"
"1069","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCIRW5/16","BROCA P/FO. COBALTO 5/16¨ IRWIN","0"
"1070","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCA19/64","BROCA P/FO. DE 19/64"" IRWIN","0"
"1071","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCA25/64","BROCA P/FO. DE 25/64"" IRWIN","0"
"1072","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/2X12D24446","BROCA PARA CONCRETO   MAK 1/2"" X 12"" D24446","0"
"1073","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/2X6D24430","BROCA PARA CONCRETO   MAK 1/2"" X 6"" D24430","0"
"1074","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON3/8X6D24402","BROCA PARA CONCRETO   MAK 3/8"" X 6"" D24402","0"
"1075","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON5/16X12D24393","BROCA PARA CONCRETO   MAK 5/16"" X 12"" D24393","0"
"1076","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/2X6D00963","BROCA PARA CONCRETO   SDS MAK 1/2""X 6"" 1/4"" D00963","0"
"1077","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/2X12D00979","BROCA PARA CONCRETO   SDS MAK 1/2""X12""1/4 D00979","0"
"1078","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/4X4D00860","BROCA PARA CONCRETO   SDS MAK 1/4""X 4"" 1/2"" D00860","0"
"1079","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON3/16X6D00832","BROCA PARA CONCRETO   SDS MAK 3/16""X 6"" 1/4 D00832","0"
"1080","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON3/4X12D01046","BROCA PARA CONCRETO   SDS MAK 3/4""X 12"" D01046","0"
"1081","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON3/8X6D000929","BROCA PARA CONCRETO   SDS MAK 3/8""X ""6 1/4 D00929","0"
"1082","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON3/8X12D000935","BROCA PARA CONCRETO   SDS MAK 3/8""X 12"" 1/8 D00935","0"
"1083","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON5/16X6D00907","BROCA PARA CONCRETO   SDS MAK 5/16""X ""6 1/4 D00907","0"
"1084","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON9/16X6D00985","BROCA PARA CONCRETO   SDS MAK 9/16""X 6"" 1/2 D00985","0"
"1085","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/4X6D24365","BROCA PARA CONCRETO  MAK  1/4"" X 6"" D24365","0"
"1086","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON3/8X12D24418","BROCA PARA CONCRETO  MAK  3/8"" X 12"" D24418","0"
"1087","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/4X 12D24371","BROCA PARA CONCRETO  MAK 1/4"" X 12""D24371","0"
"1088","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON5/16X6D24387","BROCA PARA CONCRETO  MAK 5/16"" X 6"" D24387","0"
"1089","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCONI3/16X39MM","BROCA PARA CONCRETO IRWIN  3/16"" X 39 MM LARGO","0"
"1090","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/4X4D24359","BROCA PARA CONCRETO MAK   1/4"" X 4"" D24359","0"
"1091","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROCON1/4X6D008876","BROCA PARA CONCRETO SDS MAK  1/4"" X 6"" 1/4 D00876","0"
"1092","FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROQM194041.7","BROQUERO  MAKITA C/ADAP. SDS 194041.7","0"
