"proveedor","codigo","descripcion"
"LAMINAS Y PERFILES ECOLOGICOS DE MEXICO","LI14-8019PINO","LAMBRIN INT. PINO 8019  2.90 MT. (654403)"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","ANTGEL","GEL ANTICHISPAS"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","ANTGEL400GRS","GEL ANTICHISPAS 400 GRS ( RF500919)"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","GIS","GIS (WT52895)"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","PGIS","PORTA GIS WYP-400-1 CON GIS (WT52895)"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","PM36KG","POSICIONADOR MAGNETICO 36 KGS.(WT53880)"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","SOLLIN15K","SOLD.LINCOLN  MICRO A. .035 15 KGS."
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","SOLLIN1LBT.030","SOLD.MICRO A.TUB.  .030 (1 LB/  .454 KGS)LINCOLN"
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V","SOLLIN1LBT","SOLD.MICRO A.TUB.  .035 (1 LB/  .454 KGS)LINCOLN"
"MOISES JUAREZ MORALES","082A","REG 1 "" HONGO PLASTICO  (082A)"
"MOISES JUAREZ MORALES","031A","REG 1 1/2 BARRIL HULE  (031A)"
"MOISES JUAREZ MORALES","084A","REG 1 1/2 HONGO PLASTICO (084A)"
"MOISES JUAREZ MORALES","030A","REG 1 1/4 BARRIL HULE (030A)"
"MOISES JUAREZ MORALES","083A","REG 1 1/4 HONGO PLASTICO 083A)"
"MOISES JUAREZ MORALES","029A","REG 1"" BARRIL HULE  (029A)"
"MOISES JUAREZ MORALES","038A","REG 1"" COSTILLA HULE (038A)"
"MOISES JUAREZ MORALES","025A","REG 1/2 BARRIL HULE  (025A)"
"MOISES JUAREZ MORALES","034A","REG 1/2 COSTILLA HULE  (034A)"
"MOISES JUAREZ MORALES","0.958333333333333","REG 1/4 BARRIL HULE (023A)"
"MOISES JUAREZ MORALES","032A","REG 2"" BARRIL HULE  (032A)"
"MOISES JUAREZ MORALES","036A","REG 3/4 COSTILLA HULE (036A)"
"MOISES JUAREZ MORALES","081A","REG 3/4 HONGO PLASTICO  (081A)"
"MOISES JUAREZ MORALES","024A","REG 3/8 BARRIL HULE  (024A)"
"MOISES JUAREZ MORALES","026A","REG 5/8 BARRIL HULE  (026A)"
"MOISES JUAREZ MORALES","027A","REG3/4 BARRIL HULR  (027A)"
"PAPALOTES FELIZARDO ELIZONDO GUAJARDO,S.A DE C.V","HSS4X41/4-12.20","HSS  DE 4"" X 4"" EN 1/4 A 12.20 MTS( 17.73 KG/ML)"
"PERFILES LM, S.A DE C.V","ZM300","CHAMBRANA L ZM300"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","ACOPG318","ACOPLADORES RAPIDOS GONI MOD. 318"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","ACOPG320","ACOPLADORES RAPIDOS GONI MOD. 320"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","AGUILA","AGUILA (COD. 11238)"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","BOMBOA25","BOMBO DE ALUMINIO DE 1"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","BOMBOA38","BOMBO DE ALUMINIO DE 1"" 1/2"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","BOMBOA32","BOMBO DE ALUMINIO DE 1"" 1/4"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","BULON150","BULON MOD BMR-150 MASTER RAIL (VARGAS)"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","BUZON","BUZON MEDIANO VARGAS 27 X 21 X 9"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","ARCAP001","CAPITEL TROQUELADO P/ARCO"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","CATVARGAS","CATALOGO DE PRODUCTOS ""PHV & ELEVA"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","CERDO","CERDO( COD.11472)"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GAR-12","GARRA DE 1/2"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GARS12","GARRA DE SOL.  DE  1/2"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GOG-E108","GOGLE  ELEVA  108 OSCURECIMIENTO AUTOM."
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GUIAPISO3MTS","GUIA A PISO ULTRA DE 3 MTS MOD. GPMR-ULTRA"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","LANC38","LANZA CARAMELO 3/8"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","LANC12","LANZA CARAMELO DE 1/2"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","LANL38","LANZA LISA 3/8"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","LANL12","LANZA LISA DE 1/2"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PUFLE105","LANZA LISA DE 1/2"" (PUFLE 105)"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","MANG175","MANGUERA REF. GONI  10 MTS (G-175) (003353)"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PGIS-S/GIS","PORTA GIS WYP-400-1 SIN GIS"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PRIBCO","PRIMARIO BLANCO"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PRIBCO5000","PRIMARIO BLANCO 5000 GALON"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PRIGRIS","PRIMARIO GRIS"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GALPRI5002","PRIMARIO GRIS 5002 GALON"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PRINEG","PRIMARIO NEGRO"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GALPRI5003","PRIMARIO NEGRO 5003 GALON"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PRIRO","PRIMARIO ROJO"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","GALPRI5001","PRIMARIO ROJO 5001 GALON"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PROFACL","PROTECTOR FACIAL 3PF-500(CODIGO-8257)"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","PROFAE","PROTECTOR FACIAL AMPLIO ELEVA"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REBA","REJACERO BARROCO  91.5 X 2.44 MTS."
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","RECLA","REJACERO CLASICO  91.5 X 2.44 MTS.(71155"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REGO1.22","REJACERO GOTICO 1.22 X 2.44 MTS."
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REGO","REJACERO GOTICO 91.5 X 2.44 MTS."
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REGRA1.22","REJACERO GRANADA 1.22X 2.44 MTS"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REGRA","REJACERO GRANADA 91.5 CM X 2.44 MT"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REPA","REJACERO PACIFICO 91.5 X 2.44 MT"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","REPA1.22","REJACERO PACIFICO DE 1.22 X 2.44 MT"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","RE3/1635","RESORTE P/CORTINA 3/16"" X 35 CM"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","RE3/1640","RESORTE P/CORTINA 3/16"" X 40 CM"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","RE7/3235","RESORTE P/CORTINA 7/32"" X 35 CM"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","RE7/3240","RESORTE P/CORTINA 7/32"" X 40 CM"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TARUGO","TARUGO PARA MECANISMO"
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU75N","TEJUELO NEGRO 3"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU100","TEJUELO NEGRO DE 4"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU38","TEJUELO PULIDO 1 1/2"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU32","TEJUELO PULIDO 1 1/4"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU25","TEJUELO PULIDO 1"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU64","TEJUELO PULIDO 2 1/2"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU50","TEJUELO PULIDO 2"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TEJU75","TEJUELO PULIDO 3"""
"PERFILES Y HERRAJES VARGAS, S.A DE C.V","TOCAPMI","TOCA PUERTA MINI (15 X 15)"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","PV121","CHAMBRANA SENCILLA PINTADA"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","HSS6X63/16-12.20M","HSS  DE 6"" X 6"" EN 3/16 A 12.20 MTS( 21.65 KG/ML)"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","HSS6X63/16","HSS  DE 6"" X 6"" EN 3/16 A 6.10 MTS( 21.65 KG/ML)"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","HSS10X101/4","HSS DE 10"" X 10"" EN 1/4"" A 12.20 MTS(48.55 KG/ML)"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","HSS12X123/8","HSS DE 12"" X 12"" EN 3/8"" A 12.20 MTS ( 86.46 KG/ML"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","HSS8X81/4","HSS DE 8"" X 8"" EN 1/4"" A 12.20 MTS"
"PRODUCTOS LAMINADOS DE MONTERREY S.A DE C.V","HSS8X8-3/8","HSS DE 8"" X 8"" EN 3/8"" A 12.20 MTS"
"PROVEEDOR EN GENERAL","CAPUCHA","CAPUCHA DE MEZCLILLA"
"PROVEEDOR EN GENERAL","TILOUVER","TIRA LOUVER GAL. 3.05 MTS. GALV. CAL. 18"
"SYNERGY IMPORTS. S.A. DE C.V.","BAT1120-3","BATERIA 20V A 3 AMP. GLADIATOR (BAT1120-3)"
"SYNERGY IMPORTS. S.A. DE C.V.","IP 1012/220","CORTADOR DE PLASMA 220V NEO"
"SYNERGY IMPORTS. S.A. DE C.V.","MDL 650","MEDIDOR DE DIST. 50MTS GLAD. LASER ROJO"
"SYNERGY IMPORTS. S.A. DE C.V.","RM1030/120G K","ROTOMART ELECTRON. GLAD ,900W (RM1030/120G K)"
"TERNIUM MEXICO S.A DE .CV.","ZP100","CAJITA 1"" X 1 1/2"""
"TERNIUM MEXICO S.A DE .CV.","ZV122","CHAMBRANA ESCALONADA"
"TERNIUM MEXICO S.A DE .CV.","ZM225","CHAMBRANA L ZM225"
"TERNIUM MEXICO S.A DE .CV.","ZV121","CHAMBRANA SENCILLA"
"TERNIUM MEXICO S.A DE .CV.","ZV126","CHAMBRANA TAPADA"
"TERNIUM MEXICO S.A DE .CV.","LGLR3C24","KG. DE LAM. GALV ROLL C24 3`"
"TERNIUM MEXICO S.A DE .CV.","LGLR4C24","KG. DE LAM. GALV ROLL C24 4`"
"TERNIUM MEXICO S.A DE .CV.","LGLR3C26","KG. DE LAM. GALV ROLL C26 3`"
"TERNIUM MEXICO S.A DE .CV.","LGLR4C26","KG. DE LAM. GALV ROLL C26 4`"
"TERNIUM MEXICO S.A DE .CV.","LGLR3C28","KG. DE LAM. GALV ROLL C28 3`"
"TERNIUM MEXICO S.A DE .CV.","LGLR3C30","KG. DE LAM. GALV ROLL C30 3´"
"TERNIUM MEXICO S.A DE .CV.","LGL3C14","MT. DE LAM. GALV LISA 3' C14"
"TERNIUM MEXICO S.A DE .CV.","LGL3C16","MT. DE LAM. GALV LISA 3´ C16"
"TERNIUM MEXICO S.A DE .CV.","LGL3C18","MT. DE LAM. GALV LISA 3´ C18"
"TERNIUM MEXICO S.A DE .CV.","LGL3C20","MT. DE LAM. GALV LISA 3´ C20"
"TERNIUM MEXICO S.A DE .CV.","LGL3C22","MT. DE LAM. GALV LISA 3´ C22"
"TERNIUM MEXICO S.A DE .CV.","LGL4C16","MT. DE LAM. GALV LISA 4´ C16"
"TERNIUM MEXICO S.A DE .CV.","LGL4C18","MT. DE LAM. GALV LISA 4´ C18"
"TERNIUM MEXICO S.A DE .CV.","LGL4C20","MT. DE LAM. GALV LISA 4´ C20"
"TERNIUM MEXICO S.A DE .CV.","LGL4C22","MT. DE LAM. GALV LISA 4´ C22"
"TERNIUM MEXICO S.A DE .CV.","ZR125","RECTANGULAR  1 1/4"" X 3/4"""
"TERNIUM MEXICO S.A DE .CV.","ZR175","RECTANGULAR  1 3/4"" X 3/4"""
"TERNIUM MEXICO S.A DE .CV.","ZR225","RECTANGULAR  2 1/4"" X 3/4"""
"TERNIUM MEXICO S.A DE .CV.","ZR100","RECTANGULAR 1"" X 1/2"""
"TERNIUM MEXICO S.A DE .CV.","ZR249","RECTANGULAR 2 1/2"" X 1 1/4"""
"TERNIUM MEXICO S.A DE .CV.","ZR200","RECTANGULAR 2"" X 1"" C-20"
"TERNIUM MEXICO S.A DE .CV.","ZR300","RECTANGULAR 3 X 1 1/2 C-20"
"TERNIUM MEXICO S.A DE .CV.","ZR300C22","RECTANGULAR 3 X 1 1/2 C-22"
"TERNIUM MEXICO S.A DE .CV.","ZR400","RECTANGULAR 4 X 1 1/2"""
"TERNIUM MEXICO S.A DE .CV.","ZP1400","RIEL DOBLE CHICO PARA PUERTA"
"TERNIUM MEXICO S.A DE .CV.","ZV124","RIEL SENCILLO PARA VENTANA"
"TERNIUM MEXICO S.A DE .CV.","TCEC244","TIRA P/CORT. EUROPEA C24 4.05 M"
"TERNIUM MEXICO S.A DE .CV.","TCEC245","TIRA P/CORT. EUROPEA C24 5.05 M"
"TERNIUM MEXICO S.A DE .CV.","TCEC246","TIRA P/CORT. EUROPEA C24 6.00 M"
"TUBO DECORADO MONTERREY, S.A DE C.V","LMNC18-4X8","LOUVER MESH N94 A.NEGRO C18 4X8"
"TUBO DECORADO MONTERREY, S.A DE C.V","TILOUVERN","TIRA LOUVER NEGRA C/COST.3.05 MTS. CAL. 18"
"UJUETA MEXICO S,A DE C.V","AT2610254M","ANTORCHA P/SOLD. TIG SR26V 4MTS. 10/25 ELITE"
"UJUETA MEXICO S,A DE C.V","M1-122","ANTORCHA SPOOL GUN-4MTS. SWEISS TITAN 250A"
"UJUETA MEXICO S,A DE C.V","G2-217","CONECTOR RAPIDO HEMBRA 1/2"" G2-217 P/SWEISS"
"UJUETA MEXICO S,A DE C.V","G2-216","CONECTOR RAPIDO HEMBRA 3/8 G2-216 P/ELITE Y FURIUS"
"UJUETA MEXICO S,A DE C.V","G2-214","CONECTOR RAPIDO MACHO 1/2"" G2-214P/SWEISS"
"UJUETA MEXICO S,A DE C.V","G2-213","CONECTOR RAPIDO MACHO 3/8 G2-213 P/ELITE Y FURIUS"
"UJUETA MEXICO S,A DE C.V","G2-210","CONECTOR RAPIDO MAQUINA G2-210 P/ELITE Y FURIUS"
"UJUETA MEXICO S,A DE C.V","CORPECUT40","CORTADOR DE PLASMA ELITECUT 40 110/220V"
"UJUETA MEXICO S,A DE C.V","P2-518","DIFUSOR TITAN CUT X70 SWEISS(P2-518)"
"UJUETA MEXICO S,A DE C.V","P2-516","SEPARADOR TITAN CUT X70 SWEISS(P2-516)"
"UJUETA MEXICO S,A DE C.V","P2-514","TOBERA TITAN CUT X70 SWEISS(P2-514)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","WS235","ACEITE AFLOJATODO 235 ML SURTEK (WS235)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","WS400","ACEITE AFLOJATODO 400 ML SURTEK (WS400)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","U40B","ACEITE AFLOJATODO DIEL 235 ML (U40B)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","U40","ACEITE AFLOJATODO DIEL 400 ML (U40)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","140982","ACEITE MULTIUSOS 100ML (140982) FOY"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","151226","ACOPLADOR PARA REMOLQUE 2"" SURTEK (151226)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","108123","ACOPLADORES RAPIDOS 4 PZA. SURTEK (108123)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PA1","AEROGRAFO PROF. POR GRAVEDAD SURTEK (PA1)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","AEM301","AERSOL MET. ALUMINIO 300 ML SURTEK (AEM301)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137430","AMORTIGUADOR IMPACTO CUERDA (137430)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","AS510A","ASPIRADORA 10 GAL 4HP 120V SURTEK (AS510A)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137079","BANCO P/MECAN. ACOLCH. 770 MM (137079)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","BAF150","BARRETA HEX. 1"" X 1,50 MTS SURTEK (BAF150)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","151227","BOLA PARA REMOLQUE 2X1X2-1/8""  SURTEK (151227)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114200","BOLSA CINCHO PLASTICO 100 PZAS SURTEK 114200"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114204","BOLSA CINCHO PLASTICO 50 PZAS SURTEK 114204"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114208","BOLSA CINCHO PLASTICO 50 PZAS SURTEK 114208"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114210","BOLSA CINCHO PLASTICO 50 PZAS SURTEK 114210"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114214","BOLSA CINCHO PLASTICO BCO 25 PZAS SURTEK 114214"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114203","BOLSA CINCHO PLASTICO NGO 100 PZAS SURTEK 114203"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114215","BOLSA CINCHO PLASTICO NGO 25 PZAS SURTEK 114215"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114205","BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114205"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114209","BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114209"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114211","BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114211"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114213","BOLSA CINCHO PLASTICO NGO 50 PZAS SURTEK 114213"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","CPU19P","CAJA PLASTICA BROCH 19 X 10"" ( CPU19P )"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","CPS17","CAJA PLASTICA NEGRA SURTEK (CPS17)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","CPS19P","CAJA PLASTICA NEGRA SURTEK (CPS19P)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","CPS17K","CAJA PLASTICA ROSA SURTEK (CPS17K)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137657","CAPUCHA DE MEZCLILLA SURTEK (137657)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","SINAIS-138001","CINTA AISLAR SURTEK 19MMX18M (138001)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","SINAIS-138000","CINTA AISLAR SURTEK 9M (138000)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137367","CINTA ANTIDERRAPANTE 50MM 5M SURTEK (137367)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","CLFV20","CINTA LGA FIB VID 20 M  ( CLFV20 )"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137297","CINTA PRECAUCION DE 3"" 100 MTS.(137297)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","138026","CINTA TRANS. 150 MTS SURTEK (138026)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","CRSOLS","CONECTOR PARA SOLDAR (CRSOLS)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137601","CONO PRECAUCION SIN REFL 90CM (137601)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","142636","CUÑA P/RASPAR CON MANGO PLASTICO 5"" (142636)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","D247","DESTORNILLADOR D/CRUZ PH 3/16"" X 4"" SURTEK (D247)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","D202","DESTORNILLADOR PLANO 3/16"" X 4"" SURTEK (D202)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114301","ENGRAPADORA MANUAL 4-14MM SURTEK (114301)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","EE20","ESCALERA EXT. T/3 ALUM. 20 PELD.(EE20)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","EM212","ESCALERA MULTI.T/3 ALUM. 12 PEL.(EM212)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ETT2","ESCALERA PLEGABLE T/TAB.ACER. 2 PELDAÑO (ETT2)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ESC34","ESLINGA OJO 3"" X 4M 3 TON. SURTEK (ESC34)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ESC36","ESLINGA OJO 3"" X 6M SURTEK (ESC36)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","EP243","ESLINGA OJO 4"" X 3M URREA (EP243)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ESC44","ESLINGA OJO 4"" X 4M SURTEK (ESC44)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","EP242","ESLINGA OJO 4""X 2M URREA (EP242)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","EP244","ESLINGA OJO 4""X 4M URREA (EP244)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","EP246","ESLINGA OJO-OJO URREA 4X6MT.  (EP246)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137538","FAJA ELASTICA REFORZADA T/CH. (137538) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137541","FAJA ELASTICA REFORZADA T/EG (137541) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137542","FAJA ELASTICA REFORZADA T/EGG (137542) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137540","FAJA ELASTICA REFORZADA T/G (137540) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137539","FAJA ELASTICA REFORZADA T/M (137539) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","FIL108103","FILTRO SEPARADOR AGUA Y ACEITE SURTEK(108103)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","130409","FUMIGADOR DOMESTICO 1.5L (130409)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","USIMM33","GABARDINA IMP.  REF.T/EG (USIM33) URREA"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","USIM32","GABARDINA IMP. REF.T/G (USIM32) URREA"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","USIM31","GABARDINA IMP. REF.T/M (USIM31 )URREA"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","GAVA2","GAVETA PLASTICA AMARILLA SURTEK (GAVA2)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","GAVA3","GAVETA PLASTICA AMARILLA SURTEK (GAVA3)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137321","GOGLE PARA SOLDAR SURTEK (137321)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137334","GOGLE PARA SOLDAR SURTEK (137334)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114361","GRAPAS 13/32X5/16"" ENGRAP.MAN(114361)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114354","GRAPAS ENGRA. MANUAL 7/16"" X 1/2"" SURTEK (114354)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","114355","GRAPAS ENGRA. MANUAL 7/16"" X 9/16"" SURTEK (114355)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","LA32AA","LINTERNA LED ANT.IMP. BAT. AA  (LA32AA)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","LTU40S","LINTERNA LED T/SLIM RECA 400LM"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","LRCF4","LINTERNA RECARGABLE FOY 110V  (LRCF4)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","MANDRIL","MANDRIL DE 1 1/4"" A 6"" SURTEK (120756)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","MANDRIL3/8","MANDRIL GUIA SURTEK 3/8 (120755)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","123900","MANERAL AJUSTABLE 1/16"" A 1/4"" SURTEK (123900)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137651","MANGAS DE CARNAZA SURTEK (137651)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","137658","MANGAS DE MEZCLILLA SURTEK (137658)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","108146","MANGUERA BAJA PRESION 10 MT SURTEK (108146)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","150851","MT.CADENA GALV. 1/4"" SURTEK (150851)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","150847","MT.CADENA GALV. 1/8"" SURTEK  (150847)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","150850","MT.CADENA GALV. 3/16"" SURTEK (150850)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","143422","MTS. CADENA PLASTICA 1/4"" NARANJA FOY (143422)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","138102","MTS. TELA MOSQUITERA ALUM. 1.20 SURTEK (138102)30M"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PER140432","PERICO 12"" FOY (140432)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PER3","PERRO HIERRO MALEABLE 1/4"" (PER3) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PER1","PERRO HIERRO MALEABLE 1/8"" (PER1) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","PER2","PERRO HIERRO MALEABLE 3/16"" (PER2) SURTEK"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","MN1300","PILA ALCALINA DURACEL D 2PZA.(MN1300)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","POLAC2A","POLIPASTO INDUSTRIAL DE 1 TN SURTEK (POLAC2A)"
"URREA HERRAMIENTAS PROFESIONALES S.A DE C.V","ESQ25","POSICIONADOR MAGNETICO 12 KGS. (ESQ25)"
