"proveedor","codigo","descripcion"
"CHAPA INDUSTRIAS, S.A DE C.V","TOPE6412","TOPE DEXTER MAGNETICO NS (6412)"
"CHAPA INDUSTRIAS, S.A DE C.V","TOPE6865","TOPE DEXTER RECTO P/PARED  O PTA.NS6865"
"CHAPA INDUSTRIAS, S.A DE C.V","TOPE6859","TOPE DEXTER TIPO DOMO DE PISO NS(6859)"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","BIGOT-013","BIGOTE 1/4"" X 1/2"" 7.0 X 11.0 CM"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","BIGOT-016","BIGOTE 1/8"" X 1/2"" 7.0 X 11.00 CM"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","FLODE007","MARGARITA"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","PIE-ENC","PIEDRA P/ENCENDEDOR"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","RIZO014","RIZO"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","RIZO011","RIZO DE 1/4 X 1/2"" 6 X 15.5 CMS"
"DISTRIBUIDORA DE ACEROS ESTRUCTURALES, S.A DE C.V","RIZO013","RIZO DE 1/4 X 1/2"" 7.6 X 19 CMS"
"ESAB MEXICO, S.A DE C.V","SOLESAB15K","SOLD.ESAB  MICRO A. .035 15 KGS."
"ESAB MEXICO, S.A DE C.V","SOLESAB10LB","SOLD.MICRO A.TUB.  .035 (10 LB/4.54 KGS)ESAB"
"FERREBASTONES CHOLULA, S.A DE C.V","X-1100C","CERR.D/SEG ADIC TETRA X-1100 CROM (571 )"
"FERRETERA CANTABRIA, S.A DE C.V","ENCCAZ","ENCENDEDOR TIPO CAZUELA N-113-A"
"FERRETERA CANTABRIA, S.A DE C.V","SM6","SUJETADOR MARIPOSA 1/4"""
"FERRETERA CANTABRIA, S.A DE C.V","SM5","SUJETADOR MARIPOSA 3/16"""
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","AAWD40","ACEITE AFLOJATODO WD.40 (000646)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","AFLOJA","AFLOJA TODO 300GR. PERMATEK(030813)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","BROQM194041.7","BROQUERO  MAKITA C/ADAP. SDS 194041.7"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CAR3M6001","CARTUCHO P/VAPORES ORGAN. 3M MOD. 6001"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINAIS","CINTA AISLAR NEGRA 18 MTS COHESA(000815)-2229"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINAIS3M-013000","CINTA AISLAR TEMFLEX 3.4"" X 18 M (3M)(013000)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINAIS3M","CINTA AISLAR TEMFLEX 3.4"" X 18 M (3M)(143451)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINCAN007061","CINTA EMPACAR CANELA 48MMX50M TUK(007061)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINTRA032211","CINTA EMPACAR TRANSP. 48MMX150M HITOOLS (032211)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINTRA032212","CINTA EMPACAR TRANSP. 72MMX150M HITOOLS (032212)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINPEN10CM","CINTA TAPAGOTERAS PENNSYL. 10 CM. (021202)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CINPEN5CM","CINTA TAPAGOTERAS PENNSYL. 5 CM."
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","CIZALLAJS3201","CIZALLA P/METAL MAKITA 710 W JS3201(039647)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","ESPPENFOAM","ESPUMA  PENS FOAM AMAR.LATA (030995)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","ESPPEFOAM500ML","ESPUMA  PENS FOAM MULTIPOSICION 360° 500M(043291)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","ESPPENMULT","ESPUMA MULTIPOSICION 340GR. (043292)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","FILTRON95-3M","FILTRO N95 3M (5N11)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","PROOI3M","PROTECTOR P/OIDOS 3 M (037407)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","RESDBL","RESBALON DOBLE BALA LATONADO (012652)"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","RETFILTRO501-3M","RETENEDOR DE FILTRO 5N11 MOD.501 3M"
"FERRETERA CENTRAL DEL GOLFO, S.A DE C.V","SOLCIN3M","SOLUCINTA NEGRA 3M DEVCON"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","ALAAD","ALA DE ANGEL DERECHA"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","ALAAI","ALA DE ANGEL IZQUIERDA"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","ALAQD","ALA DE QUERUBIN DERECHA"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","ALAQ","ALA DE QUERUBIN IZQUIERDA"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","ALAS","ALA DE SERAFIN"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","ANCH","ANGEL CHICO"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","APACHED","APACHE DERECHO"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","APACHE","APACHE IZQUIERDO"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","AROC13","ARO DE CUAD.DE 1/2 A 12 CM( C-3)"
"FORJA ARTISTICA RENACIMIENTO, S.A DE C.V","BOTONR","BOTON DE ROSA"
